time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/value_loss,train/std,train/approx_kl,train/explained_variance,train/learning_rate,train/loss,train/clip_fraction,train/clip_range,rollout/ep_rew_mean,rollout/ep_len_mean
1954,26,102,202752,-0.02828848804347217,6320,-41.72936022281647,0.025660484767286107,0.9398543834686279,0.02005843,-12.086441993713379,0.0004092704424510632,-0.031054815277457237,0.2384033203125,0.2,-2.17575635,1258.0
1953,26,103,203264,-0.02857074371422641,6336,-41.716792821884155,0.25030029006302357,0.9394131898880005,0.024869788,0.0698317289352417,0.0004092704424510632,0.0369081050157547,0.2802734375,0.2,-2.17575635,1258.0
1953,27,104,203776,-0.027849611826241016,6352,-41.68689799308777,0.0061113296542316675,0.9379426836967468,0.023597594,-2.768925189971924,0.0004092704424510632,-0.03688250482082367,0.29248046875,0.2,-2.17575635,1258.0
1954,27,105,204288,-0.025202186254318804,6368,-41.636359333992004,0.012939427309902385,0.9364237189292908,0.015963333,0.21651536226272583,0.0004092704424510632,-0.03960585221648216,0.239013671875,0.2,-2.1777835000000003,1258.0
1954,27,106,204800,-0.02888838533544913,6384,-41.608110308647156,0.07959877629764378,0.9363362193107605,0.03667191,0.24766743183135986,0.0004092704424510632,-0.014170721173286438,0.2703857421875,0.2,-2.1777835000000003,1258.0
1954,28,107,205312,-0.019372930022655055,6400,-41.61453628540039,0.013234653539257124,0.9367144703865051,0.013659537,-10.886411666870117,0.0004092704424510632,-0.03154526650905609,0.1934814453125,0.2,-2.1765836600000004,1258.0
1954,28,108,205824,-0.023054144636262208,6416,-41.60696828365326,0.2542619272135198,0.9363881945610046,0.021477792,0.03452938795089722,0.0004092704424510632,0.048442542552948,0.31689453125,0.2,-2.1765836600000004,1258.0
1955,28,109,206336,-0.02338288800092414,6432,-41.61199235916138,0.016634019382763654,0.937798023223877,0.018478347,-3.8389382362365723,0.0004092704424510632,-0.034257080405950546,0.226806640625,0.2,-2.1744424799999997,1258.0
1955,28,110,206848,-0.024620655487524346,6448,-41.64248538017273,0.23475776705890894,0.9377985596656799,0.021268707,0.14792174100875854,0.0004092704424510632,0.040607914328575134,0.220947265625,0.2,-2.1744424799999997,1258.0
1955,29,111,207360,-0.020854000351391733,6464,-41.63595271110535,0.007212712938780896,0.938198447227478,0.018035596,-0.3084409236907959,0.0004092704424510632,-0.024149654433131218,0.2257080078125,0.2,-2.1744424799999997,1258.0
1956,29,112,207872,-0.02591010564356111,6480,-41.64561486244202,0.00307723214791622,0.9379988312721252,0.018872976,-0.2777976989746094,0.0004092704424510632,-0.049435075372457504,0.2728271484375,0.2,-2.17418587,1258.0
1956,29,113,208384,-0.026427382690599188,6496,-41.64207911491394,0.24732027854770422,0.9378994107246399,0.017840818,0.07284891605377197,0.0004092704424510632,0.051065705716609955,0.2349853515625,0.2,-2.17418587,1258.0
1955,29,114,208896,-0.026569675421342254,6512,-41.62397599220276,0.009490310832916293,0.936750054359436,0.023989646,-7.626080513000488,0.0004092704424510632,-0.04103747010231018,0.286376953125,0.2,-2.17366754,1258.0
1956,30,115,209408,-0.025197555834893137,6528,-41.59753108024597,0.257923839148134,0.9367284178733826,0.019969113,0.11926460266113281,0.0004092704424510632,0.09859153628349304,0.239501953125,0.2,-2.17366754,1258.0
1956,30,116,209920,-0.029730184367508627,6544,-41.607338666915894,0.006196251561050303,0.9370836019515991,0.023498304,-7.489337921142578,0.0004092704424510632,-0.048036497086286545,0.2880859375,0.2,-2.17366754,1258.0
1956,30,117,210432,-0.02728046855190769,6560,-41.61019325256348,0.006287789998168591,0.9365963339805603,0.029591262,0.06916862726211548,0.0004092704424510632,-0.05055470019578934,0.29150390625,0.2,-2.17284737,1258.0
1956,30,118,210944,-0.024697719258256257,6576,-41.58949148654938,0.24426410882733762,0.9362083077430725,0.020202627,0.05719780921936035,0.0004092704424510632,0.026149317622184753,0.25634765625,0.2,-2.17284737,1258.0
1956,31,119,211456,-0.020782233943464234,6592,-41.58777725696564,0.024072938307654113,0.9366079568862915,0.018286452,-4.10502815246582,0.0004092704424510632,-0.030053023248910904,0.2254638671875,0.2,-2.17273838,1258.0
1957,31,120,211968,-0.02101152051181998,6608,-41.60729157924652,0.23259008675813675,0.9370923638343811,0.014991619,0.10598790645599365,0.0004092704424510632,0.0547710582613945,0.220458984375,0.2,-2.17273838,1258.0
1956,31,121,212480,-0.025048476512893103,6624,-41.5811505317688,0.006921226202393882,0.9352279305458069,0.020479959,-6.327357292175293,0.0004092704424510632,-0.03382231667637825,0.255859375,0.2,-2.17273838,1258.0
1956,31,122,212992,-0.03144647795124911,6640,-41.52781319618225,0.006048330367775634,0.9354307055473328,0.032335285,0.09198743104934692,0.0004092704424510632,-0.03278669714927673,0.3143310546875,0.2,-2.17314722,1258.0
1956,32,123,213504,-0.020739659885293804,6656,-41.54266309738159,0.21522835223004222,0.935791552066803,0.018974787,0.06816422939300537,0.0004092704424510632,0.020258476957678795,0.2130126953125,0.2,-2.17314722,1258.0
1955,32,124,214016,-0.02754126970830839,6672,-41.54445254802704,0.019610615927376784,0.9356957077980042,0.028828193,-8.785971641540527,0.0004092704424510632,-0.034209780395030975,0.274169921875,0.2,-2.17206791,1258.0
1954,32,125,214528,-0.021840995046659373,6688,-41.547404646873474,0.2269222834147513,0.9358559250831604,0.016496386,0.06702941656112671,0.0004092704424510632,0.020945120602846146,0.241455078125,0.2,-2.17206791,1258.0
1954,33,126,215040,-0.023867407566285692,6704,-41.5569269657135,0.003972750713728601,0.9365121126174927,0.015030332,-5.7508368492126465,0.0004092704424510632,-0.030059853568673134,0.1986083984375,0.2,-2.17206791,1258.0
1954,33,127,215552,-0.028991934756049886,6720,-41.54172396659851,0.008223235243349336,0.9351561665534973,0.015997399,0.07511073350906372,0.0004092704424510632,-0.035288240760564804,0.257568359375,0.2,-2.17268427,1258.0
1954,33,128,216064,-0.025418310920940712,6736,-41.51460301876068,0.22786880447529256,0.9351422190666199,0.02001887,0.07218128442764282,0.0004092704424510632,0.000852677971124649,0.2640380859375,0.2,-2.17268427,1258.0
1953,33,129,216576,-0.02970749110681936,6752,-41.51433002948761,0.027270707287243567,0.9350411295890808,0.02100426,-13.383047103881836,0.0004092704424510632,-0.03562937676906586,0.258544921875,0.2,-2.17493444,1258.0
1952,34,130,217088,-0.018543683545431122,6768,-41.52039194107056,0.24102031532675028,0.9356600642204285,0.015606708,0.05614584684371948,0.0004092704424510632,0.050550490617752075,0.1888427734375,0.2,-2.17493444,1258.0
1952,34,131,217600,-0.023155680508352816,6784,-41.54445278644562,0.0061498004870372824,0.9360676407814026,0.018367238,-1.2122299671173096,0.0004092704424510632,-0.02655363827943802,0.2529296875,0.2,-2.17493444,1258.0
1952,34,132,218112,-0.023438277647073846,6800,-41.559173703193665,0.012263250886462629,0.9355083703994751,0.014503842,0.15010565519332886,0.0004092704424510632,-0.031708501279354095,0.228759765625,0.2,-2.1778204400000005,1258.0
1952,34,133,218624,-0.022877367067849264,6816,-41.54272449016571,0.13887756457552314,0.9346287846565247,0.018217308,0.1789519190788269,0.0004092704424510632,0.0035238265991210938,0.1658935546875,0.2,-2.1778204400000005,1258.0
1951,35,134,219136,-0.02546800889831502,6832,-41.51359736919403,0.016163662701728754,0.933844268321991,0.020414945,-10.645520210266113,0.0004092704424510632,-0.029394594952464104,0.2293701171875,0.2,-2.17809198,1258.0
1951,35,135,219648,-0.018720550448051654,6848,-41.46657145023346,0.2509361454285681,0.9319542646408081,0.014100514,0.03366941213607788,0.0004092704424510632,0.040154844522476196,0.2281494140625,0.2,-2.17809198,1258.0
1950,35,136,220160,-0.02172624846571125,6864,-41.409584522247314,0.00641159884253284,0.9307751655578613,0.01566602,-5.625607490539551,0.0004092704424510632,-0.031317222863435745,0.21240234375,0.2,-2.18085498,1258.0
1951,35,137,220672,-0.024007553831324913,6880,-41.38913106918335,0.256211593747139,0.9304946064949036,0.018748373,0.1266847848892212,0.0004092704424510632,0.061592068523168564,0.1904296875,0.2,-2.18085498,1258.0
1950,36,138,221184,-0.02704780426574871,6896,-41.37480294704437,0.004230145161272958,0.929983913898468,0.015007247,-3.7797188758850098,0.0004092704424510632,-0.04337621107697487,0.2425537109375,0.2,-2.18085498,1258.0
1950,36,139,221696,-0.03515080326178577,6912,-41.36589574813843,0.0027042560068366583,0.93095862865448,0.022741005,-0.4087979793548584,0.0004092704424510632,-0.04667210951447487,0.29345703125,0.2,-2.18323735,1258.0
1949,36,140,222208,-0.015509671895415522,6928,-41.39427900314331,0.33186255069449544,0.9313216209411621,0.014318792,0.056634724140167236,0.0004092704424510632,0.057356469333171844,0.1781005859375,0.2,-2.18323735,1258.0
1949,37,141,222720,-0.027960558334598318,6944,-41.39057981967926,0.010309987541404553,0.9306975603103638,0.018846605,-3.2111387252807617,0.0004092704424510632,-0.030385565012693405,0.256591796875,0.2,-2.18423762,1258.0
