time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/n_updates,train/entropy_loss,train/clip_range,train/learning_rate,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
28,1223,68,34816,1072,-42.95087933540344,0.2,0.0004092704424510632,0.0759764164686203,0.22021484375,0.21072027320042253,0.01909007,0.00010025501251220703,-0.021394339710241184,0.9689400792121887,-2.2377021481481485,1257.0
28,1223,69,35328,1088,-42.937053203582764,0.2,0.0004092704424510632,-0.02449909597635269,0.1844482421875,0.0035176269957446493,0.012874073,-0.00028455257415771484,-0.02207792000262998,0.9687926173210144,-2.2387722142857145,1257.0
29,1223,70,35840,1104,-42.91066038608551,0.2,0.0004092704424510632,0.046056199818849564,0.2156982421875,0.199769695289433,0.015490986,0.0001984238624572754,-0.02490584025508724,0.9671236872673035,-2.2387722142857145,1257.0
29,1223,71,36352,1120,-42.853891372680664,0.2,0.0004092704424510632,-0.03401247784495354,0.2442626953125,0.0029510325693991035,0.021909509,-0.0614016056060791,-0.024053106812061742,0.9656093716621399,-2.2387722142857145,1257.0
30,1223,72,36864,1136,-42.831787109375,0.2,0.0004092704424510632,-0.02745487354695797,0.25,0.002959928140626289,0.020758979,-3.2782554626464844e-05,-0.028240320330951363,0.9664450883865356,-2.229971206896552,1257.0
30,1223,73,37376,1152,-42.87282145023346,0.2,0.0004092704424510632,0.0717594251036644,0.2843017578125,0.2175529501400888,0.026495934,0.00022983551025390625,-0.029531571228289977,0.9679445624351501,-2.229971206896552,1257.0
30,1222,74,37888,1168,-42.92219054698944,0.2,0.0004092704424510632,-0.03633257746696472,0.2266845703125,0.002510419402824482,0.015144434,-0.08225774765014648,-0.02513374663249124,0.9694989323616028,-2.2281041666666668,1257.0
31,1222,75,38400,1184,-42.94236612319946,0.2,0.0004092704424510632,0.05202760919928551,0.2801513671875,0.18950835708528757,0.029663805,0.00020617246627807617,-0.030023473045730498,0.9688271284103394,-2.2281041666666668,1257.0
31,1221,76,38912,1200,-42.908968806266785,0.2,0.0004092704424510632,-0.04124031215906143,0.2264404296875,0.0023046944515954237,0.018969536,-0.19407320022583008,-0.020975747582269832,0.9676358103752136,-2.2281041666666668,1257.0
32,1221,77,39424,1216,-42.88000798225403,0.2,0.0004092704424510632,-0.03627888113260269,0.2462158203125,0.00385682628620998,0.018391076,-0.00010061264038085938,-0.023645667039090768,0.9671798348426819,-2.2279319677419354,1257.0
32,1221,78,39936,1232,-42.86118984222412,0.2,0.0004092704424510632,0.04601215198636055,0.246826171875,0.21179532120004296,0.02434689,4.1425228118896484e-05,-0.023304795380681753,0.9664641618728638,-2.2279319677419354,1257.0
33,1220,79,40448,1248,-42.81991469860077,0.2,0.0004092704424510632,-0.028265058994293213,0.2515869140625,0.004559518616588321,0.029146083,1.704692840576172e-05,-0.025868380875181174,0.9645285606384277,-2.2294730312499995,1257.0
33,1220,80,40960,1264,-42.76850974559784,0.2,0.0004092704424510632,0.05990350991487503,0.2166748046875,0.21204153401777148,0.017534243,5.155801773071289e-05,-0.021475779940374196,0.9635716676712036,-2.2294730312499995,1257.0
33,1220,81,41472,1280,-42.76104652881622,0.2,0.0004092704424510632,-0.03401096537709236,0.265625,0.004589463307638653,0.03134408,-0.0010275840759277344,-0.025609299569623545,0.9640064239501953,-2.2294730312499995,1257.0
34,1219,82,41984,1296,-42.77375137805939,0.2,0.0004092704424510632,-0.05892644822597504,0.307861328125,0.00436326799535891,0.024981955,7.277727127075195e-05,-0.035030593047849834,0.9637255668640137,-2.2296482727272724,1257.0
34,1218,83,42496,1312,-42.762489676475525,0.2,0.0004092704424510632,0.030813369899988174,0.2459716796875,0.08039942081086338,0.029423242,2.181529998779297e-05,-0.020504967142187525,0.9633696675300598,-2.2296482727272724,1257.0
35,1218,84,43008,1328,-42.74586725234985,0.2,0.0004092704424510632,-0.02732078917324543,0.2047119140625,0.005363842647057027,0.016878601,-2.0742416381835938e-05,-0.021154530317289755,0.9620621204376221,-2.2323545294117646,1257.0
35,1218,85,43520,1344,-42.70820450782776,0.2,0.0004092704424510632,0.0821932777762413,0.2530517578125,0.2500404086895287,0.023390952,2.4616718292236328e-05,-0.026803539934917353,0.961857259273529,-2.2323545294117646,1257.0
36,1217,86,44032,1360,-42.70209527015686,0.2,0.0004092704424510632,-0.036124397069215775,0.2056884765625,0.0035520593446563,0.018860891,-0.00017178058624267578,-0.02389181702164933,0.9612483382225037,-2.229072114285714,1257.0
36,1217,87,44544,1376,-42.69985640048981,0.2,0.0004092704424510632,0.06672389805316925,0.2452392578125,0.22985314391553402,0.018865328,4.45246696472168e-05,-0.023637005651835352,0.962602436542511,-2.229072114285714,1257.0
