time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/std,train/clip_range,train/entropy_loss,train/explained_variance,rollout/ep_len_mean,rollout/ep_rew_mean
24064,47,12,1971,0.0067798441523336805,0.0004092704424510632,-0.024698181892745197,-0.03933040797710419,0.017572133,0.2332763671875,736,0.9724954962730408,0.2,-43.04269015789032,-3.1396613121032715,1257.0,-2.9677627368421056
24576,48,12,1971,0.287888603284955,0.0004092704424510632,-0.02045179615379311,0.06555655598640442,0.02182968,0.1868896484375,752,0.9730207920074463,0.2,-43.10018754005432,0.015679895877838135,1257.0,-2.9677627368421056
25088,49,12,1971,0.023074111668393016,0.0004092704424510632,-0.025093840624322183,-0.021516114473342896,0.016481506,0.210205078125,768,0.9727474451065063,0.2,-43.09459471702576,-0.057674288749694824,1257.0,-2.9677627368421056
25600,50,12,1970,0.012175065756309777,0.0004092704424510632,-0.029846295597963035,-0.046207498759031296,0.02073005,0.3270263671875,784,0.9731744527816772,0.2,-43.09935009479523,-0.1315668821334839,1257.0,-2.9683195
26112,51,13,1970,0.27464404236525297,0.0004092704424510632,-0.023038152052322403,0.08568446338176727,0.021092474,0.2215576171875,800,0.9728431701660156,0.2,-43.10118567943573,0.1350945234298706,1257.0,-2.9683195
26624,52,13,1970,0.017611969902645797,0.0004092704424510632,-0.02293992490740493,-0.02157675288617611,0.013979279,0.1995849609375,816,0.9734389185905457,0.2,-43.095245480537415,-3.977198600769043,1257.0,-2.9687502857142856
27136,53,13,1969,0.3002254469320178,0.0004092704424510632,-0.023245911826961674,0.08730876445770264,0.027511654,0.2628173828125,832,0.9737328290939331,0.2,-43.12051224708557,0.024656713008880615,1257.0,-2.9687502857142856
27648,54,14,1969,0.038602575892582536,0.0004092704424510632,-0.023238265901454724,-0.017278701066970825,0.014443811,0.212890625,848,0.9733999967575073,0.2,-43.111103892326355,-0.09823346138000488,1257.0,-2.9687502857142856
28160,55,14,1969,0.06399364513345063,0.0004092704424510632,-0.02701412999886088,-0.0034390371292829514,0.01980825,0.2725830078125,864,0.973159909248352,0.2,-43.09879982471466,0.5175631642341614,1257.0,-2.9702155909090906
28672,56,14,1968,0.07204566954169422,0.0004092704424510632,-0.023787899321177974,0.00011467188596725464,0.03026409,0.281982421875,880,0.9718497395515442,0.2,-43.079033732414246,0.4903380274772644,1257.0,-2.9702155909090906
29184,57,14,1968,0.01642730532330461,0.0004092704424510632,-0.0240705131291179,-0.029295694082975388,0.01805574,0.2293701171875,896,0.9715954661369324,0.2,-43.04775595664978,-1.1113319396972656,1257.0,-2.9597119999999997
29696,58,15,1968,0.3346801297739148,0.0004092704424510632,-0.020037969254190102,0.06058819591999054,0.016195584,0.1651611328125,912,0.9714190363883972,0.2,-43.045745849609375,0.055235207080841064,1257.0,-2.9597119999999997
30208,59,15,1967,0.021469488710863516,0.0004092704424510632,-0.01850952957465779,-0.01092575490474701,0.014669621,0.1728515625,928,0.9701659083366394,0.2,-43.02163541316986,-0.6264647245407104,1257.0,-2.9540747083333336
30720,60,15,1966,0.3548078667372465,0.0004092704424510632,-0.017376277202856727,0.10325957089662552,0.015715325,0.118408203125,944,0.9696977138519287,0.2,-42.98573589324951,0.27192336320877075,1257.0,-2.9540747083333336
31232,61,15,1966,0.026765290269395337,0.0004092704424510632,-0.024884370803192724,-0.016730953007936478,0.0149300415,0.217529296875,960,0.9699068665504456,0.2,-42.982396960258484,-1.287426471710205,1257.0,-2.9540747083333336
31744,62,16,1966,0.005031046042859089,0.0004092704424510632,-0.02892577910097316,-0.04172058403491974,0.022304177,0.29052734375,976,0.9695624113082886,0.2,-42.98038172721863,-0.04797947406768799,1257.0,-2.9513887600000004
