time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/value_loss,train/entropy_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/loss,train/std,train/approx_kl,train/learning_rate,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean
207360,1745,111,32,0.026129553036298603,-43.08649408817291,0.2,-0.11597669124603271,0.302734375,-0.02608740667346865,-0.024858852848410606,0.9796064496040344,0.025373727,0.0004092704424510632,6464,1257.0,-2.4516370700000003
207872,1745,112,32,0.17256248695775867,-43.10533595085144,0.2,0.6068248748779297,0.1695556640625,-0.020012428765767254,0.04050040990114212,0.9792197346687317,0.022205558,0.0004092704424510632,6480,1257.0,-2.45218056
208384,1745,113,33,0.3143997623119503,-43.0854731798172,0.2,0.8320016860961914,0.08203125,-0.013390278880251572,0.025066275149583817,0.9787817597389221,0.019047607,0.0004092704424510632,6496,1257.0,-2.45218056
208896,1744,114,33,0.0817869077436626,-43.065038084983826,0.2,-3.5931572914123535,0.2073974609375,-0.02197197242639959,-0.009787743911147118,0.9778859615325928,0.018185899,0.0004092704424510632,6512,1257.0,-2.4501752499999996
209408,1744,115,33,0.9468019613996148,-43.03482532501221,0.2,0.654719889163971,0.023193359375,-0.006354142911732197,0.2153940200805664,0.9773654341697693,0.004332308,0.0004092704424510632,6528,1257.0,-2.4501752499999996
209920,1744,116,34,0.020343553216662258,-43.028093099594116,0.2,-0.8720232248306274,0.2772216796875,-0.02829947198915761,-0.0245419479906559,0.9770376682281494,0.025054812,0.0004092704424510632,6544,1257.0,-2.44813015
210432,1744,117,34,1.359518333338201,-43.03131449222565,0.2,0.7285442352294922,0.0042724609375,-0.00039756189653417096,0.5672602653503418,0.977184534072876,0.0033213752,0.0004092704424510632,6560,1257.0,-2.44813015
210944,1744,118,34,0.04701751586981118,-43.02594530582428,0.2,-2.7791543006896973,0.245849609375,-0.02653687392012216,-0.02827494405210018,0.976711630821228,0.017427988,0.0004092704424510632,6576,1257.0,-2.44813015
211456,1744,119,34,0.013582544517703354,-43.0420845746994,0.2,-3.867185592651367,0.2164306640625,-0.01927037692803424,-0.023868268355727196,0.9783772826194763,0.0180474,0.0004092704424510632,6592,1257.0,-2.4521624899999996
211968,1743,120,35,1.5957713881507516,-43.08743989467621,0.2,0.19371885061264038,0.0101318359375,-0.004588417781633325,0.21729515492916107,0.978929877281189,0.0050727027,0.0004092704424510632,6608,1257.0,-2.4521624899999996
212480,1744,121,35,0.007217653299449012,-43.08158278465271,0.2,-1.4269797801971436,0.2459716796875,-0.023648245332879014,-0.03441927209496498,0.9784535765647888,0.018407274,0.0004092704424510632,6624,1257.0,-2.45140471
212992,1744,122,35,1.1642457256093621,-43.06730842590332,0.2,0.38920003175735474,0.009033203125,-0.005543654435314238,0.12042608112096786,0.9783154726028442,0.005283471,0.0004092704424510632,6640,1257.0,-2.45140471
213504,1744,123,36,0.007342252225498669,-43.05371403694153,0.2,-1.4827461242675781,0.2244873046875,-0.022239181118493434,-0.03249533846974373,0.9773131608963013,0.017154606,0.0004092704424510632,6656,1257.0,-2.45140471
