time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/clip_fraction,train/value_loss,train/learning_rate,train/explained_variance,train/n_updates,train/clip_range,train/entropy_loss,train/loss,train/policy_gradient_loss,train/approx_kl,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
1795,37,131,67072,0.2689208984375,0.0034417578353895806,0.0004092704424510632,0.04512286186218262,2080,0.2,-43.77462565898895,-0.02939680963754654,-0.02552379724511411,0.019145602,0.9961797595024109,-2.1682190188679247,1258.0
1794,37,132,67584,0.0947265625,0.23572694836184382,0.0004092704424510632,0.36770111322402954,2096,0.2,-43.78104782104492,0.011262733489274979,-0.013486604831996374,0.013255428,0.9958897233009338,-2.1682190188679247,1258.0
1793,37,133,68096,0.204345703125,0.009014900104375556,0.0004092704424510632,-7.3909406661987305,2112,0.2,-43.76271605491638,-0.04293736070394516,-0.020495878838119097,0.01572482,0.9954611659049988,-2.1714971111111114,1258.0
1793,38,134,68608,0.131591796875,0.29762518545612693,0.0004092704424510632,0.2858020067214966,2128,0.2,-43.75312113761902,0.012893615290522575,-0.01858939883823041,0.019317903,0.9949496388435364,-2.1714971111111114,1258.0
1793,38,135,69120,0.2540283203125,0.010775481860036962,0.0004092704424510632,-3.9139089584350586,2144,0.2,-43.72613787651062,-0.0298430398106575,-0.021488679412868805,0.021679653,0.9939464926719666,-2.1714971111111114,1258.0
1795,38,136,69632,0.2158203125,0.004119417622860055,0.0004092704424510632,0.12621253728866577,2160,0.2,-43.69548845291138,-0.037407804280519485,-0.021336734098440502,0.019902926,0.9931601285934448,-2.1715403454545457,1258.0
1796,39,137,70144,0.1300048828125,0.21618518989998847,0.0004092704424510632,0.3799668550491333,2176,0.2,-43.67318677902222,0.006436340510845184,-0.01718127870117314,0.020079304,0.9928780198097229,-2.1715403454545457,1258.0
1797,39,138,70656,0.2435302734375,0.02581625961465761,0.0004092704424510632,-1.9820101261138916,2192,0.2,-43.66170060634613,-0.021401412785053253,-0.02322940668091178,0.021458548,0.9922807216644287,-2.170825839285714,1258.0
1796,39,139,71168,0.145263671875,0.27123889746144414,0.0004092704424510632,0.3552006483078003,2208,0.2,-43.64704883098602,0.013259641826152802,-0.01781650655902922,0.02146776,0.9923122525215149,-2.170825839285714,1258.0
1796,39,140,71680,0.33837890625,0.0036151610511296894,0.0004092704424510632,-3.891087055206299,2224,0.2,-43.67264461517334,-0.04477257281541824,-0.03392725448065903,0.025774727,0.9941437840461731,-2.170825839285714,1258.0
