time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/n_updates,train/clip_range,train/approx_kl,train/explained_variance,train/entropy_loss,train/clip_fraction,train/loss,train/value_loss,train/policy_gradient_loss,train/std,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
1303,40,103,52736,1632,0.2,0.013435106,-0.00021970272064208984,-43.6120924949646,0.1861572265625,-0.033446334302425385,0.003245378135034116,-0.023712820824584924,0.990213930606842,0.0004092704424510632,-2.5233681707317075,1257.0
1303,40,104,53248,1648,0.2,0.015739117,-0.0001729726791381836,-43.6044647693634,0.21435546875,-0.04555570334196091,0.0020228669800417265,-0.024648354490636848,0.9899229407310486,0.0004092704424510632,-2.5260423809523807,1257.0
1304,41,105,53760,1664,0.2,0.023819562,0.0001150965690612793,-43.591705679893494,0.230712890625,0.07450879365205765,0.2322865421883762,-0.02397511780145578,0.9897021055221558,0.0004092704424510632,-2.5260423809523807,1257.0
1304,41,106,54272,1680,0.2,0.017312415,0.0007859468460083008,-43.59074425697327,0.229736328125,-0.03569196164608002,0.0037223550243652426,-0.02574409105000086,0.989983320236206,0.0004092704424510632,-2.5238488139534883,1257.0
1304,41,107,54784,1696,0.2,0.022091394,0.0001309514045715332,-43.60039472579956,0.185546875,0.09613369405269623,0.23446271708235145,-0.01892033003969118,0.9900343418121338,0.0004092704424510632,-2.5238488139534883,1257.0
1304,42,108,55296,1712,0.2,0.01603096,-0.0002646446228027344,-43.600125432014465,0.1827392578125,-0.019050192087888718,0.005039684459916316,-0.021753916087618563,0.9900304079055786,0.0004092704424510632,-2.5238488139534883,1257.0
1304,42,109,55808,1728,0.2,0.015981082,4.7326087951660156e-05,-43.581725120544434,0.2344970703125,-0.03495655208826065,0.0015797409560036613,-0.02757878476404585,0.9887647032737732,0.0004092704424510632,-2.5218577954545456,1257.0
1304,43,110,56320,1744,0.2,0.039806336,6.157159805297852e-05,-43.543171763420105,0.3189697265625,0.033444322645664215,0.11263462889473885,-0.025537657129461877,0.9878432750701904,0.0004092704424510632,-2.5218577954545456,1257.0
1304,43,111,56832,1760,0.2,0.01723393,0.0013663768768310547,-43.53229808807373,0.2384033203125,-0.02610466256737709,0.0035782924096565694,-0.023989605106180534,0.9885289072990417,0.0004092704424510632,-2.5216685555555554,1257.0
1303,43,112,57344,1776,0.2,0.012996618,0.00014704465866088867,-43.554341554641724,0.2069091796875,0.09807194769382477,0.2647086977958679,-0.025255111511796713,0.9886789917945862,0.0004092704424510632,-2.5216685555555554,1257.0
1303,44,113,57856,1792,0.2,0.01680231,0.001917421817779541,-43.55616784095764,0.2027587890625,-0.03780784830451012,0.004228245583362877,-0.024110771038976964,0.9884530305862427,0.0004092704424510632,-2.519808608695652,1257.0
1304,44,114,58368,1808,0.2,0.022356495,2.9265880584716797e-05,-43.55269980430603,0.22412109375,0.10020092129707336,0.24431114876642823,-0.024307911546202376,0.9881774187088013,0.0004092704424510632,-2.519808608695652,1257.0
1304,45,115,58880,1824,0.2,0.017799351,-0.00241851806640625,-43.554933190345764,0.203369140625,-0.0311397947371006,0.0034388115054753143,-0.020656669381423853,0.988253116607666,0.0004092704424510632,-2.519808608695652,1257.0
1304,45,116,59392,1840,0.2,0.01640364,0.00030428171157836914,-43.548500180244446,0.2196044921875,-0.04901653528213501,0.00352129120437894,-0.024579140619607642,0.9885007739067078,0.0004092704424510632,-2.5164026170212765,1257.0
1304,45,117,59904,1856,0.2,0.021638256,5.692243576049805e-05,-43.55178463459015,0.2166748046875,0.09551003575325012,0.24401823431253433,-0.022084517317125574,0.9881036877632141,0.0004092704424510632,-2.5164026170212765,1257.0
1304,46,118,60416,1872,0.2,0.0154161565,-0.00011348724365234375,-43.537553906440735,0.2010498046875,-0.03629995509982109,0.0051625210253405385,-0.02322346976143308,0.9877870678901672,0.0004092704424510632,-2.5166302291666667,1257.0
1304,46,119,60928,1888,0.2,0.025088307,4.374980926513672e-05,-43.527254581451416,0.2706298828125,0.1044786274433136,0.24112540995702147,-0.03011585958302021,0.9870377779006958,0.0004092704424510632,-2.5166302291666667,1257.0
