time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/learning_rate,train/explained_variance,train/n_updates,train/clip_range,train/clip_fraction,train/value_loss,train/std,train/entropy_loss,train/approx_kl,train/loss,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
45056,88,1785,25,0.0004092704424510632,-3.6777024269104004,1392,0.2,0.2015380859375,0.007571029207610991,0.9648844003677368,-42.82908380031586,0.018698115,-0.016264300793409348,-0.020501391554716974,-2.684535,1258.0
45568,89,1785,25,0.0004092704424510632,-0.09068524837493896,1408,0.2,0.2161865234375,0.0026829724993149284,0.9662480354309082,-42.82942545413971,0.015789323,-0.02516692318022251,-0.02306815524934791,-2.678382,1258.0
46080,90,1785,25,0.0004092704424510632,0.024602651596069336,1424,0.2,0.1961669921875,0.5550585770979524,0.967159628868103,-42.877439975738525,0.023193806,0.247983917593956,-0.020567400453728624,-2.678382,1258.0
46592,91,1786,26,0.0004092704424510632,-0.5954567193984985,1440,0.2,0.193115234375,0.029683390690479428,0.9665408134460449,-42.880749344825745,0.022035416,-0.016974857077002525,-0.022874523376231082,-2.6807090000000002,1258.0
47104,92,1785,26,0.0004092704424510632,0.23602241277694702,1456,0.2,0.216796875,0.4076611315831542,0.9665841460227966,-42.86186385154724,0.020255484,0.17684243619441986,-0.023401440324960276,-2.6807090000000002,1258.0
47616,93,1785,26,0.0004092704424510632,-1.223278522491455,1472,0.2,0.236083984375,0.015557978389551863,0.9656143188476562,-42.852433919906616,0.017337525,-0.03657729923725128,-0.022956410510232672,-2.6807090000000002,1258.0
48128,94,1784,26,0.0004092704424510632,0.27508705854415894,1488,0.2,0.2784423828125,0.009664330384111963,0.9651897549629211,-42.821943402290344,0.024127984,-0.033162672072649,-0.02450114642851986,-2.6804119736842105,1258.0
48640,95,1783,27,0.0004092704424510632,0.06256204843521118,1504,0.2,0.16943359375,0.4121276494115591,0.9649883508682251,-42.81034183502197,0.01592984,0.14301368594169617,-0.020695781116955914,-2.6804119736842105,1258.0
49152,96,1783,27,0.0004092704424510632,-1.4239518642425537,1520,0.2,0.27099609375,0.02217518418910913,0.96470046043396,-42.799901843070984,0.017976744,-0.03296547383069992,-0.031630358105758205,-2.680210923076923,1258.0
49664,97,1783,27,0.0004092704424510632,0.0808904767036438,1536,0.2,0.187744140625,0.454598075710237,0.9650508165359497,-42.8021354675293,0.028776284,0.1847129762172699,-0.026109679150977172,-2.680210923076923,1258.0
