time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/loss,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/value_loss,train/clip_range,train/learning_rate,train/approx_kl,train/std,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
1744,207872,112,32,-0.033507198095321655,-42.840025782585144,0.034316837787628174,-0.023901937922346406,6480,0.002443976201902842,0.2,0.0004092704424510632,0.01860167,0.9745498895645142,0.2403564453125,1258.0,-2.0774309599999996
1743,208384,113,33,0.1692352443933487,-42.7927268743515,0.3387649655342102,-0.007191946395323612,6496,0.8894754843786359,0.2,0.0004092704424510632,0.009684764,0.9737212657928467,0.0338134765625,1258.0,-2.0774309599999996
1741,208896,114,33,-0.03950418904423714,-42.76425564289093,-1.078181505203247,-0.028794905898394063,6512,0.002948039422335569,0.2,0.0004092704424510632,0.019166898,0.9729559421539307,0.2703857421875,1258.0,-2.07415543
1739,209408,115,33,0.25945281982421875,-42.74961030483246,0.5806498527526855,-0.008819283393677324,6528,1.1125257890671492,0.2,0.0004092704424510632,0.00927441,0.972682535648346,0.0845947265625,1258.0,-2.07415543
1738,209920,116,34,-0.03589169308543205,-42.74282228946686,-9.485637664794922,-0.02787161967717111,6544,0.0053644417494069785,0.2,0.0004092704424510632,0.022997461,0.972571074962616,0.2750244140625,1258.0,-2.07415543
1737,210432,117,34,-0.03483779728412628,-42.740357398986816,0.05427199602127075,-0.02612846894771792,6560,0.0043289014138281345,0.2,0.0004092704424510632,0.021009114,0.972364604473114,0.271728515625,1258.0,-2.07367038
1735,210944,118,34,0.11740337312221527,-42.733975291252136,0.40190762281417847,-0.005279904042254202,6576,1.0347307240590453,0.2,0.0004092704424510632,0.0066696266,0.9724312424659729,0.0137939453125,1258.0,-2.07367038
1734,211456,119,35,-0.03182638809084892,-42.743863463401794,-7.509744644165039,-0.023910287825856358,6592,0.0072570260272186715,0.2,0.0004092704424510632,0.021707466,0.9731271862983704,0.2799072265625,1258.0,-2.07077656
1733,211968,120,35,0.14245007932186127,-42.75562274456024,0.42652904987335205,-0.006373299867846072,6608,1.0984920570626855,0.2,0.0004092704424510632,0.00705758,0.9733694791793823,0.0289306640625,1258.0,-2.07077656
1732,212480,121,35,-0.03203941509127617,-42.762975454330444,-7.034265518188477,-0.02536381960089784,6624,0.006090581015087082,0.2,0.0004092704424510632,0.018101083,0.9738003015518188,0.259765625,1258.0,-2.07077656
