time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/explained_variance,train/loss,train/value_loss,train/n_updates,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
76,1627,38912,23,0.2886962890625,-2.893282651901245,-0.02622581087052822,0.01544398108671885,1200,0.2,0.0004092704424510632,-0.029405099106952548,0.017382048,-42.72569406032562,0.9616910815238953,-2.9501567,1257.0
77,1628,39424,24,0.24072265625,0.004686951637268066,-0.02897786721587181,0.0023167241270130035,1216,0.2,0.0004092704424510632,-0.02482462036277866,0.014179173,-42.692819476127625,0.9607892632484436,-2.951264258064516,1257.0
78,1629,39936,24,0.27001953125,0.007232666015625,0.040049366652965546,0.17128267022781074,1232,0.2,0.0004092704424510632,-0.02281525795115158,0.018652359,-42.64603114128113,0.9588019251823425,-2.951264258064516,1257.0
79,1629,40448,24,0.28125,-2.286541700363159,-0.04382835701107979,0.01473621535114944,1248,0.2,0.0004092704424510632,-0.03270662765135057,0.023597237,-42.58086097240448,0.9570187926292419,-2.95376284375,1257.0
80,1629,40960,25,0.296142578125,0.008699774742126465,0.03395099937915802,0.1762867569923401,1264,0.2,0.0004092704424510632,-0.025384009844856337,0.024191331,-42.5483078956604,0.9567834138870239,-2.95376284375,1257.0
81,1629,41472,25,0.2044677734375,-2.89673113822937,-0.03188876435160637,0.01421085667971056,1280,0.2,0.0004092704424510632,-0.026941732030536514,0.01692095,-42.578646421432495,0.9596140384674072,-2.95376284375,1257.0
82,1629,41984,25,0.1837158203125,0.1043204665184021,-0.029802419245243073,0.0017720401301630773,1296,0.2,0.0004092704424510632,-0.021429941814858466,0.011766293,-42.670774102211,0.9614478349685669,-2.951060484848485,1257.0
83,1630,42496,26,0.3197021484375,0.0163457989692688,0.0012288540601730347,0.08054133027326316,1312,0.2,0.0004092704424510632,-0.0237124548148131,0.042232566,-42.713358879089355,0.9628299474716187,-2.951060484848485,1257.0
84,1630,43008,26,0.30517578125,-1.685359001159668,-0.045051559805870056,0.008938321509049274,1328,0.2,0.0004092704424510632,-0.03227821525069885,0.022434585,-42.74975538253784,0.9640596508979797,-2.949912794117647,1257.0
85,1631,43520,26,0.295654296875,0.02691972255706787,0.008425310254096985,0.15649950434453785,1344,0.2,0.0004092704424510632,-0.02653091453248635,0.024755836,-42.78720414638519,0.9647620916366577,-2.949912794117647,1257.0
