time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/entropy_loss,train/std,train/learning_rate,train/clip_fraction,train/value_loss,train/loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
45056,88,1322,34,-43.30677890777588,0.9801892042160034,0.0004092704424510632,0.21240234375,0.005671311751939356,-0.03704370558261871,-0.03288877010345459,-0.023992094880668446,0.013619214,0.2,1392,-2.2730936857142856,1257.0
45568,89,1322,34,-43.29339051246643,0.9796452522277832,0.0004092704424510632,0.2454833984375,0.002651225557201542,-0.027431463822722435,-0.001179814338684082,-0.02214450217434205,0.017921004,0.2,1408,-2.2719153055555554,1257.0
46080,90,1322,34,-43.26638424396515,0.9785383343696594,0.0004092704424510632,0.2298583984375,0.24103688122704625,0.07540537416934967,8.755922317504883e-05,-0.02150844517746009,0.017599193,0.2,1424,-2.2719153055555554,1257.0
46592,91,1321,35,-43.23042559623718,0.9772331118583679,0.0004092704424510632,0.2457275390625,0.002964863957458874,-0.03847396746277809,-0.003760099411010742,-0.03154659108258784,0.015904486,0.2,1440,-2.2761403783783782,1257.0
47104,92,1320,35,-43.19761109352112,0.976274311542511,0.0004092704424510632,0.2745361328125,0.22685923660174012,0.09642109274864197,3.415346145629883e-05,-0.02833829827432055,0.018716682,0.2,1456,-2.2761403783783782,1257.0
47616,93,1320,36,-43.17821288108826,0.9760520458221436,0.0004092704424510632,0.2252197265625,0.0032670048021827824,-0.0322292260825634,-0.12618982791900635,-0.027433225535787642,0.019729637,0.2,1472,-2.2761403783783782,1257.0
48128,94,1318,36,-43.177278995513916,0.9759332537651062,0.0004092704424510632,0.24462890625,0.003999640339316102,-0.02978682704269886,-0.0009317398071289062,-0.025785770470974967,0.016723704,0.2,1488,-2.276586842105263,1257.0
48640,95,1317,36,-43.19489133358002,0.9773224592208862,0.0004092704424510632,0.1917724609375,0.23815296171233058,0.05927810072898865,6.306171417236328e-05,-0.02024571641231887,0.019871298,0.2,1504,-2.276586842105263,1257.0
49152,96,1316,37,-43.23215448856354,0.9779837727546692,0.0004092704424510632,0.2305908203125,0.003475582030660007,-0.04507783427834511,-0.0009710788726806641,-0.027581307251239195,0.0148423,0.2,1520,-2.2766099230769226,1257.0
49664,97,1314,37,-43.2271773815155,0.9765868782997131,0.0004092704424510632,0.240966796875,0.22553663467988372,0.073574498295784,9.882450103759766e-05,-0.02239326256676577,0.02167274,0.2,1536,-2.2766099230769226,1257.0
50176,98,1314,38,-43.18706178665161,0.9762377738952637,0.0004092704424510632,0.3021240234375,0.004125720668525901,-0.03274552524089813,-0.0057332515716552734,-0.031150647439062595,0.02419236,0.2,1552,-2.2766099230769226,1257.0
50688,99,1313,38,-43.19054365158081,0.9767711162567139,0.0004092704424510632,0.2498779296875,0.004184581222943962,-0.041698213666677475,-0.0002149343490600586,-0.02597032464109361,0.017636415,0.2,1568,-2.27664615,1257.0
51200,100,1312,38,-43.18691372871399,0.9757580757141113,0.0004092704424510632,0.203369140625,0.2335345190949738,0.08270789682865143,7.486343383789062e-05,-0.022170110896695405,0.015474029,0.2,1584,-2.27664615,1257.0
51712,101,1313,39,-43.14879393577576,0.9747205376625061,0.0004092704424510632,0.2205810546875,0.0042287471442250535,-0.025423094630241394,-0.0014030933380126953,-0.019802879949565977,0.018194377,0.2,1600,-2.275523682926829,1257.0
52224,102,1312,39,-43.13841784000397,0.9750944972038269,0.0004092704424510632,0.258056640625,0.21251651970669627,0.07347927987575531,0.00010019540786743164,-0.024730036791879684,0.023637336,0.2,1616,-2.275523682926829,1257.0
52736,103,1312,40,-43.158353090286255,0.9762202501296997,0.0004092704424510632,0.261962890625,0.004207462829072028,-0.05211358517408371,-0.01635456085205078,-0.026764224072394427,0.021630052,0.2,1632,-2.275523682926829,1257.0
53248,104,1312,40,-43.19069862365723,0.9769359827041626,0.0004092704424510632,0.2603759765625,0.0040380282152909786,-0.052658312022686005,-0.00024211406707763672,-0.026885872772254515,0.021874703,0.2,1648,-2.2746270714285712,1257.0
53760,105,1312,40,-43.20209991931915,0.97673100233078,0.0004092704424510632,0.2230224609375,0.23309209756553173,0.10428960621356964,8.445978164672852e-05,-0.01915781023853924,0.016789328,0.2,1664,-2.2746270714285712,1257.0
54272,106,1312,41,-43.162819623947144,0.9740632772445679,0.0004092704424510632,0.25,0.00573599518975243,-0.0350961834192276,-0.0020188093185424805,-0.02582845976576209,0.015622114,0.2,1680,-2.2746047674418604,1257.0
54784,107,1312,41,-43.07889676094055,0.9723569750785828,0.0004092704424510632,0.1998291015625,0.23754302086308599,0.08688865602016449,-0.0002493858337402344,-0.018663900627871044,0.01562895,0.2,1696,-2.2746047674418604,1257.0
55296,108,1312,42,-43.0365024805069,0.9712976217269897,0.0004092704424510632,0.2763671875,0.004261986294295639,-0.04803526774048805,-0.0013567209243774414,-0.029816433569067158,0.022334823,0.2,1712,-2.2746047674418604,1257.0
55808,109,1312,42,-43.01873302459717,0.9715935587882996,0.0004092704424510632,0.2335205078125,0.004391927664983086,-0.026094745844602585,1.0251998901367188e-05,-0.0234981926769251,0.016201377,0.2,1728,-2.274291977272727,1257.0
56320,110,1312,42,-43.01600730419159,0.9703237414360046,0.0004092704424510632,0.311767578125,0.11414856684859842,0.03461422771215439,4.267692565917969e-05,-0.02490133846004028,0.03442751,0.2,1744,-2.274291977272727,1257.0
56832,111,1312,43,-42.95846223831177,0.9688047766685486,0.0004092704424510632,0.246337890625,0.0051847788417944685,-0.0254569873213768,-0.00018537044525146484,-0.027280810681986623,0.019528816,0.2,1760,-2.2814815777777775,1257.0
57344,112,1312,43,-42.939661741256714,0.9695028066635132,0.0004092704424510632,0.2242431640625,0.27325707115232944,0.07857023179531097,6.204843521118164e-05,-0.024591951922047883,0.01695065,0.2,1776,-2.2814815777777775,1257.0
57856,113,1312,44,-42.95515704154968,0.9693816304206848,0.0004092704424510632,0.25927734375,0.0033604612181079574,-0.0453164204955101,-0.0109025239944458,-0.02901969566300977,0.02170458,0.2,1792,-2.2809450869565215,1257.0
58368,114,1312,44,-42.93879818916321,0.9686055779457092,0.0004092704424510632,0.2669677734375,0.2550706840120256,0.10638432204723358,8.791685104370117e-05,-0.02580720410333015,0.021572415,0.2,1808,-2.2809450869565215,1257.0
58880,115,1312,44,-42.91854286193848,0.9684941172599792,0.0004092704424510632,0.23046875,0.00427711690281285,-0.03241272270679474,-0.01694631576538086,-0.026415733358589932,0.020651402,0.2,1824,-2.2809450869565215,1257.0
59392,116,1312,45,-42.90935838222504,0.9675071239471436,0.0004092704424510632,0.2081298828125,0.0035714090554392897,-0.024417780339717865,-0.0001766681671142578,-0.018598471353470813,0.0188105,0.2,1840,-2.2819100425531915,1257.0
59904,117,1312,45,-42.892083525657654,0.9677882790565491,0.0004092704424510632,0.2147216796875,0.27360298996791244,0.11449211090803146,1.7940998077392578e-05,-0.02129826310556382,0.019431852,0.2,1856,-2.2819100425531915,1257.0
60416,118,1312,46,-42.9250568151474,0.9696269631385803,0.0004092704424510632,0.29150390625,0.0029378840008575935,-0.026663929224014282,-0.0002936124801635742,-0.03190233377972618,0.026457908,0.2,1872,-2.2803301250000003,1257.0
60928,119,1312,46,-42.97023963928223,0.9698503017425537,0.0004092704424510632,0.2293701171875,0.25248520402237773,0.06754997372627258,3.039836883544922e-05,-0.02414653287269175,0.020323701,0.2,1888,-2.2803301250000003,1257.0
61440,120,1312,46,-42.95276963710785,0.9689461588859558,0.0004092704424510632,0.255615234375,0.005150998498720583,-0.043338291347026825,-0.00042045116424560547,-0.029984464359586127,0.020054184,0.2,1904,-2.2803301250000003,1257.0
