time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/explained_variance,train/clip_range,train/loss,train/clip_fraction,train/approx_kl,train/entropy_loss,train/n_updates,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
1294,129,216576,51,-7.57486629486084,0.2,-0.03329318389296532,0.263427734375,0.021797597,-42.13764810562134,6752,0.0004092704424510632,0.006889148105983622,-0.025096168406889774,0.9547215700149536,-2.07323365,1223.0
1294,130,217088,51,0.253986656665802,0.2,0.034383624792099,0.09765625,0.013869826,-42.13019549846649,6768,0.0004092704424510632,0.30610695481300354,-0.013617650954984128,0.9549328088760376,-2.07323365,1223.0
1294,131,217600,51,-2.3352417945861816,0.2,-0.03457146883010864,0.3096923828125,0.027136361,-42.13502836227417,6784,0.0004092704424510632,0.006232010171515867,-0.030667863684357144,0.9549458622932434,-2.07323365,1223.0
1294,132,218112,52,-0.08816564083099365,0.2,-0.03566117584705353,0.2491455078125,0.017044941,-42.12570381164551,6800,0.0004092704424510632,0.002499434664059663,-0.025307935662567616,0.9543836116790771,-2.0720117399999998,1223.0
1294,133,218624,52,0.22024905681610107,0.2,0.0385882705450058,0.14794921875,0.015661735,-42.11668574810028,6816,0.0004092704424510632,0.24399993661791086,-0.020086435542907566,0.9544280767440796,-2.0720117399999998,1223.0
1294,134,219136,53,-10.042450904846191,0.2,-0.03775706887245178,0.2008056640625,0.016368043,-42.10419940948486,6832,0.0004092704424510632,0.016026762648834847,-0.02360825872165151,0.9540283679962158,-2.07104081,1223.0
1294,135,219648,53,0.12495273351669312,0.2,0.02931598573923111,0.0970458984375,0.013022404,-42.082740902900696,6848,0.0004092704424510632,0.3083512973971665,-0.0144223590468755,0.9535479545593262,-2.07104081,1223.0
1294,136,220160,53,-7.986660957336426,0.2,-0.03180890902876854,0.294921875,0.028925601,-42.04742193222046,6864,0.0004092704424510632,0.009455677878577262,-0.02601559357572114,0.9517412781715393,-2.06967456,1223.0
1294,137,220672,54,0.3304779529571533,0.2,0.03884032741189003,0.133056640625,0.01734595,-41.99866998195648,6880,0.0004092704424510632,0.30769809056073427,-0.016750885639339685,0.9507275223731995,-2.06967456,1223.0
1294,138,221184,54,-1.221778392791748,0.2,-0.04603985697031021,0.255126953125,0.018861743,-41.97266137599945,6896,0.0004092704424510632,0.00530804879963398,-0.02626737195532769,0.9501911401748657,-2.06967456,1223.0
1293,139,221696,55,-0.020321130752563477,0.2,-0.037930358201265335,0.2889404296875,0.021811306,-41.998048067092896,6912,0.0004092704424510632,0.002428680116281612,-0.027399151673307642,0.9527313709259033,-2.06909003,1223.0
1293,140,222208,55,0.0983893871307373,0.2,0.0468374602496624,0.10302734375,0.014706513,-42.05376744270325,6928,0.0004092704424510632,0.358195724664256,-0.017826501512899995,0.9538527727127075,-2.06909003,1223.0
1293,141,222720,55,-5.875592231750488,0.2,-0.0362134650349617,0.2869873046875,0.020046972,-42.07101881504059,6944,0.0004092704424510632,0.003268818934884621,-0.026881725585553795,0.9538809061050415,-2.0676850300000003,1223.0
1293,142,223232,56,0.2903088331222534,0.2,0.05769734084606171,0.138427734375,0.02215937,-42.08037877082825,6960,0.0004092704424510632,0.32014805474318564,-0.023347663882304914,0.954200267791748,-2.0676850300000003,1223.0
1293,143,223744,56,-5.269503116607666,0.2,-0.04128945991396904,0.294921875,0.025075907,-42.07212460041046,6976,0.0004092704424510632,0.006764238016330637,-0.027180666744243354,0.9532638192176819,-2.0676850300000003,1223.0
1293,144,224256,56,0.011225700378417969,0.2,-0.02885488048195839,0.26611328125,0.017460708,-42.01549565792084,6992,0.0004092704424510632,0.0024127931210387032,-0.02686536591500044,0.9517284035682678,-2.0660315799999998,1223.0
1293,145,224768,57,0.17293673753738403,0.2,0.022033430635929108,0.0938720703125,0.014298474,-41.9914208650589,7008,0.0004092704424510632,0.30247402051463723,-0.016656662861350924,0.9516255855560303,-2.0660315799999998,1223.0
1293,146,225280,57,-9.382596969604492,0.2,-0.016188614070415497,0.24951171875,0.022318833,-41.99031376838684,7024,0.0004092704424510632,0.013403754477621987,-0.021331415802706033,0.9515553712844849,-2.0641779600000003,1223.0
1293,147,225792,58,0.11626839637756348,0.2,0.015572957694530487,0.1180419921875,0.01757976,-41.98505938053131,7040,0.0004092704424510632,0.3274155124090612,-0.018939967892947607,0.9510320425033569,-2.0641779600000003,1223.0
4206,1,226304,0,-6.032647132873535,0.2,-0.03608740493655205,0.2723388671875,0.021982059,-41.981319189071655,7056,0.0004092704424510632,0.009062867553438991,-0.025565750795067288,0.9513197541236877,-2.0606894899999997,1223.0
1954,2,226816,0,0.36863112449645996,0.2,0.08665630221366882,0.117919921875,0.017223896,-41.99253690242767,7072,0.0004092704424510632,0.33432290283963084,-0.016276284310151823,0.9514886140823364,-2.0606894899999997,1223.0
1659,3,227328,0,-1.5186710357666016,0.2,-0.03937820345163345,0.26220703125,0.01722249,-41.99658679962158,7088,0.0004092704424510632,0.01163794074091129,-0.02905328423366882,0.9517751932144165,-2.0606894899999997,1223.0
1533,4,227840,1,-0.21326208114624023,0.2,-0.020581230521202087,0.1937255859375,0.013792014,-42.022127747535706,7104,0.0004092704424510632,0.002721276141528506,-0.016774213931057602,0.9522736072540283,-2.0612106,1223.0
1473,5,228352,1,0.2771700620651245,0.2,0.02990461327135563,0.1519775390625,0.017047403,-42.0390350818634,7120,0.0004092704424510632,0.3031611880287528,-0.016699359475751407,0.9524309635162354,-2.0612106,1223.0
1440,6,228864,2,-4.772032260894775,0.2,-0.0322328582406044,0.2100830078125,0.019416023,-42.034335136413574,7136,0.0004092704424510632,0.023924841865664348,-0.022267889173235744,0.9516345262527466,-2.05901242,1223.0
1416,7,229376,2,0.32414907217025757,0.2,0.03692621365189552,0.126220703125,0.01678745,-42.01104164123535,7152,0.0004092704424510632,0.3106944253668189,-0.018806518521159887,0.9511996507644653,-2.05901242,1223.0
1397,8,229888,2,-7.258037567138672,0.2,-0.027888339012861252,0.2325439453125,0.021918267,-42.00437867641449,7168,0.0004092704424510632,0.01294589268945856,-0.021420426957774907,0.9513880610466003,-2.05901242,1223.0
1382,9,230400,3,0.31900739669799805,0.2,-0.04460172727704048,0.29931640625,0.023961395,-41.99345028400421,7184,0.0004092704424510632,0.003860859236738179,-0.031612464459612966,0.9498215317726135,-2.05748053,1223.0
1372,10,230912,3,0.32400208711624146,0.2,-0.0015544779598712921,0.141845703125,0.020540275,-41.94753956794739,7200,0.0004092704424510632,0.17421974369790405,-0.01751617222907953,0.9493009448051453,-2.05748053,1223.0
1359,11,231424,4,-7.406811714172363,0.2,-0.024566419422626495,0.251708984375,0.024529623,-41.93075239658356,7216,0.0004092704424510632,0.016296084184432402,-0.02351250335050281,0.9488474130630493,-2.0560390299999995,1223.0
1353,12,231936,4,0.08817398548126221,0.2,0.07409191876649857,0.128173828125,0.01526819,-41.90684950351715,7232,0.0004092704424510632,0.38313887105323374,-0.017183904419653118,0.9485486149787903,-2.0560390299999995,1223.0
