time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/approx_kl,train/loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/std,train/n_updates,train/explained_variance,train/value_loss,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1274,81,41472,32,0.022027543,-0.02074315771460533,0.2,0.0004092704424510632,-0.02258458052529022,0.229248046875,0.9516087770462036,1280,-3.6426329612731934,0.01780462363967672,-42.41617405414581,1258.0,-2.32646175
1274,82,41984,32,0.022897441,-0.03885302320122719,0.2,0.0004092704424510632,-0.02960448396333959,0.2978515625,0.9538348913192749,1296,0.21792185306549072,0.006433994334656745,-42.39832389354706,1258.0,-2.320943727272727
1273,83,42496,33,0.021732695,0.008310489356517792,0.2,0.0004092704424510632,-0.02125178909045644,0.181396484375,0.955155074596405,1312,0.1532224416732788,0.24736342974938452,-42.475109219551086,1258.0,-2.320943727272727
1273,84,43008,33,0.018174352,-0.04244900122284889,0.2,0.0004092704424510632,-0.026758017018437386,0.2239990234375,0.9564300775527954,1328,-2.544067144393921,0.026515970355831087,-42.5106326341629,1258.0,-2.3185519411764703
1272,85,43520,34,0.013164941,0.08645285665988922,0.2,0.0004092704424510632,-0.012105150759452954,0.0567626953125,0.9568378329277039,1344,0.3576781153678894,0.38640911085531116,-42.54507064819336,1258.0,-2.3185519411764703
1272,86,44032,34,0.011932418,-0.02177584543824196,0.2,0.0004092704424510632,-0.01895969800534658,0.1903076171875,0.9568585753440857,1360,0.1254141926765442,0.03870487364474684,-42.55118143558502,1258.0,-2.3155647142857143
1271,87,44544,35,0.018451814,0.10864119231700897,0.2,0.0004092704424510632,-0.021445709149702452,0.1126708984375,0.9565214514732361,1376,0.5777031779289246,0.3719528215005994,-42.547799706459045,1258.0,-2.3155647142857143
1271,88,45056,35,0.014497293,-0.022151583805680275,0.2,0.0004092704424510632,-0.018257514369906858,0.18212890625,0.9565925002098083,1392,-14.624650001525879,0.011573295370908454,-42.53774046897888,1258.0,-2.3155647142857143
1270,89,45568,35,0.018323444,-0.030131779611110687,0.2,0.0004092704424510632,-0.022766479552956298,0.224609375,0.9562722444534302,1408,0.0036504268646240234,0.0025651528376329225,-42.538339138031006,1258.0,-2.314071861111111
1270,90,46080,36,0.019014921,0.08285285532474518,0.2,0.0004092704424510632,-0.02239755741902627,0.149658203125,0.9560912251472473,1424,0.04577279090881348,0.5158143914304674,-42.52692449092865,1258.0,-2.314071861111111
1270,91,46592,36,0.009972328,-0.012873252853751183,0.2,0.0004092704424510632,-0.016966895942459814,0.1224365234375,0.9560789465904236,1440,-0.5406674146652222,0.04513442190364003,-42.52178072929382,1258.0,-2.313602
1270,92,47104,37,0.0130044315,0.11305566132068634,0.2,0.0004092704424510632,-0.01673903758637607,0.0863037109375,0.9563844203948975,1456,0.43818408250808716,0.427279734518379,-42.52375817298889,1258.0,-2.313602
1270,93,47616,37,0.019088896,-0.03509793058037758,0.2,0.0004092704424510632,-0.025852169295831118,0.2615966796875,0.9576733708381653,1472,-10.190888404846191,0.005407223470683675,-42.54790389537811,1258.0,-2.313602
1269,94,48128,37,0.0155782625,-0.029144201427698135,0.2,0.0004092704424510632,-0.024268199369544163,0.2164306640625,0.9589279890060425,1488,0.05536848306655884,0.005262615864921827,-42.595752358436584,1258.0,-2.310805947368421
1269,95,48640,38,0.010975961,0.08450085669755936,0.2,0.0004092704424510632,-0.0127172053034883,0.0445556640625,0.9589135646820068,1504,0.10597550868988037,0.6315742270089686,-42.617199063301086,1258.0,-2.310805947368421
1269,96,49152,38,0.018412244,-0.03824464976787567,0.2,0.0004092704424510632,-0.03295635216636583,0.26318359375,0.9599191546440125,1520,-0.513629674911499,0.03547222417546436,-42.6242390871048,1258.0,-2.3081543333333334
1269,97,49664,39,0.015341159,0.12038612365722656,0.2,0.0004092704424510632,-0.019848129551974125,0.108642578125,0.9598073363304138,1536,0.4316748380661011,0.4871931290253997,-42.64887881278992,1258.0,-2.3081543333333334
1269,98,50176,39,0.018155534,-0.033689845353364944,0.2,0.0004092704424510632,-0.024373721127631143,0.2237548828125,0.9587005376815796,1552,-15.154394149780273,0.013285560329677537,-42.62586569786072,1258.0,-2.3081543333333334
