time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/std,train/n_updates,train/clip_fraction,train/clip_range,train/value_loss,train/loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
159232,17,4,1889,-42.832568645477295,-0.007013559777988121,0.008980509,0.8691170811653137,0.9709601402282715,4960,0.0341796875,0.2,0.921122052706778,0.20763127505779266,0.0004092704424510632,1258.0,-2.71220638
159744,18,4,1886,-42.838837027549744,-0.02767115505412221,0.017225835,0.15590614080429077,0.9711664319038391,4976,0.273193359375,0.2,0.05187496484722942,-0.024645965546369553,0.0004092704424510632,1258.0,-2.71220638
160256,19,5,1884,-42.84833323955536,-0.0073271438959636725,0.009034454,0.9072742462158203,0.9712644219398499,4992,0.0390625,0.2,0.9332883171737194,0.34706008434295654,0.0004092704424510632,1258.0,-2.711257100000001
160768,20,5,1878,-42.85105276107788,-0.025172258683596738,0.04326595,0.9931001663208008,0.9711984395980835,5008,0.3045654296875,0.2,0.03694092585647013,-0.032917570322752,0.0004092704424510632,1258.0,-2.711257100000001
161280,21,5,1875,-42.83639097213745,-0.021848084266821388,0.018878423,-1.0843231678009033,0.9704338908195496,5024,0.2542724609375,0.2,0.023158496420364827,-0.013664661906659603,0.0004092704424510632,1258.0,-2.7092074500000014
161792,22,6,1872,-42.83803415298462,-0.005986756113998126,0.007179185,0.8542606830596924,0.9707053899765015,5040,0.0452880859375,0.2,0.6648315289057791,0.11787045001983643,0.0004092704424510632,1258.0,-2.7092074500000014
162304,23,6,1870,-42.8764191865921,-0.024384003248997033,0.01766128,-0.9554038047790527,0.9732997417449951,5056,0.255615234375,0.2,0.01360775443026796,-0.02002674527466297,0.0004092704424510632,1258.0,-2.7074799500000006
162816,24,6,1869,-42.93634283542633,-0.00549548226990737,0.008318909,0.726215124130249,0.9738104343414307,5072,0.0374755859375,0.2,0.696036639623344,0.12947870790958405,0.0004092704424510632,1258.0,-2.7074799500000006
163328,25,6,1866,-42.964964628219604,-0.02447263104841113,0.013890648,-0.23791754245758057,0.9761672616004944,5088,0.2232666015625,0.2,0.003048402682907181,-0.03836823254823685,0.0004092704424510632,1258.0,-2.7074799500000006
163840,26,7,1864,-43.02594256401062,-0.029223960387753323,0.021401156,-0.28762638568878174,0.9768375754356384,5104,0.2744140625,0.2,0.0036309005663497373,-0.040827129036188126,0.0004092704424510632,1258.0,-2.706756870000001
