time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/clip_range,train/value_loss,train/n_updates,train/learning_rate,train/clip_fraction,train/loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
103,52736,43,1208,-0.03130490123294294,0.021477763,0.3672710657119751,-42.971611738204956,0.2,0.018209461763035506,1632,0.0004092704424510632,0.278564453125,-0.04409348964691162,0.9703639149665833,-2.3907837073170732,1258.0
104,53248,44,1208,-0.022542640450410545,0.017956745,-0.46266472339630127,-43.01088261604309,0.2,0.004026553360745311,1648,0.0004092704424510632,0.198486328125,-0.0281362384557724,0.971698522567749,-2.3953568095238094,1258.0
105,53760,44,1208,-0.021425066312076524,0.019484296,0.1010441780090332,-43.03751826286316,0.2,0.09568702219985425,1664,0.0004092704424510632,0.218505859375,0.007946956902742386,0.9716745615005493,-2.3953568095238094,1258.0
106,54272,44,1208,-0.01893875008681789,0.015793435,-0.10674965381622314,-43.030717253685,0.2,0.026012825808720663,1680,0.0004092704424510632,0.159423828125,-0.015752099454402924,0.971607506275177,-2.3937066744186044,1258.0
107,54784,45,1208,-0.022756363890948705,0.027575746,0.2762637734413147,-43.02856695652008,0.2,0.11227913829497993,1696,0.0004092704424510632,0.2484130859375,0.020837167277932167,0.9713517427444458,-2.3937066744186044,1258.0
108,55296,45,1208,-0.024637683673063293,0.02205633,0.3217305541038513,-43.01141571998596,0.2,0.02362344868015498,1712,0.0004092704424510632,0.21923828125,-0.022611720487475395,0.9709011316299438,-2.3937066744186044,1258.0
109,55808,46,1208,-0.022972055798163638,0.017388012,-0.16439461708068848,-43.019450545310974,0.2,0.003488073365588207,1728,0.0004092704424510632,0.2239990234375,-0.045310720801353455,0.972383975982666,-2.392930386363636,1258.0
110,56320,46,1208,-0.02242470145574771,0.028749786,0.10679870843887329,-43.05948293209076,0.2,0.11267846869304776,1744,0.0004092704424510632,0.2537841796875,0.022616524249315262,0.972839891910553,-2.392930386363636,1258.0
111,56832,47,1208,-0.022753929486498237,0.01625504,-0.5411853790283203,-43.037174344062805,0.2,0.01704979271744378,1760,0.0004092704424510632,0.203857421875,-0.031425122171640396,0.970833420753479,-2.3984088888888886,1258.0
112,57344,47,1208,-0.022587512794416398,0.015799776,0.1279839277267456,-42.97675538063049,0.2,0.11238395515829325,1776,0.0004092704424510632,0.2369384765625,0.02676578238606453,0.9699821472167969,-2.3984088888888886,1258.0
