time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/learning_rate,train/clip_fraction,train/value_loss,train/clip_range,train/std,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
1237,112640,30,73,0.0004092704424510632,0.1173095703125,0.32577921031042933,0.2,0.9984650015830994,-43.79525601863861,-0.01840864756377414,0.012696053,0.05507175624370575,0.3703620433807373,3504,-2.2977136966292133,1257.0
1237,113152,30,74,0.0004092704424510632,0.254638671875,0.004829230849281885,0.2,0.9963465332984924,-43.77794671058655,-0.02653568220557645,0.018246774,-0.030217379331588745,-0.07504117488861084,3520,-2.297926788888889,1257.0
1237,113664,31,75,0.0004092704424510632,0.0565185546875,0.39919216046109796,0.2,0.9956183433532715,-43.7261403799057,-0.011619820055784658,0.008404799,0.05764831602573395,0.6122501492500305,3536,-2.297926788888889,1257.0
1237,114176,31,76,0.0004092704424510632,0.2640380859375,0.0053625180225935765,0.2,0.9952435493469238,-43.716976046562195,-0.03037803032202646,0.020715017,-0.04014762118458748,-0.4691455364227295,3552,-2.297926788888889,1257.0
1236,114688,31,77,0.0004092704424510632,0.3057861328125,0.004489381171879359,0.2,0.9954513907432556,-43.70458102226257,-0.037399986787931994,0.021539716,-0.0516354963183403,-0.6954090595245361,3568,-2.2967850989010987,1257.0
1236,115200,32,78,0.0004092704424510632,0.0645751953125,0.42067711404524744,0.2,0.995735228061676,-43.717564940452576,-0.011438832763815299,0.011870152,0.1231258437037468,0.32117539644241333,3584,-2.2967850989010987,1257.0
1236,115712,32,79,0.0004092704424510632,0.2735595703125,0.010491857305169106,0.2,0.9955193996429443,-43.71898031234741,-0.02736334274231922,0.020448608,-0.03232356533408165,-0.8971285820007324,3600,-2.2932318478260867,1257.0
1236,116224,33,80,0.0004092704424510632,0.0426025390625,0.4781263484619558,0.2,0.9954330921173096,-43.71407973766327,-0.012412801588652655,0.00996314,0.07227106392383575,0.7809643745422363,3616,-2.2932318478260867,1257.0
1235,116736,33,81,0.0004092704424510632,0.2506103515625,0.008425986743532121,0.2,0.9968762397766113,-43.73099410533905,-0.02733426445047371,0.015702419,-0.024115508422255516,-0.3028804063796997,3632,-2.2932318478260867,1257.0
1235,117248,33,82,0.0004092704424510632,0.2353515625,0.005399958783527836,0.2,0.9955052733421326,-43.74209368228912,-0.026050944055896252,0.018632377,-0.03823232650756836,-0.4416466951370239,3648,-2.2941635483870964,1257.0
1235,117760,34,83,0.0004092704424510632,0.036376953125,0.5190085051581264,0.2,0.9947090744972229,-43.69654452800751,-0.01198269528686069,0.008714975,0.020813658833503723,0.33076387643814087,3664,-2.2941635483870964,1257.0
