time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/entropy_loss,train/value_loss,train/loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_range,train/explained_variance,train/clip_fraction,train/std,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
184832,1270,27,67,-44.0966602563858,0.024336569593288004,-0.03513754904270172,-0.023495598376030102,5760,0.0004092704424510632,0.2,-5.487251281738281,0.2601318359375,1.0134791135787964,0.020507356,-2.77119088,1258.0
185344,1270,27,68,-44.11930787563324,0.017701485892757773,-0.02950604073703289,-0.019546336930943653,5776,0.0004092704424510632,0.2,0.015083372592926025,0.2178955078125,1.0156835317611694,0.020105928,-2.7726742299999994,1258.0
185856,1270,27,69,-44.18282628059387,0.939882114995271,0.15352359414100647,-0.014650403842097148,5792,0.0004092704424510632,0.2,0.23459547758102417,0.0721435546875,1.016589879989624,0.012629958,-2.7726742299999994,1258.0
186368,1269,28,70,-44.18285512924194,0.01605809200555086,-0.031817477196455,-0.026918895746348426,5808,0.0004092704424510632,0.2,-3.010251045227051,0.2830810546875,1.0158575773239136,0.02123947,-2.77178426,1258.0
186880,1269,28,71,-44.17128086090088,0.9934618873521686,0.20997591316699982,-0.010905648770858534,5824,0.0004092704424510632,0.2,0.5317846536636353,0.080810546875,1.0156769752502441,0.012845025,-2.77178426,1258.0
187392,1269,29,72,-44.15142512321472,0.006899653832078911,-0.029988624155521393,-0.02494239182851743,5840,0.0004092704424510632,0.2,-6.205502033233643,0.26611328125,1.0144439935684204,0.022512631,-2.77178426,1258.0
187904,1269,29,73,-44.09880983829498,0.01675818598596379,-0.04228390380740166,-0.029996544762980193,5856,0.0004092704424510632,0.2,0.10316932201385498,0.2725830078125,1.0128469467163086,0.024284735,-2.7728337299999994,1258.0
188416,1269,29,74,-44.06546425819397,0.4848413357976824,0.03584492206573486,-0.01285357540473342,5872,0.0004092704424510632,0.2,0.5313656330108643,0.088623046875,1.0125609636306763,0.0139901955,-2.7728337299999994,1258.0
188928,1268,30,75,-44.05380594730377,0.03907027782406658,-0.019690480083227158,-0.02828881610184908,5888,0.0004092704424510632,0.2,-1.8136718273162842,0.3394775390625,1.0120468139648438,0.026595704,-2.77635722,1258.0
189440,1268,30,76,-44.04445016384125,1.2005517543293536,0.17279943823814392,-0.01390657844603993,5904,0.0004092704424510632,0.2,0.32138824462890625,0.0556640625,1.0122827291488647,0.010726439,-2.77635722,1258.0
