time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/value_loss,train/policy_gradient_loss,train/std,train/clip_range,train/clip_fraction,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/approx_kl,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
28,100,51200,1781,0.1404598621884361,-0.01462259058462223,0.9706023931503296,0.2,0.095458984375,0.6908118724822998,1584,-0.008678976446390152,0.0004092704424510632,0.016841304,-42.9920289516449,-2.276220475,1258.0
29,101,51712,1782,0.009543572086840868,-0.026231487005134113,0.9730985164642334,0.2,0.2691650390625,-0.21711134910583496,1600,-0.03267433121800423,0.0004092704424510632,0.0181544,-43.01643347740173,-2.280975536585366,1258.0
29,102,52224,1783,0.25998904823791236,-0.010968750109896064,0.9731628894805908,0.2,0.056884765625,0.30901551246643066,1616,0.010283499956130981,0.0004092704424510632,0.013738344,-43.07708394527435,-2.280975536585366,1258.0
29,103,52736,1784,0.003439418171183206,-0.026780401618452743,0.9709668159484863,0.2,0.23486328125,-0.3582596778869629,1632,-0.04346747696399689,0.0004092704424510632,0.015614935,-43.03565537929535,-2.280975536585366,1258.0
29,104,53248,1785,0.006168261912534945,-0.029570202197646722,0.9722731113433838,0.2,0.2919921875,0.01700502634048462,1648,-0.030618678778409958,0.0004092704424510632,0.022771697,-43.00295901298523,-2.2829124285714286,1258.0
30,105,53760,1785,0.367587752523832,-0.01904370878764894,0.9725134968757629,0.2,0.1123046875,0.09426432847976685,1664,-0.013208042830228806,0.0004092704424510632,0.016638402,-43.04020798206329,-2.2829124285714286,1258.0
30,106,54272,1786,0.00651167549949605,-0.03029953841905808,0.9750946164131165,0.2,0.2816162109375,0.03997242450714111,1680,-0.036285463720560074,0.0004092704424510632,0.023145674,-43.068207144737244,-2.2807532325581397,1258.0
30,107,54784,1787,0.29002163268160075,-0.012032009384711273,0.9759294390678406,0.2,0.0941162109375,0.26191532611846924,1696,0.0007368754595518112,0.0004092704424510632,0.015507197,-43.1385293006897,-2.2807532325581397,1258.0
30,108,55296,1788,0.0021801135917485226,-0.028854057367425412,0.9764710664749146,0.2,0.30517578125,-0.3632040023803711,1712,-0.04289305955171585,0.0004092704424510632,0.024676979,-43.14664804935455,-2.2807532325581397,1258.0
31,109,55808,1788,0.011979215720202774,-0.023817310386220925,0.9745277762413025,0.2,0.234375,0.5525575876235962,1728,-0.030559683218598366,0.0004092704424510632,0.020925839,-43.13743209838867,-2.278042272727273,1258.0
31,110,56320,1789,0.08318331895861775,-0.021487105012056418,0.9726908206939697,0.2,0.177001953125,0.7628452777862549,1744,-0.031656935811042786,0.0004092704424510632,0.023694571,-43.061795592308044,-2.278042272727273,1258.0
31,111,56832,1790,0.040866089751943946,-0.027603414724580944,0.9719039797782898,0.2,0.239990234375,0.1901758313179016,1760,-0.015192102640867233,0.0004092704424510632,0.017625012,-43.02092623710632,-2.275350311111111,1258.0
32,112,57344,1791,0.32746666856110096,-0.01264058876404306,0.9719941020011902,0.2,0.0958251953125,0.8510454297065735,1776,0.04795731231570244,0.0004092704424510632,0.016022688,-43.00400376319885,-2.275350311111111,1258.0
32,113,57856,1792,0.005869837252248544,-0.02877484355121851,0.9711140990257263,0.2,0.251220703125,-3.93552303314209,1792,-0.03759391978383064,0.0004092704424510632,0.028612461,-42.9952894449234,-2.275350311111111,1258.0
32,114,58368,1793,0.017017767328070477,-0.026927215774776414,0.9731560349464417,0.2,0.2713623046875,0.4532804489135742,1808,-0.041640374809503555,0.0004092704424510632,0.021952055,-43.00153028964996,-2.273421739130435,1258.0
32,115,58880,1793,0.17626196795026772,-0.02013251253811177,0.9740546345710754,0.2,0.2198486328125,0.29675692319869995,1824,-0.007602308876812458,0.0004092704424510632,0.03692045,-43.06063413619995,-2.273421739130435,1258.0
33,116,59392,1794,0.01526997223845683,-0.02299727023637388,0.9701644778251648,0.2,0.204833984375,-0.10803532600402832,1840,-0.01755390502512455,0.0004092704424510632,0.0138316555,-43.021018266677856,-2.2749395531914893,1258.0
33,117,59904,1795,0.29442472581285983,-0.005013917325413786,0.9687830209732056,0.2,0.0189208984375,0.44032859802246094,1856,0.012475838884711266,0.0004092704424510632,0.005957011,-42.91537117958069,-2.2749395531914893,1258.0
33,118,60416,1796,0.0018766089124255814,-0.027979261125437915,0.9671378135681152,0.2,0.2694091796875,-1.9222257137298584,1872,-0.042584482580423355,0.0004092704424510632,0.018368071,-42.884992241859436,-2.2694035625,1258.0
33,119,60928,1797,0.25611644913442433,-0.015024396765511483,0.9665262699127197,0.2,0.1031494140625,0.6937590837478638,1888,0.07621687650680542,0.0004092704424510632,0.015712816,-42.83275592327118,-2.2694035625,1258.0
34,120,61440,1797,0.0027382643274904694,-0.023537681729067117,0.9661497473716736,0.2,0.2392578125,-0.44138097763061523,1904,-0.03356558084487915,0.0004092704424510632,0.014786547,-42.82308769226074,-2.2694035625,1258.0
34,121,61952,1798,0.007911026768852025,-0.02849758754018694,0.9661036133766174,0.2,0.2860107421875,0.09249269962310791,1920,-0.02670464478433132,0.0004092704424510632,0.023947975,-42.80436563491821,-2.2717765102040817,1258.0
34,122,62464,1799,0.20052772026974708,-0.016589249775279313,0.9660603404045105,0.2,0.10498046875,0.7334966659545898,1936,0.00019560381770133972,0.0004092704424510632,0.018428398,-42.809343457221985,-2.2717765102040817,1258.0
34,123,62976,1799,0.010263326912536286,-0.031247062550392002,0.9676966071128845,0.2,0.2493896484375,-0.3825618028640747,1952,-0.04088595509529114,0.0004092704424510632,0.018927753,-42.82119560241699,-2.27107776,1258.0
35,124,63488,1800,0.3046275300439447,-0.014049900797544979,0.9678471088409424,0.2,0.0689697265625,0.8255496621131897,1968,0.04250836372375488,0.0004092704424510632,0.011841133,-42.86372900009155,-2.27107776,1258.0
35,125,64000,1800,0.006448951629863586,-0.019544794151443057,0.9682611227035522,0.2,0.223388671875,-5.379885196685791,1984,-0.02270898036658764,0.0004092704424510632,0.015460672,-42.85803031921387,-2.27107776,1258.0
35,126,64512,1801,0.008040262095164508,-0.023888763069408014,0.9692015647888184,0.2,0.2451171875,0.12017780542373657,2000,-0.029242901131510735,0.0004092704424510632,0.017920725,-42.88861298561096,-2.271151862745098,1258.0
36,127,65024,1801,0.17979030695278198,-0.017834367157774977,0.9691210389137268,0.2,0.1275634765625,0.7413784265518188,2016,-0.02163425274193287,0.0004092704424510632,0.016869841,-42.89695966243744,-2.271151862745098,1258.0
36,128,65536,1802,0.01156721866573207,-0.03380687171011232,0.9677727818489075,0.2,0.298095703125,-0.5578792095184326,2032,-0.03282621502876282,0.0004092704424510632,0.019816274,-42.872331738471985,-2.2730676346153844,1258.0
36,129,66048,1803,0.4222691881004721,-0.006935877827345394,0.9673340320587158,0.2,0.05224609375,0.3261373043060303,2048,0.012276049703359604,0.0004092704424510632,0.010159132,-42.83599042892456,-2.2730676346153844,1258.0
36,130,66560,1803,0.0018840014236047864,-0.026181672292295843,0.9635328650474548,0.2,0.2320556640625,-0.8606081008911133,2064,-0.04515285789966583,0.0004092704424510632,0.016616918,-42.779622077941895,-2.2730676346153844,1258.0
37,131,67072,1801,0.007621446915436536,-0.025657145190052688,0.9589900970458984,0.2,0.234619140625,0.09755170345306396,2080,-0.051250237971544266,0.0004092704424510632,0.017081592,-42.632161021232605,-2.2689564528301887,1258.0
37,132,67584,1801,0.25421002763323486,-0.011737423832528293,0.9577368497848511,0.2,0.0634765625,0.607897162437439,2096,0.007825709879398346,0.0004092704424510632,0.013324165,-42.52822756767273,-2.2689564528301887,1258.0
37,133,68096,1801,0.006181508200825192,-0.03324493803665973,0.956428587436676,0.2,0.284423828125,-0.16353559494018555,2112,-0.03978392109274864,0.0004092704424510632,0.020969845,-42.5011191368103,-2.2703757222222225,1258.0
38,134,68608,1801,0.32905909046530724,-0.017082389444112778,0.9556076526641846,0.2,0.08251953125,0.6787571907043457,2128,0.02412961609661579,0.0004092704424510632,0.0154718235,-42.45644438266754,-2.2703757222222225,1258.0
38,135,69120,1801,0.002664245643245522,-0.028604853519937024,0.9538021683692932,0.2,0.2789306640625,-1.7137978076934814,2144,-0.040268801152706146,0.0004092704424510632,0.02021113,-42.41875910758972,-2.2703757222222225,1258.0
38,136,69632,1801,0.02043336833594367,-0.028443443938158453,0.9532639384269714,0.2,0.2672119140625,0.604300856590271,2160,-0.032936401665210724,0.0004092704424510632,0.020383095,-42.36396872997284,-2.268206690909091,1258.0
38,137,70144,1801,0.18576279818080366,-0.018095588398864493,0.9525905847549438,0.2,0.1165771484375,0.7487537860870361,2176,-0.019105006009340286,0.0004092704424510632,0.014409859,-42.35311996936798,-2.268206690909091,1258.0
39,138,70656,1802,0.011339457239955664,-0.023886652837973088,0.9514727592468262,0.2,0.21240234375,-0.16308128833770752,2192,-0.030459459871053696,0.0004092704424510632,0.017024256,-42.31972420215607,-2.2643598035714283,1258.0
39,139,71168,1802,0.3765563240740448,-0.015107271130545996,0.9514052867889404,0.2,0.05859375,0.49787282943725586,2208,-0.007037319242954254,0.0004092704424510632,0.012567976,-42.291425585746765,-2.2643598035714283,1258.0
39,140,71680,1803,0.00216115153307328,-0.02493382340617245,0.95130854845047,0.2,0.2398681640625,-0.5174878835678101,2224,-0.03342302143573761,0.0004092704424510632,0.016519926,-42.29533576965332,-2.2643598035714283,1258.0
40,141,72192,1804,0.014050863974262029,-0.026724301802460104,0.9505089521408081,0.2,0.2880859375,0.45770764350891113,2240,-0.0236508809030056,0.0004092704424510632,0.024857972,-42.28474676609039,-2.265832,1258.0
40,142,72704,1804,0.2036718406016007,-0.018919500827905722,0.9496734738349915,0.2,0.1641845703125,0.44589418172836304,2256,-0.025292932987213135,0.0004092704424510632,0.0221553,-42.25879514217377,-2.265832,1258.0
40,143,73216,1805,0.009272867304389365,-0.024611119020846672,0.9478462934494019,0.2,0.2420654296875,-0.19681549072265625,2272,-0.029743967577815056,0.0004092704424510632,0.016552942,-42.21735632419586,-2.2675317413793104,1258.0
40,144,73728,1805,0.4186527116689831,-0.014766694905119948,0.9470838904380798,0.2,0.1309814453125,0.7480292320251465,2288,0.0431428998708725,0.0004092704424510632,0.017999036,-42.17174553871155,-2.2675317413793104,1258.0
41,145,74240,1805,0.002948843040940119,-0.022429632575949654,0.947579562664032,0.2,0.257080078125,-2.6362509727478027,2304,-0.04201432317495346,0.0004092704424510632,0.014134675,-42.17034101486206,-2.265119305084746,1258.0
41,146,74752,1805,0.4164411807432771,-0.015376563867903315,0.9473397731781006,0.2,0.088623046875,0.6669118404388428,2320,0.017741326242685318,0.0004092704424510632,0.015997134,-42.18799352645874,-2.265119305084746,1258.0
41,147,75264,1805,0.002747977008766611,-0.02537672349717468,0.9492307901382446,0.2,0.269287109375,-1.872704267501831,2336,-0.03875749558210373,0.0004092704424510632,0.0194786,-42.20243978500366,-2.265119305084746,1258.0
