time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/clip_fraction,train/std,train/policy_gradient_loss,train/approx_kl,train/loss,train/value_loss,train/entropy_loss,train/learning_rate,train/clip_range,train/explained_variance,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean
1913,73,19,112640,0.2242431640625,0.9373565316200256,-0.026257097859343048,0.02628525,0.1307462602853775,0.4018789120018482,-41.85523724555969,0.0004092704424510632,0.2,1.1920928955078125e-06,3504,1258.0,-3.1401199438202245
1911,74,19,113152,0.263671875,0.9391191601753235,-0.027368462113372516,0.018273149,-0.037104856222867966,0.012886459822766483,-41.878151059150696,0.0004092704424510632,0.2,2.1755695343017578e-05,3520,1258.0,-3.1401199438202245
1909,75,20,113664,0.2724609375,0.9401103258132935,-0.031181766971712932,0.01828442,-0.04709814116358757,0.003982760004873853,-41.93560302257538,0.0004092704424510632,0.2,2.7835369110107422e-05,3536,1258.0,-3.139015722222222
1907,76,20,114176,0.2733154296875,0.939484179019928,-0.029248012753669173,0.021966668,0.2061261534690857,0.40437186043709517,-41.93797588348389,0.0004092704424510632,0.2,2.205371856689453e-06,3552,1258.0,-3.139015722222222
1905,77,20,114688,0.2421875,0.9367548823356628,-0.022935620771022514,0.02023204,-0.029743432998657227,0.014625291514676064,-41.8850736618042,0.0004092704424510632,0.2,4.029273986816406e-05,3568,1258.0,-3.13905378021978
1902,78,20,115200,0.216552734375,0.9357447624206543,-0.021649182352120988,0.018805694,0.1584961861371994,0.3973797056823969,-41.814493060112,0.0004092704424510632,0.2,7.331371307373047e-06,3584,1258.0,-3.13905378021978
1900,79,21,115712,0.251953125,0.9350603222846985,-0.0252480395429302,0.02457209,-0.03800162300467491,0.012094844016246498,-41.785723090171814,0.0004092704424510632,0.2,6.657838821411133e-05,3600,1258.0,-3.13905378021978
1898,80,21,116224,0.2685546875,0.9342570304870605,-0.027849867765326053,0.019986087,-0.03459884226322174,0.00562644048477523,-41.76302647590637,0.0004092704424510632,0.2,9.614229202270508e-05,3616,1258.0,-3.1378212608695653
1896,81,21,116736,0.3121337890625,0.9340847134590149,-0.027553688152693212,0.034903377,0.11561061441898346,0.28743488527834415,-41.73558807373047,0.0004092704424510632,0.2,7.152557373046875e-07,3632,1258.0,-3.1378212608695653
1894,82,22,117248,0.3154296875,0.935091495513916,-0.029316116910194978,0.031687945,-0.029147464781999588,0.012037222360959277,-41.74000799655914,0.0004092704424510632,0.2,5.781650543212891e-06,3648,1258.0,-3.135953956989247
1892,83,22,117760,0.28369140625,0.9356151223182678,-0.031767063977895305,0.031125696,0.1898144781589508,0.4390157088637352,-41.7745578289032,0.0004092704424510632,0.2,5.364418029785156e-07,3664,1258.0,-3.135953956989247
1890,84,22,118272,0.2230224609375,0.9358938932418823,-0.02482085974770598,0.01965148,-0.02420963905751705,0.009109681428526528,-41.7732812166214,0.0004092704424510632,0.2,1.4960765838623047e-05,3680,1258.0,-3.135208914893617
1889,85,23,118784,0.26220703125,0.9377070665359497,-0.02925056058302289,0.025441144,0.1667213886976242,0.4198144003748894,-41.81132221221924,0.0004092704424510632,0.2,6.556510925292969e-07,3696,1258.0,-3.135208914893617
1887,86,23,119296,0.224609375,0.9377905130386353,-0.02381271857302636,0.019216342,-0.03658217936754227,0.003559871271136217,-41.85080647468567,0.0004092704424510632,0.2,-2.384185791015625e-07,3712,1258.0,-3.135208914893617
1885,87,23,119808,0.2735595703125,0.9376680254936218,-0.02617908813408576,0.031638242,-0.03765331208705902,0.006001524714520201,-41.84309232234955,0.0004092704424510632,0.2,7.450580596923828e-06,3728,1258.0,-3.133590642105263
1884,88,23,120320,0.209228515625,0.9382012486457825,-0.021073243668070063,0.015969198,0.12273677438497543,0.4087409055791795,-41.852362513542175,0.0004092704424510632,0.2,5.364418029785156e-07,3744,1258.0,-3.133590642105263
1882,89,24,120832,0.25830078125,0.9386408925056458,-0.0285131559940055,0.020492598,-0.02930591069161892,0.01135301859176252,-41.86136817932129,0.0004092704424510632,0.2,1.9490718841552734e-05,3760,1258.0,-3.1333120729166666
1881,90,24,121344,0.231689453125,0.939185380935669,-0.02631264143565204,0.020980364,0.12486482411623001,0.40468693617731333,-41.880141854286194,0.0004092704424510632,0.2,1.1920928955078125e-06,3776,1258.0,-3.1333120729166666
1880,91,24,121856,0.2470703125,0.9404945969581604,-0.02522298450639937,0.02213422,-0.027852339670062065,0.00864394282689318,-41.89985275268555,0.0004092704424510632,0.2,1.0192394256591797e-05,3792,1258.0,-3.1333120729166666
1878,92,25,122368,0.2410888671875,0.9390652775764465,-0.023288156793569215,0.017273467,-0.032541848719120026,0.001926419130541035,-41.910335540771484,0.0004092704424510632,0.2,6.67572021484375e-06,3808,1258.0,-3.1327529896907214
1877,93,25,122880,0.218994140625,0.9384142756462097,-0.022227586843655445,0.021571686,0.15009552240371704,0.4016223317012191,-41.85881841182709,0.0004092704424510632,0.2,5.364418029785156e-07,3824,1258.0,-3.1327529896907214
1876,94,25,123392,0.3282470703125,0.9365593791007996,-0.03569071617675945,0.025313675,-0.05348721519112587,0.012908035540021956,-41.830739855766296,0.0004092704424510632,0.2,2.1278858184814453e-05,3840,1258.0,-3.1320994183673467
1875,95,25,123904,0.2557373046875,0.9349784851074219,-0.028353735546261305,0.019313052,0.12943197786808014,0.39572433568537235,-41.76401925086975,0.0004092704424510632,0.2,1.5497207641601562e-06,3856,1258.0,-3.1320994183673467
1873,96,26,124416,0.226318359375,0.934773862361908,-0.027075187157606706,0.020032912,-0.03392275422811508,0.014471350150415674,-41.72947072982788,0.0004092704424510632,0.2,1.239776611328125e-05,3872,1258.0,-3.1320994183673467
1872,97,26,124928,0.203857421875,0.9360978603363037,-0.028074597255908884,0.012895858,-0.04026118665933609,0.003414032471482642,-41.7388299703598,0.0004092704424510632,0.2,9.5367431640625e-06,3888,1258.0,-3.1321040101010102
1870,98,26,125440,0.2464599609375,0.9359431266784668,-0.029960858926642686,0.02009677,0.17057274281978607,0.4022677605971694,-41.76550734043121,0.0004092704424510632,0.2,1.1920928955078125e-06,3904,1258.0,-3.1321040101010102
1869,99,27,125952,0.2431640625,0.9366086721420288,-0.024206708098063245,0.019627037,-0.024484481662511826,0.01643261723802425,-41.75940752029419,0.0004092704424510632,0.2,1.7702579498291016e-05,3920,1258.0,-3.13249389
1868,100,27,126464,0.2066650390625,0.9365979433059692,-0.019259987326222472,0.020237237,0.13940268754959106,0.3854763898998499,-41.789427280426025,0.0004092704424510632,0.2,2.682209014892578e-06,3936,1258.0,-3.13249389
1867,101,27,126976,0.2142333984375,0.9388274550437927,-0.022548051783815026,0.018208858,-0.01710328459739685,0.009365737132611685,-41.80999004840851,0.0004092704424510632,0.2,2.7000904083251953e-05,3952,1258.0,-3.13249389
1865,102,27,127488,0.183349609375,0.9378505349159241,-0.018890030798502266,0.01510047,-0.028465086594223976,0.003105615240201587,-41.8452205657959,0.0004092704424510632,0.2,7.510185241699219e-06,3968,1258.0,-3.1282956300000007
1864,103,28,128000,0.198486328125,0.9380234479904175,-0.02199307075352408,0.015062759,0.15932011604309082,0.3965993169695139,-41.80947136878967,0.0004092704424510632,0.2,2.2649765014648438e-06,3984,1258.0,-3.1282956300000007
1863,104,28,128512,0.25537109375,0.9400098323822021,-0.020273311180062592,0.0245672,-0.02898246981203556,0.01063812684151344,-41.847034096717834,0.0004092704424510632,0.2,6.079673767089844e-05,4000,1258.0,-3.12648223
1862,105,28,129024,0.2633056640625,0.9411500692367554,-0.026454890277818777,0.024811093,0.1319109946489334,0.3924144608899951,-41.90293347835541,0.0004092704424510632,0.2,7.808208465576172e-06,4016,1258.0,-3.12648223
1861,106,29,129536,0.277587890625,0.9425864815711975,-0.026878085598582402,0.023676263,-0.030454907566308975,0.011607945547439158,-41.93924963474274,0.0004092704424510632,0.2,0.00010699033737182617,4032,1258.0,-3.12648223
1860,107,29,130048,0.189208984375,0.9427495002746582,-0.022336906258715317,0.015942708,-0.029842274263501167,0.005215313489316031,-41.9762966632843,0.0004092704424510632,0.2,0.00012195110321044922,4048,1258.0,-3.1239118399999994
1859,108,29,130560,0.288330078125,0.9418336153030396,-0.027858788467710838,0.035995178,0.1394900381565094,0.3494053529575467,-41.95547533035278,0.0004092704424510632,0.2,1.0251998901367188e-05,4064,1258.0,-3.1239118399999994
