time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/loss,train/clip_range,train/std,train/value_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/entropy_loss,train/approx_kl,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
55808,1305,109,42,-0.026171908393735066,-0.04381176456809044,0.2,0.9818627834320068,0.004370556562207639,0.253173828125,1728,0.0004092704424510632,-43.31845474243164,0.02107425,0.04183542728424072,-2.750683431818182,1258.0
56320,1305,110,43,-0.011505782647873275,0.007993031293153763,0.2,0.9815444946289062,0.4655525970738381,0.08544921875,1744,0.0004092704424510632,-43.30979084968567,0.011140762,0.10878866910934448,-2.750683431818182,1258.0
56832,1305,111,43,-0.024552024842705578,-0.02884221263229847,0.2,0.9810871481895447,0.03698145446833223,0.2403564453125,1760,0.0004092704424510632,-43.28989243507385,0.025639448,-5.194705486297607,-2.7490688222222226,1258.0
57344,1305,112,43,-0.007806058987625875,0.10742802172899246,0.2,0.9812314510345459,0.5546809262596071,0.0311279296875,1776,0.0004092704424510632,-43.285977602005005,0.007134827,0.21379071474075317,-2.7490688222222226,1258.0
57856,1305,113,44,-0.023742383433273062,-0.030822819098830223,0.2,0.9825805425643921,0.02348107469151728,0.2601318359375,1792,0.0004092704424510632,-43.30478298664093,0.025559042,-2.1829490661621094,-2.7490688222222226,1258.0
58368,1305,114,44,-0.02999904654279817,-0.019770314916968346,0.2,0.9825708866119385,0.05738192133139819,0.2650146484375,1808,0.0004092704424510632,-43.339367270469666,0.02224849,0.4964417815208435,-2.750858543478261,1258.0
58880,1305,115,45,-0.02035766138578765,0.0005263164639472961,0.2,0.9820302724838257,0.12746193748898804,0.19384765625,1824,0.0004092704424510632,-43.316579818725586,0.02518901,0.6006687879562378,-2.750858543478261,1258.0
59392,1303,116,45,-0.024067722843028605,-0.008895957842469215,0.2,0.983361005783081,0.06680314429104328,0.2398681640625,1840,0.0004092704424510632,-43.3256973028183,0.022123415,-1.4064052104949951,-2.7494332978723404,1258.0
59904,1302,117,45,-0.015539785483269952,0.04789382964372635,0.2,0.9838160276412964,0.5007784641347826,0.0780029296875,1856,0.0004092704424510632,-43.36178135871887,0.012226133,0.23946130275726318,-2.7494332978723404,1258.0
60416,1302,118,46,-0.019090758127276786,-0.02977876551449299,0.2,0.9826804399490356,0.02354678773554042,0.2105712890625,1872,0.0004092704424510632,-43.35096049308777,0.018537723,-5.382243633270264,-2.7505323333333327,1258.0
60928,1302,119,46,-0.009702059629489668,0.06866706907749176,0.2,0.9819635152816772,0.5962084527127445,0.0291748046875,1888,0.0004092704424510632,-43.31060874462128,0.0082967635,0.09622418880462646,-2.7505323333333327,1258.0
61440,1302,120,47,-0.02573832702182699,-0.034009188413619995,0.2,0.9829832911491394,0.012965202506165951,0.2685546875,1904,0.0004092704424510632,-43.3084899187088,0.02358389,-1.3207416534423828,-2.7505323333333327,1258.0
61952,1302,121,47,-0.02292600617511198,-0.03943166881799698,0.2,0.984143853187561,0.0029086231443216093,0.2537841796875,1920,0.0004092704424510632,-43.356401443481445,0.02070881,-0.21921980381011963,-2.74814087755102,1258.0
62464,1302,122,47,-0.01243379527295474,0.12613843381404877,0.2,0.9839286804199219,0.6744588422589004,0.0517578125,1936,0.0004092704424510632,-43.37077867984772,0.0088644875,0.18394577503204346,-2.74814087755102,1258.0
