time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/n_updates,train/value_loss,train/std,train/clip_range,train/loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
43520,85,1636,26,0.066162109375,-43.89689040184021,-0.01190244493773207,0.0004092704424510632,0.012258476,1344,0.39266112446784973,0.999908447265625,0.2,0.032768771052360535,0.5423945188522339,-2.7158922647058823,1258.0
44032,86,1636,26,0.208740234375,-43.93801760673523,-0.01986936930916272,0.0004092704424510632,0.017516736,1360,0.004506783094257116,1.0015571117401123,0.2,-0.02563190832734108,-3.5248050689697266,-2.714529685714285,1258.0
44544,87,1635,27,0.0360107421875,-43.96894550323486,-0.005814744843519293,0.0004092704424510632,0.0111357495,1376,0.3598679176066071,1.0016286373138428,0.2,0.02717740833759308,0.4562832713127136,-2.714529685714285,1258.0
45056,88,1635,27,0.3134765625,-43.955238342285156,-0.03212352213449776,0.0004092704424510632,0.022386305,1392,0.00668540813785512,1.0006508827209473,0.2,-0.04150702431797981,-1.2913589477539062,-2.714529685714285,1258.0
45568,89,1635,27,0.2308349609375,-43.93456673622131,-0.019129374544718303,0.0004092704424510632,0.020394007,1408,0.012129711627494544,1.0006489753723145,0.2,-0.014310680329799652,0.059566378593444824,-2.7140001111111105,1258.0
46080,90,1635,28,0.0406494140625,-43.93396544456482,-0.009710569051094353,0.0004092704424510632,0.007430602,1424,0.38845090102404356,1.0005184412002563,0.2,0.0259691271930933,0.5773106813430786,-2.7140001111111105,1258.0
46592,91,1635,28,0.291259765625,-43.919427275657654,-0.029939902167825494,0.0004092704424510632,0.0224565,1440,0.005376872490160167,0.9998525977134705,0.2,-0.04242747277021408,-5.143163681030273,-2.715694729729729,1258.0
47104,92,1635,28,0.0308837890625,-43.90389263629913,-0.011100862713647075,0.0004092704424510632,0.007830207,1456,0.4122586576268077,0.9992499351501465,0.2,0.049135174602270126,0.5092277526855469,-2.715694729729729,1258.0
47616,93,1635,29,0.270751953125,-43.899571895599365,-0.02668937688576989,0.0004092704424510632,0.029592976,1472,0.003839052551484201,0.9998531341552734,0.2,-0.03264152258634567,-1.7116169929504395,-2.715694729729729,1258.0
48128,94,1635,29,0.3084716796875,-43.917481660842896,-0.02839989514905028,0.0004092704424510632,0.028701033,1488,0.015035057091154158,1.0000851154327393,0.2,-0.03642185032367706,0.030632495880126953,-2.716553631578947,1258.0
48640,95,1634,29,0.0390625,-43.923322558403015,-0.009317640797235072,0.0004092704424510632,0.007662154,1504,0.39416963630355895,1.0000433921813965,0.2,0.03767194598913193,0.4726715087890625,-2.716553631578947,1258.0
49152,96,1634,30,0.2415771484375,-43.90527677536011,-0.025061102263862267,0.0004092704424510632,0.017864121,1520,0.013363614387344569,0.9987671375274658,0.2,-0.030901841819286346,-0.3063690662384033,-2.7180315641025636,1258.0
49664,97,1634,30,0.0777587890625,-43.87117052078247,-0.010719317200710066,0.0004092704424510632,0.014125986,1536,0.6559390041511506,0.9985130429267883,0.2,0.03428320586681366,0.09793305397033691,-2.7180315641025636,1258.0
50176,98,1634,30,0.2374267578125,-43.87544775009155,-0.024083478274405934,0.0004092704424510632,0.014913082,1552,0.0116151108086342,0.9989977478981018,0.2,-0.03666115179657936,-5.057833194732666,-2.7180315641025636,1258.0
50688,99,1634,31,0.3153076171875,-43.88459253311157,-0.031679646839620546,0.0004092704424510632,0.026310392,1568,0.01080064888810739,0.9988347291946411,0.2,-0.02477366290986538,0.04208904504776001,-2.720633725,1258.0
51200,100,1634,31,0.0789794921875,-43.87107598781586,-0.012711770090390928,0.0004092704424510632,0.016470289,1584,0.5474216246511787,0.998604953289032,0.2,0.07116159051656723,0.3905034065246582,-2.720633725,1258.0
51712,101,1634,31,0.2552490234375,-43.866565227508545,-0.02410860688542016,0.0004092704424510632,0.018728223,1600,0.022261241771047935,0.9985930323600769,0.2,-0.028630070388317108,-1.5904121398925781,-2.7171049756097556,1258.0
52224,102,1634,31,0.06396484375,-43.86934185028076,-0.015229541400913149,0.0004092704424510632,0.01307407,1616,0.46015204256400466,0.9986329674720764,0.2,0.10979150235652924,0.5293742418289185,-2.7171049756097556,1258.0
52736,103,1634,32,0.298583984375,-43.868916153907776,-0.027100908650027122,0.0004092704424510632,0.019862253,1632,0.006986515661992598,0.9987233281135559,0.2,-0.030369756743311882,-5.889613628387451,-2.7171049756097556,1258.0
53248,104,1635,32,0.2476806640625,-43.87178361415863,-0.02232003488461487,0.0004092704424510632,0.019030266,1648,0.017683398531517014,0.9983953237533569,0.2,-0.02034008502960205,0.0664636492729187,-2.7216236190476186,1258.0
53760,105,1637,32,0.029296875,-43.85442328453064,-0.004702971244114451,0.0004092704424510632,0.009395068,1664,0.3835035637021065,0.9979625940322876,0.2,0.03952083736658096,0.5855255126953125,-2.7216236190476186,1258.0
54272,106,1638,33,0.306640625,-43.84173309803009,-0.027716111188055947,0.0004092704424510632,0.021253824,1680,0.012350187811534852,0.9977602958679199,0.2,-0.02734280750155449,-0.271908164024353,-2.7220150232558136,1258.0
