time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/clip_fraction,train/std,train/loss,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/approx_kl,train/clip_range,train/n_updates,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
40448,1931,20,79,0.2183837890625,0.9939329624176025,-0.03088073804974556,-43.71906137466431,-0.026857094489969313,0.015819836815353483,0.004945158958435059,0.024801878,0.2,1248,0.0004092704424510632,-2.678179625,1258.0
40960,1931,21,80,0.2353515625,0.9919682145118713,0.08815731108188629,-43.67064821720123,-0.027016681837267242,0.24367973860353231,0.00023621320724487305,0.02105283,0.2,1264,0.0004092704424510632,-2.678179625,1258.0
41472,1930,21,81,0.2425537109375,0.9900068640708923,-0.037638504058122635,-43.604509115219116,-0.02752409694949165,0.0031819988435017876,0.03359389305114746,0.017957758,0.2,1280,0.0004092704424510632,-2.678179625,1258.0
41984,1930,21,82,0.1982421875,0.9899349808692932,-0.035312168300151825,-43.56979429721832,-0.021800313086714596,0.014281925366958603,0.00041925907135009766,0.01798679,0.2,1296,0.0004092704424510632,-2.684546727272727,1258.0
42496,1930,22,83,0.267578125,0.9902155995368958,0.11259779334068298,-43.573917388916016,-0.02500198445341084,0.24749209871515632,8.004903793334961e-05,0.031149637,0.2,1312,0.0004092704424510632,-2.684546727272727,1258.0
43008,1930,22,84,0.1993408203125,0.9888712763786316,-0.03552018851041794,-43.55789935588837,-0.021424220292828977,0.013316108263097703,0.0013524889945983887,0.01704041,0.2,1328,0.0004092704424510632,-2.6840701470588235,1258.0
43520,1930,22,85,0.26318359375,0.9867768883705139,0.06272399425506592,-43.49737846851349,-0.03126380351022817,0.28284283727407455,5.2809715270996094e-05,0.028482677,0.2,1344,0.0004092704424510632,-2.6840701470588235,1258.0
44032,1930,22,86,0.220458984375,0.9875975847244263,-0.049392204731702805,-43.463189125061035,-0.025918008090229705,0.004200830444460735,6.777048110961914e-05,0.016823512,0.2,1360,0.0004092704424510632,-2.6863451714285715,1258.0
44544,1930,23,87,0.197509765625,0.9888373017311096,0.08989731222391129,-43.50534009933472,-0.023778798728017136,0.2793462132103741,-4.887580871582031e-05,0.017337888,0.2,1376,0.0004092704424510632,-2.6863451714285715,1258.0
45056,1929,23,88,0.1749267578125,0.986431360244751,-0.028736654669046402,-43.4929358959198,-0.017036796431057155,0.003407091000553919,-0.00018656253814697266,0.013591608,0.2,1392,0.0004092704424510632,-2.6863451714285715,1258.0
45568,1929,23,89,0.196533203125,0.986166775226593,-0.029747210443019867,-43.43490827083588,-0.021947482600808144,0.010083737099193968,0.0006122589111328125,0.017464902,0.2,1408,0.0004092704424510632,-2.6843715833333333,1258.0
46080,1929,23,90,0.2320556640625,0.9866885542869568,0.11041124165058136,-43.44964408874512,-0.021394609699200373,0.2710511120967567,4.5418739318847656e-05,0.020752318,0.2,1424,0.0004092704424510632,-2.6843715833333333,1258.0
46592,1929,24,91,0.2266845703125,0.9860896468162537,-0.03379293903708458,-43.44925582408905,-0.026610429864376783,0.0033217294767382555,0.00014513731002807617,0.017185587,0.2,1440,0.0004092704424510632,-2.682731783783784,1258.0
47104,1929,24,92,0.2198486328125,0.9864596724510193,0.10009372234344482,-43.43436324596405,-0.023452597262803465,0.2590800845064223,-2.944469451904297e-05,0.019136634,0.2,1456,0.0004092704424510632,-2.682731783783784,1258.0
47616,1928,24,93,0.213623046875,0.9868358373641968,-0.03010200709104538,-43.449467062950134,-0.022014196089003235,0.004515661952609662,-0.00012505054473876953,0.019203272,0.2,1472,0.0004092704424510632,-2.682731783783784,1258.0
48128,1928,24,94,0.2916259765625,0.9870657324790955,-0.031849365681409836,-43.462177991867065,-0.028178930791909806,0.01561132344068028,0.00011986494064331055,0.03350983,0.2,1488,0.0004092704424510632,-2.685742473684211,1258.0
48640,1928,25,95,0.2044677734375,0.9871808290481567,0.09680411219596863,-43.46992480754852,-0.02113151235244004,0.2700123470276594,1.5616416931152344e-05,0.01688255,0.2,1504,0.0004092704424510632,-2.685742473684211,1258.0
49152,1928,25,96,0.2193603515625,0.9850342869758606,-0.039015498012304306,-43.44744312763214,-0.02655678208975587,0.010731339221820235,0.00042247772216796875,0.017057454,0.2,1520,0.0004092704424510632,-2.684812230769231,1258.0
49664,1927,25,97,0.2606201171875,0.9850821495056152,0.10975328832864761,-43.40199792385101,-0.030694462737301365,0.26009474880993366,5.960464477539062e-07,0.023857709,0.2,1536,0.0004092704424510632,-2.684812230769231,1258.0
