time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/approx_kl,train/std,train/entropy_loss,train/n_updates,train/loss,train/clip_fraction,train/value_loss,train/explained_variance,train/clip_range,train/learning_rate,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
38,48640,95,1275,0.012283544,0.986952006816864,-43.53025579452515,1504,0.07330699265003204,0.1259765625,0.7134290253743529,0.10012245178222656,0.2,0.0004092704424510632,-0.013757489301497117,-2.7196187105263157,1258.0
38,49152,96,1275,0.019979825,0.9875397086143494,-43.537201046943665,1520,-0.03867609053850174,0.2393798828125,0.01094100072805304,-1.8549838066101074,0.2,0.0004092704424510632,-0.02612603997113183,-2.718875794871795,1258.0
38,49664,97,1275,0.007324276,0.9878028631210327,-43.5512889623642,1536,0.15901410579681396,0.0279541015625,0.7315700752660632,0.4966288208961487,0.2,0.0004092704424510632,-0.008812155909254216,-2.718875794871795,1258.0
39,50176,98,1275,0.01725683,0.9869371056556702,-43.542927980422974,1552,-0.03343119099736214,0.224365234375,0.006759676049114205,-2.8634862899780273,0.2,0.0004092704424510632,-0.024583056336268783,-2.718875794871795,1258.0
39,50688,99,1275,0.0224254,0.9883592128753662,-43.543439745903015,1568,-0.023535408079624176,0.23779296875,0.01577092334628105,0.03626513481140137,0.2,0.0004092704424510632,-0.022630116814980283,-2.723091475,1258.0
40,51200,100,1275,0.013100585,0.9887591600418091,-43.58171629905701,1584,0.09304746985435486,0.052734375,0.5915456968359649,0.2663627862930298,0.2,0.0004092704424510632,-0.01062202051980421,-2.723091475,1258.0
40,51712,101,1275,0.01556238,0.9862960577011108,-43.552286982536316,1600,-0.028708409518003464,0.18701171875,0.018927444121800363,-1.413334608078003,0.2,0.0004092704424510632,-0.019317950995173305,-2.723909341463415,1258.0
40,52224,102,1275,0.017140336,0.9855725765228271,-43.488445520401,1616,0.11612951755523682,0.1011962890625,0.5760012022219598,0.3476814031600952,0.2,0.0004092704424510632,-0.01685421180445701,-2.723909341463415,1258.0
41,52736,103,1275,0.020456528,0.9852507710456848,-43.47788214683533,1632,-0.03816329315304756,0.2427978515625,0.004220118345983792,-1.2192423343658447,0.2,0.0004092704424510632,-0.024839980833348818,-2.723909341463415,1258.0
41,53248,104,1275,0.020457666,0.9871230721473694,-43.49531149864197,1648,-0.040735431015491486,0.26708984375,0.012096157151972875,0.196183979511261,0.2,0.0004092704424510632,-0.027588728116825223,-2.726143857142857,1258.0
42,53760,105,1274,0.016292311,0.987898588180542,-43.54633092880249,1664,0.09999389201402664,0.064697265625,0.5844407449476421,0.5492062568664551,0.2,0.0004092704424510632,-0.01132984136347659,-2.726143857142857,1258.0
42,54272,106,1274,0.021307923,0.9868209362030029,-43.5420857667923,1680,-0.029739167541265488,0.249267578125,0.039587944746017456,-1.220327615737915,0.2,0.0004092704424510632,-0.026945780307869427,-2.7234893255813954,1258.0
42,54784,107,1274,0.01128499,0.9863355755805969,-43.50941717624664,1696,0.1620093286037445,0.052734375,0.6705210036598146,0.637380838394165,0.2,0.0004092704424510632,-0.008315675833728164,-2.7234893255813954,1258.0
43,55296,108,1274,0.024918858,0.9861851930618286,-43.49723923206329,1712,-0.044502709060907364,0.260986328125,0.01338934239174705,-4.2193098068237305,0.2,0.0004092704424510632,-0.024796451718430035,-2.7234893255813954,1258.0
43,55808,109,1274,0.020405114,0.9854366183280945,-43.487366676330566,1728,-0.025296330451965332,0.256103515625,0.01628272735979408,0.25661158561706543,0.2,0.0004092704424510632,-0.024856113814166747,-2.724413159090909,1258.0
44,56320,110,1274,0.02078323,0.9852688312530518,-43.465200781822205,1744,0.02175188809633255,0.1187744140625,0.24564998387359083,0.561347246170044,0.2,0.0004092704424510632,-0.01470752559544053,-2.724413159090909,1258.0
44,56832,111,1274,0.018161543,0.9859103560447693,-43.47446584701538,1760,-0.0271499902009964,0.233154296875,0.007068864040775225,-3.495901107788086,0.2,0.0004092704424510632,-0.02273255340696778,-2.7224303777777776,1258.0
44,57344,112,1274,0.011758922,0.9854234457015991,-43.48239600658417,1776,0.10050787031650543,0.0479736328125,0.5644422336481512,0.30931681394577026,0.2,0.0004092704424510632,-0.009184613241814077,-2.7224303777777776,1258.0
45,57856,113,1274,0.019973356,0.9853218793869019,-43.46518063545227,1792,-0.03143508732318878,0.273193359375,0.002527909169657505,-5.432302474975586,0.2,0.0004092704424510632,-0.027420931088272482,-2.7224303777777776,1258.0
45,58368,114,1274,0.02204952,0.9853984713554382,-43.47619009017944,1808,0.004418846219778061,0.2015380859375,0.07938553672283888,0.5579614043235779,0.2,0.0004092704424510632,-0.02333436146727763,-2.725814695652174,1258.0
46,58880,115,1274,0.027017057,0.9848678112030029,-43.468178033828735,1824,0.00751130934804678,0.2508544921875,0.22168748953845352,0.5464831590652466,0.2,0.0004092704424510632,-0.01858706201892346,-2.725814695652174,1258.0
46,59392,116,1274,0.01751442,0.9847927689552307,-43.46090483665466,1840,-0.029683202505111694,0.230224609375,0.029482237092452124,-4.167632579803467,0.2,0.0004092704424510632,-0.02553070905560162,-2.7242198723404254,1258.0
47,59904,117,1273,0.007009804,0.9847604632377625,-43.45434808731079,1856,0.1510111689567566,0.028564453125,0.8788292016834021,0.5126484036445618,0.2,0.0004092704424510632,-0.007946356032334734,-2.7242198723404254,1258.0
47,60416,118,1273,0.01980485,0.9844019412994385,-43.44799768924713,1872,-0.04039375111460686,0.2076416015625,0.01542063953820616,-2.627612590789795,0.2,0.0004092704424510632,-0.02441490357159637,-2.7240368125,1258.0
