time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/policy_gradient_loss,train/std,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_range,train/clip_fraction,train/explained_variance,train/n_updates,train/loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
30,75,1242,38400,-0.019224891933845356,0.9812694191932678,-43.364367723464966,0.10005120071582496,0.0004092704424510632,0.2,0.1485595703125,0.17441320419311523,1184,-0.007729412987828255,0.014242712,-3.0648199666666662,1257.0
31,76,1242,38912,-0.025012067228090018,0.9808401465415955,-43.34004545211792,0.008104670952889137,0.0004092704424510632,0.2,0.238037109375,-0.9798507690429688,1200,-0.02680283971130848,0.017393425,-3.0648199666666662,1257.0
31,77,1242,39424,-0.025300645967945457,0.9805588126182556,-43.333075761795044,0.008381362349609844,0.0004092704424510632,0.2,0.256103515625,0.3141210675239563,1216,-0.02931535243988037,0.020514436,-3.0586205806451607,1257.0
32,78,1242,39936,-0.0309540858870605,0.9803779721260071,-43.32592248916626,0.0699443604098633,0.0004092704424510632,0.2,0.2591552734375,0.5770686268806458,1232,-0.025205696001648903,0.026288886,-3.0586205806451607,1257.0
32,79,1241,40448,-0.023300336397369392,0.9789745211601257,-43.30076313018799,0.010506509584956802,0.0004092704424510632,0.2,0.216552734375,-3.7910404205322266,1248,-0.03185141086578369,0.013775457,-3.05643859375,1257.0
32,80,1241,40960,-0.021484792028786615,0.9788073301315308,-43.2675507068634,0.1118594849249348,0.0004092704424510632,0.2,0.19873046875,0.174535870552063,1264,-0.013055732473731041,0.020574313,-3.05643859375,1257.0
33,81,1241,41472,-0.023293809856113512,0.9796372652053833,-43.27909803390503,0.007385381541098468,0.0004092704424510632,0.2,0.2420654296875,-1.4795258045196533,1280,-0.020383359864354134,0.020222269,-3.05643859375,1257.0
33,82,1241,41984,-0.021297045605024323,0.9797903895378113,-43.29919791221619,0.011767342162784189,0.0004092704424510632,0.2,0.224853515625,0.5900633931159973,1296,-0.01695394702255726,0.016239814,-3.056971,1257.0
34,83,1241,42496,-0.02127551022931584,0.979555606842041,-43.29566562175751,0.03219590982189402,0.0004092704424510632,0.2,0.29443359375,0.49627459049224854,1312,-0.023773953318595886,0.03920783,-3.056971,1257.0
34,84,1241,43008,-0.026438857399625704,0.979823648929596,-43.300991892814636,0.008103425294393674,0.0004092704424510632,0.2,0.22265625,-3.0944056510925293,1328,-0.03512679040431976,0.0151144285,-3.0579660294117645,1257.0
35,85,1241,43520,-0.017698193711112253,0.9803901314735413,-43.314592599868774,0.1198384539457038,0.0004092704424510632,0.2,0.189453125,0.16001111268997192,1344,-0.0009195748716592789,0.019882452,-3.0579660294117645,1257.0
35,86,1241,44032,-0.030267791662481613,0.9815083146095276,-43.335604429244995,0.010387009242549539,0.0004092704424510632,0.2,0.2994384765625,-2.6362202167510986,1360,-0.050039682537317276,0.026236404,-3.050461,1257.0
35,87,1241,44544,-0.021110366797074676,0.981363832950592,-43.35647451877594,0.10101928049698472,0.0004092704424510632,0.2,0.17138671875,0.24149107933044434,1376,-0.015398450195789337,0.021004878,-3.050461,1257.0
36,88,1241,45056,-0.026921500233584084,0.9810592532157898,-43.3416131734848,0.009392779189511202,0.0004092704424510632,0.2,0.2613525390625,-0.46074163913726807,1392,-0.0390859916806221,0.021496465,-3.050461,1257.0
36,89,1241,45568,-0.027570992649998516,0.9805386662483215,-43.31954050064087,0.005499386366864201,0.0004092704424510632,0.2,0.2755126953125,-1.466533899307251,1408,-0.03508034348487854,0.022243734,-3.0499396666666665,1257.0
