time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/value_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/loss,train/n_updates,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
86,44032,24,1800,0.03884167782962322,0.020971945,0.202880859375,-42.777945041656494,0.0004092704424510632,-0.19043350219726562,0.2,-0.02109103390830569,-0.013551216572523117,1360,0.9624609351158142,-2.4363216,1258.0
87,44544,24,1798,0.12148180999793112,0.012293536,0.118896484375,-42.72941434383392,0.0004092704424510632,0.5382403135299683,0.2,-0.013002000167034566,0.028559476137161255,1376,0.9627559781074524,-2.4363216,1258.0
88,45056,25,1795,0.005754319361585658,0.01727549,0.2177734375,-42.77713143825531,0.0004092704424510632,-3.2234487533569336,0.2,-0.024625283789646346,-0.03280269727110863,1392,0.9654634594917297,-2.4363216,1258.0
89,45568,25,1793,0.002677740547369467,0.02074736,0.283447265625,-42.86079978942871,0.0004092704424510632,0.1903306245803833,0.2,-0.028914605354657397,-0.050303466618061066,1408,0.9678887128829956,-2.431811472222222,1258.0
90,46080,25,1790,0.15405319293495268,0.019835852,0.16455078125,-42.919243931770325,0.0004092704424510632,0.0872887372970581,0.2,-0.019191982588381507,0.0034854374825954437,1424,0.9687210917472839,-2.431811472222222,1258.0
91,46592,26,1788,0.02531014132546261,0.024216786,0.2708740234375,-42.96987807750702,0.0004092704424510632,-0.1635875701904297,0.2,-0.028976915651583113,-0.025742996484041214,1440,0.9721192121505737,-2.428889081081081,1258.0
92,47104,26,1785,0.1604906665161252,0.017593442,0.16552734375,-43.05484962463379,0.0004092704424510632,0.42776763439178467,0.2,-0.02054177111131139,0.0573430135846138,1456,0.9728328585624695,-2.428889081081081,1258.0
93,47616,26,1783,0.0575848447624594,0.02534825,0.2520751953125,-43.05704629421234,0.0004092704424510632,0.030583858489990234,0.2,-0.025587253010598943,-0.014312712475657463,1472,0.9730837345123291,-2.428889081081081,1258.0
94,48128,27,1781,0.012019322355627082,0.020439187,0.199951171875,-43.082579255104065,0.0004092704424510632,-0.6525553464889526,0.2,-0.021869756805244833,-0.029957210645079613,1488,0.9747593402862549,-2.4325327631578944,1258.0
95,48640,27,1778,0.13047805789392442,0.017193954,0.1407470703125,-43.13312780857086,0.0004092704424510632,0.399541974067688,0.2,-0.018490323389414698,0.0021544769406318665,1504,0.975538969039917,-2.4325327631578944,1258.0
96,49152,27,1776,0.0526863889535889,0.017977413,0.2115478515625,-43.14790451526642,0.0004092704424510632,-0.7373670339584351,0.2,-0.024791851348709315,-0.02557222917675972,1520,0.9761893153190613,-2.4335161794871794,1258.0
97,49664,27,1774,0.1159727037884295,0.018554721,0.1656494140625,-43.16502022743225,0.0004092704424510632,0.5167983770370483,0.2,-0.02033222578029381,0.028458241373300552,1536,0.9765881299972534,-2.4335161794871794,1258.0
98,50176,28,1771,0.05640979891177267,0.019479629,0.261474609375,-43.1543585062027,0.0004092704424510632,0.17764514684677124,0.2,-0.02880070968240034,-0.01169271394610405,1552,0.9754336476325989,-2.4335161794871794,1258.0
99,50688,28,1769,0.008203647841583006,0.016364746,0.25048828125,-43.13234460353851,0.0004092704424510632,-0.2615252733230591,0.2,-0.02508751027926337,-0.032218027859926224,1568,0.975796639919281,-2.4329799000000003,1258.0
100,51200,28,1767,0.09076498670037836,0.020475132,0.1634521484375,-43.144556760787964,0.0004092704424510632,0.38818949460983276,0.2,-0.022219393140403554,-0.009693406522274017,1584,0.9755138754844666,-2.4329799000000003,1258.0
101,51712,29,1765,0.033835820155218244,0.021420613,0.236572265625,-43.12220752239227,0.0004092704424510632,-0.7726520299911499,0.2,-0.028795709513360634,-0.03792061656713486,1600,0.9748857617378235,-2.4384932195121953,1258.0
102,52224,29,1763,0.1114868049044162,0.01697646,0.130859375,-43.11647880077362,0.0004092704424510632,0.48602938652038574,0.2,-0.01718016945233103,0.019564568996429443,1616,0.9753711223602295,-2.4384932195121953,1258.0
103,52736,29,1761,0.07236592774279416,0.019646201,0.2611083984375,-43.12044155597687,0.0004092704424510632,0.5659191608428955,0.2,-0.02301832910598023,0.0006659664213657379,1632,0.9745085835456848,-2.4384932195121953,1258.0
104,53248,30,1759,0.009908333391649649,0.025431547,0.288818359375,-43.09152340888977,0.0004092704424510632,-4.173751354217529,0.2,-0.030349572421982884,-0.04445364326238632,1648,0.9740708470344543,-2.4363580000000002,1258.0
105,53760,30,1757,0.09781324525829405,0.02151838,0.2177734375,-43.08680284023285,0.0004092704424510632,0.1813209056854248,0.2,-0.023400349396979436,0.002032829448580742,1664,0.9738641381263733,-2.4363580000000002,1258.0
106,54272,30,1755,0.027969029906671494,0.018865395,0.220458984375,-43.09030842781067,0.0004092704424510632,-0.47068095207214355,0.2,-0.023429901426425204,-0.024999549612402916,1680,0.974365770816803,-2.4348363255813954,1258.0
107,54784,31,1754,0.08983634400647134,0.01610003,0.2108154296875,-43.099382519721985,0.0004092704424510632,0.5413875579833984,0.2,-0.02228582552925218,0.008224166929721832,1696,0.9741114974021912,-2.4348363255813954,1258.0
108,55296,31,1751,0.03495414200006053,0.017916989,0.258056640625,-43.07903218269348,0.0004092704424510632,0.3837878704071045,0.2,-0.024843638006132096,-0.03222208842635155,1712,0.9730281829833984,-2.4348363255813954,1258.0
109,55808,31,1749,0.013238887855550274,0.028345704,0.3143310546875,-43.05278658866882,0.0004092704424510632,0.18801343441009521,0.2,-0.03289082276751287,-0.043846551328897476,1728,0.9726340174674988,-2.4338871363636367,1258.0
110,56320,32,1747,0.05516358057502657,0.017796671,0.21435546875,-43.03574287891388,0.0004092704424510632,0.6036735773086548,0.2,-0.023126431908167433,-0.014457955956459045,1744,0.9715937972068787,-2.4338871363636367,1258.0
111,56832,32,1747,0.04783441522158682,0.01884978,0.2177734375,-43.02297067642212,0.0004092704424510632,-0.42574775218963623,0.2,-0.024317959672771394,-0.02697816863656044,1760,0.972725510597229,-2.430209088888889,1258.0
112,57344,32,1746,0.09412223263643682,0.017355695,0.1416015625,-43.06436538696289,0.0004092704424510632,0.5885723829269409,0.2,-0.014797884738072753,-0.005025152117013931,1776,0.97353595495224,-2.430209088888889,1258.0
113,57856,33,1745,0.030848779424559325,0.023525063,0.262451171875,-43.04938101768494,0.0004092704424510632,-0.10417723655700684,0.2,-0.02720983893959783,-0.036334432661533356,1792,0.9717039465904236,-2.430209088888889,1258.0
114,58368,33,1744,0.02789142820984125,0.02196614,0.250732421875,-43.00510025024414,0.0004092704424510632,0.6269054412841797,0.2,-0.022317357404972427,-0.02154664695262909,1808,0.9712908864021301,-2.4301809130434786,1258.0
115,58880,33,1743,0.026159812492551282,0.02257535,0.24658203125,-42.989856481552124,0.0004092704424510632,0.7214208841323853,0.2,-0.02032681628043065,-0.01288539357483387,1824,0.9702163338661194,-2.4301809130434786,1258.0
116,59392,34,1742,0.04324563400587067,0.021201491,0.2054443359375,-42.958566427230835,0.0004092704424510632,-1.1043331623077393,0.2,-0.022168823910760693,-0.021454717963933945,1840,0.9698764085769653,-2.4328022340425535,1258.0
117,59904,34,1741,0.083411366911605,0.017761668,0.18701171875,-42.95255720615387,0.0004092704424510632,0.5983397960662842,0.2,-0.022587548242881894,0.0022987686097621918,1856,0.9698372483253479,-2.4328022340425535,1258.0
118,60416,34,1740,0.036114255839493126,0.02178048,0.2110595703125,-42.938238978385925,0.0004092704424510632,-0.15958571434020996,0.2,-0.02283776132389903,-0.018305480480194092,1872,0.969335675239563,-2.4346744583333333,1258.0
119,60928,35,1739,0.07912559586111456,0.020138934,0.1754150390625,-42.93028104305267,0.0004092704424510632,0.5480907559394836,0.2,-0.019605231704190373,0.002682417631149292,1888,0.9699726700782776,-2.4346744583333333,1258.0
120,61440,35,1739,0.022523257008288056,0.018786922,0.242919921875,-42.95569825172424,0.0004092704424510632,-0.07227325439453125,0.2,-0.021794734624563716,-0.016914883628487587,1904,0.9707109928131104,-2.4346744583333333,1258.0
