time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/value_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/std,train/loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
61440,1220,50,120,0.0004092704424510632,-0.02458338695578277,0.2,-43.084174275398254,0.0024978207438834943,0.01895728,0.2344970703125,-1.6099977493286133,0.9739477634429932,-0.02836119756102562,1904,-2.1206360625,1258.0
61952,1217,50,121,0.0004092704424510632,-0.026586545296595432,0.2,-43.07634174823761,0.005360498471418396,0.01712726,0.2437744140625,0.05959993600845337,0.9736981391906738,-0.03304578363895416,1920,-2.119299387755102,1258.0
62464,1217,51,122,0.0004092704424510632,-0.013342717502382584,0.2,-43.063074469566345,0.18300355691462755,0.014674475,0.0997314453125,0.6308462023735046,0.9734402894973755,0.008562255650758743,1936,-2.119299387755102,1258.0
62976,1218,51,123,0.0004092704424510632,-0.020447874412639067,0.2,-43.08265268802643,0.006292183257755823,0.018288989,0.22119140625,-1.3864147663116455,0.9754747152328491,-0.035208892077207565,1952,-2.11943262,1258.0
63488,1218,52,124,0.0004092704424510632,-0.013989874030812643,0.2,-43.141701221466064,0.2586578465998173,0.015059,0.1024169921875,0.6542830467224121,0.9761829972267151,0.0929117351770401,1968,-2.11943262,1258.0
64000,1218,52,125,0.0004092704424510632,-0.020299459094530903,0.2,-43.15781378746033,0.002709313495870447,0.016498264,0.2174072265625,-0.8997361660003662,0.9768989086151123,-0.033361367881298065,1984,-2.11943262,1258.0
64512,1218,52,126,0.0004092704424510632,-0.030541074578650296,0.2,-43.16924440860748,0.00373948131891666,0.023040177,0.29736328125,0.08216714859008789,0.9767460823059082,-0.04072636365890503,2000,-2.1192069411764707,1258.0
65024,1218,53,127,0.0004092704424510632,-0.010702662984840572,0.2,-43.15466487407684,0.23946221405640244,0.010945707,0.0498046875,0.6192333102226257,0.9762250185012817,0.021429043263196945,2016,-2.1192069411764707,1258.0
65536,1218,53,128,0.0004092704424510632,-0.031025177813717164,0.2,-43.139761567115784,0.00706777028972283,0.023559418,0.315185546875,-0.8845579624176025,0.9757790565490723,-0.0384102538228035,2032,-2.117900326923077,1258.0
66048,1218,54,129,0.0004092704424510632,-0.014139221428195015,0.2,-43.12683725357056,0.2919921630527824,0.014125247,0.0684814453125,0.356642484664917,0.9758293032646179,0.011748012155294418,2048,-2.117900326923077,1258.0
66560,1218,54,130,0.0004092704424510632,-0.0247523449070286,0.2,-43.14165759086609,0.0029329362187127117,0.014070248,0.2103271484375,-2.248750686645508,0.9766448140144348,-0.03215504437685013,2064,-2.117900326923077,1258.0
67072,1218,55,131,0.0004092704424510632,-0.022047598438803107,0.2,-43.1743460893631,0.003721779416082427,0.021334413,0.2484130859375,0.15447700023651123,0.9779663681983948,-0.02861902490258217,2080,-2.118298056603774,1258.0
67584,1218,55,132,0.0004092704424510632,-0.010247581776638981,0.2,-43.20993638038635,0.2870617334265262,0.00977549,0.051025390625,0.6107816696166992,0.9783379435539246,0.0333188995718956,2096,-2.118298056603774,1258.0
68096,1218,55,133,0.0004092704424510632,-0.023850784404203296,0.2,-43.218947768211365,0.0053384754282888025,0.018516604,0.2427978515625,-1.324012279510498,0.9789551496505737,-0.023945188149809837,2112,-2.1157933333333334,1258.0
68608,1218,56,134,0.0004092704424510632,-0.011021858750609681,0.2,-43.23634338378906,0.2848150562494993,0.009256383,0.0474853515625,0.64150071144104,0.9793151617050171,0.042365849018096924,2128,-2.1157933333333334,1258.0
69120,1218,56,135,0.0004092704424510632,-0.02734117946238257,0.2,-43.2366760969162,0.005038017057813704,0.02288223,0.26953125,-7.468616485595703,0.9785979390144348,-0.03487516939640045,2144,-2.1157933333333334,1258.0
69632,1218,57,136,0.0004092704424510632,-0.02395675121806562,0.2,-43.18261122703552,0.00748443762131501,0.014499095,0.1900634765625,0.5258516073226929,0.9762077927589417,-0.04106750711798668,2160,-2.1150887272727275,1258.0
70144,1218,57,137,0.0004092704424510632,-0.013357669457036536,0.2,-43.136157751083374,0.1698179750237614,0.01700794,0.1005859375,0.7211236953735352,0.9763045310974121,-0.005770543590188026,2176,-2.1150887272727275,1258.0
70656,1218,57,138,0.0004092704424510632,-0.025401480015716515,0.2,-43.171016216278076,0.034835781902074814,0.0201164,0.24072265625,-0.5178139209747314,0.9781656861305237,-0.021854044869542122,2192,-2.115677267857143,1258.0
71168,1218,58,139,0.0004092704424510632,-0.019294187688501552,0.2,-43.21613049507141,0.2539544617757201,0.01958197,0.120849609375,0.6299365758895874,0.9786593317985535,0.011968225240707397,2208,-2.115677267857143,1258.0
