time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/loss,train/entropy_loss,train/value_loss,train/explained_variance,train/learning_rate,train/std,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
243712,13,35,1324,0.201416015625,-0.02442948639509268,0.015172774,0.2,-0.03384285792708397,-39.81001114845276,0.0032946940773399547,-3.039836883544922e-05,0.0004092704424510632,0.8829448819160461,7600,-2.10954654,1257.0
244224,13,36,1324,0.1939697265625,-0.01847409132460598,0.013801215,0.2,-0.03857939690351486,-39.771584153175354,0.0027551256025617477,-3.2186508178710938e-06,0.0004092704424510632,0.8818082213401794,7616,-2.10812315,1257.0
244736,14,37,1323,0.1832275390625,-0.019763600357691757,0.013009296,0.2,0.05496712401509285,-39.717180252075195,0.15374631388112903,3.039836883544922e-06,0.0004092704424510632,0.879686176776886,7632,-2.10812315,1257.0
245248,14,38,1322,0.268310546875,-0.02749750216025859,0.018534925,0.2,-0.03328120335936546,-39.65601420402527,0.003633022883150261,-2.6226043701171875e-06,0.0004092704424510632,0.8790609240531921,7648,-2.10650031,1257.0
245760,15,39,1321,0.251220703125,-0.02710480397217907,0.015417328,0.2,0.03277457132935524,-39.642711877822876,0.14687851909548044,3.516674041748047e-06,0.0004092704424510632,0.8790339827537537,7664,-2.10650031,1257.0
246272,15,40,1320,0.2254638671875,-0.02829782897606492,0.01845789,0.2,-0.04388301819562912,-39.62557864189148,0.004445261773071252,-9.5367431640625e-07,0.0004092704424510632,0.8785088062286377,7680,-2.10650031,1257.0
246784,15,41,1320,0.2703857421875,-0.029096586600644514,0.019680893,0.2,-0.048308052122592926,-39.60092043876648,0.002378000590397278,-2.6226043701171875e-06,0.0004092704424510632,0.8774324059486389,7696,-2.1026685200000004,1257.0
247296,16,42,1320,0.2476806640625,-0.02378240367397666,0.018265964,0.2,0.043332528322935104,-39.564717411994934,0.15346838347613811,4.410743713378906e-06,0.0004092704424510632,0.8767673969268799,7712,-2.1026685200000004,1257.0
247808,16,43,1319,0.2235107421875,-0.02586749946931377,0.015043358,0.2,-0.024043502286076546,-39.540762066841125,0.004656269004044589,3.1054019927978516e-05,0.0004092704424510632,0.8764368295669556,7728,-2.10359322,1257.0
248320,17,44,1319,0.203369140625,-0.017786353870178573,0.017198734,0.2,0.055477142333984375,-39.49610662460327,0.14828406763263047,2.980232238769531e-07,0.0004092704424510632,0.874610185623169,7744,-2.10359322,1257.0
248832,17,45,1318,0.244873046875,-0.029778438387438655,0.01835921,0.2,-0.04189734533429146,-39.43971121311188,0.003217891902750125,1.3113021850585938e-06,0.0004092704424510632,0.8737348318099976,7760,-2.10359322,1257.0
249344,17,46,1317,0.207275390625,-0.023664509659283794,0.019006148,0.2,-0.03711465746164322,-39.43523108959198,0.0018569724343251437,-1.6689300537109375e-06,0.0004092704424510632,0.8753875494003296,7776,-2.10180335,1257.0
249856,18,47,1317,0.292236328125,-0.029686783062061295,0.028574225,0.2,0.031183041632175446,-39.49880301952362,0.14690870395861566,1.430511474609375e-06,0.0004092704424510632,0.8768084049224854,7792,-2.10180335,1257.0
250368,18,48,1316,0.28564453125,-0.02900150857749395,0.020453872,0.2,-0.051339611411094666,-39.529074907302856,0.004194799494143808,2.2649765014648438e-06,0.0004092704424510632,0.8770892024040222,7808,-2.10021358,1257.0
250880,19,49,1316,0.2879638671875,-0.02810429100645706,0.030568976,0.2,0.02756357192993164,-39.52761709690094,0.1582444056402892,1.5497207641601562e-06,0.0004092704424510632,0.8769508004188538,7824,-2.10021358,1257.0
251392,19,50,1316,0.1973876953125,-0.01877276145387441,0.016237523,0.2,-0.029976921156048775,-39.53407371044159,0.004596726350428071,-6.4373016357421875e-06,0.0004092704424510632,0.8777535557746887,7840,-2.10021358,1257.0
251904,19,51,1315,0.2347412109375,-0.0252095647592796,0.014482269,0.2,-0.036683373153209686,-39.56414759159088,0.0016407863513450138,2.6226043701171875e-06,0.0004092704424510632,0.8785175085067749,7856,-2.0975831800000004,1257.0
252416,20,52,1314,0.3470458984375,-0.023851218866184354,0.049697317,0.2,-0.009653059765696526,-39.55992412567139,0.05500527156982571,1.0728836059570312e-06,0.0004092704424510632,0.8777602314949036,7872,-2.0975831800000004,1257.0
252928,20,53,1314,0.2677001953125,-0.028831566480221227,0.018624399,0.2,-0.03213290870189667,-39.52551472187042,0.003217866556951776,8.64267349243164e-06,0.0004092704424510632,0.8767613768577576,7888,-2.09486448,1257.0
253440,21,54,1314,0.2515869140625,-0.028134058200521395,0.016288564,0.2,0.06129036843776703,-39.50181758403778,0.1703654807060957,2.682209014892578e-06,0.0004092704424510632,0.8768304586410522,7904,-2.09486448,1257.0
