time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/entropy_loss,train/value_loss,train/loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_range,train/explained_variance,train/clip_fraction,train/std,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
24064,1266,19,47,-43.91913104057312,0.018505993473809212,-0.02303285524249077,-0.021688994689611718,736,0.0004092704424510632,0.2,-1.735198974609375,0.201904296875,0.9996398687362671,0.016678987,-2.7134832631578947,1258.0
24576,1265,19,48,-43.952563643455505,0.1960557794664055,0.06019057705998421,-0.021630522795021534,752,0.0004092704424510632,0.2,0.4764747619628906,0.17919921875,1.0002360343933105,0.018407172,-2.7134832631578947,1258.0
25088,1265,19,49,-43.95777881145477,0.009895442541164812,-0.03511480987071991,-0.028058311276254244,768,0.0004092704424510632,0.2,-21.119552612304688,0.2545166015625,1.000005841255188,0.023539785,-2.7134832631578947,1258.0
25600,1264,20,50,-43.94784438610077,0.009410670012584887,-0.04057469218969345,-0.02390572175499983,784,0.0004092704424510632,0.2,0.05685192346572876,0.2508544921875,0.9996111989021301,0.020395245,-2.7112973,1258.0
26112,1264,20,51,-43.93255293369293,0.22571718646213412,0.03437786549329758,-0.02284556806262117,800,0.0004092704424510632,0.2,0.05515772104263306,0.163818359375,0.9997237920761108,0.01905426,-2.7112973,1258.0
26624,1264,21,52,-43.94341313838959,0.05060043616686016,-0.01849454827606678,-0.025943534201360308,816,0.0004092704424510632,0.2,-0.4458184242248535,0.2294921875,1.0001485347747803,0.023050442,-2.715291619047619,1258.0
27136,1264,21,53,-43.958903074264526,0.20252039073966444,0.07359129190444946,-0.02322664160237764,832,0.0004092704424510632,0.2,0.5235347151756287,0.197265625,1.000605821609497,0.022459097,-2.715291619047619,1258.0
27648,1263,21,54,-43.973150849342346,0.004714137754490366,-0.04346221685409546,-0.035239964272477664,848,0.0004092704424510632,0.2,-11.54919719696045,0.312744140625,1.0013986825942993,0.023335747,-2.715291619047619,1258.0
28160,1264,22,55,-44.003544092178345,0.009984827571315691,-0.03856825828552246,-0.028184284456074238,864,0.0004092704424510632,0.2,0.11839747428894043,0.305908203125,1.0026057958602905,0.02167165,-2.7089330454545455,1258.0
28672,1263,22,56,-44.02308905124664,0.14746033120900393,0.013466482982039452,-0.020828066539252177,880,0.0004092704424510632,0.2,0.14198917150497437,0.28662109375,1.0026681423187256,0.03058532,-2.7089330454545455,1258.0
