time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/clip_range,train/approx_kl,train/loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/learning_rate,train/std,train/policy_gradient_loss,train/value_loss,train/explained_variance,rollout/ep_len_mean,rollout/ep_rew_mean
34304,28,1224,67,0.2,0.016121395,-0.035079579800367355,0.2296142578125,-43.36129570007324,1056,0.0004092704424510632,0.9824084043502808,-0.024913589280913584,0.0029937892395537347,-0.0005304813385009766,1257.0,-2.405624
34816,28,1223,68,0.2,0.018703353,0.04316742345690727,0.2384033203125,-43.37216675281525,1072,0.0004092704424510632,0.9822513461112976,-0.027044594902690733,0.20040466682985425,0.00038248300552368164,1257.0,-2.405624
35328,28,1223,69,0.2,0.020318719,-0.030654462054371834,0.2386474609375,-43.37812423706055,1088,0.0004092704424510632,0.983415424823761,-0.0268331604602281,0.003957195185648743,0.003985404968261719,1257.0,-2.407382892857143
35840,29,1223,70,0.2,0.023586433,0.018573425710201263,0.2684326171875,-43.38776445388794,1104,0.0004092704424510632,0.9822852611541748,-0.028560291626490653,0.1598028859589249,0.0040915608406066895,1257.0,-2.407382892857143
36352,29,1223,71,0.2,0.015243211,-0.029981473460793495,0.2060546875,-43.35440969467163,1120,0.0004092704424510632,0.982215166091919,-0.02062333885987755,0.0039055246088537388,-1.953035831451416,1257.0,-2.407382892857143
36864,30,1223,72,0.2,0.022117529,-0.04499320685863495,0.269775390625,-43.38372552394867,1136,0.0004092704424510632,0.9843564629554749,-0.03219916482339613,0.002550626752054086,-0.0018907785415649414,1257.0,-2.4084079310344833
37376,30,1223,73,0.2,0.015001438,0.00742899626493454,0.1951904296875,-43.428688168525696,1152,0.0004092704424510632,0.9837563037872314,-0.0184931543917628,0.1269538914784789,0.008956551551818848,1257.0,-2.4084079310344833
37888,30,1223,74,0.2,0.019700872,-0.04678429290652275,0.2425537109375,-43.41172409057617,1168,0.0004092704424510632,0.9845950603485107,-0.030361873476067558,0.005917379610764328,-3.5007524490356445,1257.0,-2.4108026333333337
38400,31,1223,75,0.2,0.024901794,0.0029776357114315033,0.2745361328125,-43.45797336101532,1184,0.0004092704424510632,0.9856049418449402,-0.02854593808297068,0.11565006757155061,0.023470163345336914,1257.0,-2.4108026333333337
38912,31,1223,76,0.2,0.01987135,-0.030333340167999268,0.225341796875,-43.45794463157654,1200,0.0004092704424510632,0.9847545623779297,-0.019119984593999106,0.0038868203628226183,-2.2985615730285645,1257.0,-2.4108026333333337
39424,32,1223,77,0.2,0.020039456,-0.039075806736946106,0.228515625,-43.41478502750397,1216,0.0004092704424510632,0.9833903312683105,-0.025038311636308208,0.0022715678678650875,0.011787950992584229,1257.0,-2.4127937419354843
