time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/entropy_loss,train/std,train/learning_rate,train/clip_fraction,train/value_loss,train/loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
30720,60,1318,23,-43.085190773010254,0.9728459715843201,0.0004092704424510632,0.2227783203125,0.19025247870013118,0.06063520908355713,0.0002428293228149414,-0.023640736035304144,0.018528081,0.2,944,-2.25660025,1257.0
31232,61,1317,23,-43.08838868141174,0.9722901582717896,0.0004092704424510632,0.30322265625,0.0039438298481400125,-0.05414538085460663,-0.1653575897216797,-0.03650614226353355,0.022315983,0.2,960,-2.25660025,1257.0
31744,62,1317,24,-43.06919538974762,0.9718835353851318,0.0004092704424510632,0.255615234375,0.004001826921012253,-0.03389114513993263,-0.001255631446838379,-0.031769630790222436,0.02424423,0.2,976,-2.2485934,1257.0
32256,63,1316,24,-43.01097023487091,0.9683480858802795,0.0004092704424510632,0.19921875,0.18938028952106833,0.0682922899723053,7.534027099609375e-05,-0.019597541861003265,0.02065023,0.2,992,-2.2485934,1257.0
32768,64,1316,24,-42.90739858150482,0.9663875102996826,0.0004092704424510632,0.207763671875,0.002394484301476041,-0.026872513815760612,-0.0026930570602416992,-0.025874342827592045,0.018071927,0.2,1008,-2.2388217692307695,1257.0
33280,65,1315,25,-42.864848375320435,0.9654265642166138,0.0004092704424510632,0.2130126953125,0.17434479529038072,0.03919564187526703,0.0002644658088684082,-0.02437444125826005,0.017956018,0.2,1024,-2.2388217692307695,1257.0
33792,66,1314,25,-42.81280279159546,0.963318943977356,0.0004092704424510632,0.25146484375,0.0037902361509623006,-0.04603222385048866,-0.08775782585144043,-0.025412126444280148,0.02218771,0.2,1040,-2.2388217692307695,1257.0
34304,67,1310,26,-42.766268491744995,0.9629216194152832,0.0004092704424510632,0.2279052734375,0.0038230764694162644,-0.034536778926849365,-0.0007979869842529297,-0.025545214652083814,0.016711194,0.2,1056,-2.2432545555555556,1257.0
34816,68,1309,26,-42.76130223274231,0.9628656506538391,0.0004092704424510632,0.2364501953125,0.19091352866962552,0.05806659162044525,4.4465065002441406e-05,-0.02456871306640096,0.02520927,0.2,1072,-2.2432545555555556,1257.0
35328,69,1307,27,-42.74347186088562,0.9614746570587158,0.0004092704424510632,0.223876953125,0.0017269272830162663,-0.0243007130920887,-0.001871347427368164,-0.023198806287837215,0.017442364,0.2,1088,-2.2304720714285717,1257.0
35840,70,1306,27,-42.69714570045471,0.9605581760406494,0.0004092704424510632,0.2259521484375,0.1768799377605319,0.04855017736554146,7.50422477722168e-05,-0.023226175573654473,0.02015476,0.2,1104,-2.2304720714285717,1257.0
36352,71,1305,27,-42.66466534137726,0.9589492678642273,0.0004092704424510632,0.2293701171875,0.003485499903035816,-0.03385520353913307,-0.002432107925415039,-0.026582788093946874,0.020533752,0.2,1120,-2.2304720714285717,1257.0
