time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/entropy_loss,train/n_updates,train/value_loss,train/loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/std,train/learning_rate,train/clip_range,rollout/ep_rew_mean,rollout/ep_len_mean
37,120,211968,1624,-41.700655817985535,6608,0.02896405680803582,-0.010748903267085552,-0.01657510845689103,0.8389064073562622,0.1314697265625,0.0132016465,0.940077543258667,0.0004092704424510632,0.2,-2.30696945,1257.0
38,121,212480,1624,-41.68359291553497,6624,0.017274927493417636,-0.03825940936803818,-0.02494058669253718,-1.1195943355560303,0.234619140625,0.020499023,0.9393486976623535,0.0004092704424510632,0.2,-2.30496435,1257.0
38,122,212992,1624,-41.667726039886475,6640,0.02603519571130164,-0.009063813835382462,-0.01907366699015256,0.8130900859832764,0.1361083984375,0.014299551,0.9393061995506287,0.0004092704424510632,0.2,-2.30496435,1257.0
38,123,213504,1624,-41.67230248451233,6656,0.007678521593334153,-0.03323674574494362,-0.028255705256015062,0.12701833248138428,0.283203125,0.023570586,0.9389047026634216,0.0004092704424510632,0.2,-2.30496435,1257.0
39,124,214016,1623,-41.660001158714294,6672,0.004981861675332766,-0.030793994665145874,-0.022332872424158268,-0.4518156051635742,0.2044677734375,0.017071582,0.9386831521987915,0.0004092704424510632,0.2,-2.30688345,1257.0
39,125,214528,1623,-41.66789448261261,6688,0.040842081885784864,-0.02655426599085331,-0.01871293448493816,0.6017082929611206,0.1484375,0.018423168,0.9396727085113525,0.0004092704424510632,0.2,-2.30688345,1257.0
39,126,215040,1623,-41.687212228775024,6704,0.012406779453158379,-0.03277367353439331,-0.025329532829346135,-0.8910317420959473,0.221923828125,0.019936547,0.9388403296470642,0.0004092704424510632,0.2,-2.30841478,1257.0
40,127,215552,1623,-41.63488852977753,6720,0.03190597772481851,-0.034397441893815994,-0.0240841296617873,0.699761152267456,0.2041015625,0.016619936,0.9375092387199402,0.0004092704424510632,0.2,-2.30841478,1257.0
40,128,216064,1623,-41.61088705062866,6736,0.006453661146224476,-0.02576761320233345,-0.022298396157566458,0.5034028887748718,0.2269287109375,0.016387202,0.9377649426460266,0.0004092704424510632,0.2,-2.30841478,1257.0
40,129,216576,1624,-41.61848568916321,6752,0.006840667469077744,-0.030902793630957603,-0.027820944495033473,-0.28196656703948975,0.26708984375,0.021186847,0.9381666779518127,0.0004092704424510632,0.2,-2.30970209,1257.0
40,130,217088,1624,-41.645280599594116,6768,0.03677679455722682,-0.028545843437314034,-0.019520158966770396,0.5634318590164185,0.1671142578125,0.013610395,0.9392584562301636,0.0004092704424510632,0.2,-2.30970209,1257.0
41,131,217600,1623,-41.65551745891571,6784,0.007844250576454215,-0.03474915027618408,-0.023769931140122935,-0.8104091882705688,0.2384033203125,0.01874218,0.9382632970809937,0.0004092704424510632,0.2,-2.31048471,1257.0
41,132,218112,1623,-41.62709093093872,6800,0.0386841569270473,-0.02985309064388275,-0.02627286309871124,0.6591557264328003,0.1983642578125,0.02176217,0.937707245349884,0.0004092704424510632,0.2,-2.31048471,1257.0
41,133,218624,1623,-41.598071813583374,6816,0.01035030308412388,-0.029434440657496452,-0.02484983114118222,0.5672010183334351,0.2293701171875,0.01736313,0.9362046122550964,0.0004092704424510632,0.2,-2.31048471,1257.0
42,134,219136,1623,-41.55507850646973,6832,0.01601161973667331,-0.023165445774793625,-0.02795264165615663,0.5194357633590698,0.2579345703125,0.018867671,0.9356086850166321,0.0004092704424510632,0.2,-2.3137452999999994,1257.0
42,135,219648,1623,-41.549028396606445,6848,0.021314430836355314,-0.0400240458548069,-0.028190624376293272,0.8702468872070312,0.2445068359375,0.024960905,0.9353176355361938,0.0004092704424510632,0.2,-2.3137452999999994,1257.0
42,136,220160,1624,-41.54039740562439,6864,0.026442235975991935,-0.015937212854623795,-0.020887446604319848,0.15949934720993042,0.17578125,0.01585408,0.934622585773468,0.0004092704424510632,0.2,-2.3113836099999996,1257.0
43,137,220672,1624,-41.522719740867615,6880,0.032533212564885616,-0.024249114096164703,-0.023869378288509324,0.8774200081825256,0.2061767578125,0.020480173,0.93391352891922,0.0004092704424510632,0.2,-2.3113836099999996,1257.0
43,138,221184,1624,-41.510560393333435,6896,0.03235664468957111,-0.02981117181479931,-0.024519723432604223,0.039187490940093994,0.221923828125,0.018264513,0.9344024062156677,0.0004092704424510632,0.2,-2.3113836099999996,1257.0
43,139,221696,1623,-41.52683937549591,6912,0.037963837501592934,-0.020009582862257957,-0.023723785576294176,0.7986898422241211,0.1961669921875,0.015117993,0.9344800114631653,0.0004092704424510632,0.2,-2.3128939799999997,1257.0
44,140,222208,1623,-41.5136216878891,6928,0.016930537181906402,-0.04461143910884857,-0.03514787057065405,0.9562855958938599,0.313720703125,0.023131246,0.9339724183082581,0.0004092704424510632,0.2,-2.3128939799999997,1257.0
44,141,222720,1624,-41.51170492172241,6944,0.020362756273243576,-0.035867441445589066,-0.02626268738822546,0.09591507911682129,0.279541015625,0.026370443,0.9346245527267456,0.0004092704424510632,0.2,-2.3137362799999996,1257.0
44,142,223232,1624,-41.527424931526184,6960,0.03265997482230887,-0.020468655973672867,-0.025167744781356305,0.8706632852554321,0.2119140625,0.021906435,0.9348031282424927,0.0004092704424510632,0.2,-2.3137362799999996,1257.0
45,143,223744,1624,-41.50950074195862,6976,0.020032013853779063,-0.020307863131165504,-0.026362007425632328,-0.6419196128845215,0.218017578125,0.01637901,0.9335776567459106,0.0004092704424510632,0.2,-2.3137362799999996,1257.0
45,144,224256,1624,-41.44263219833374,6992,0.02657677314709872,-0.02301294356584549,-0.021481595453224145,0.8464664816856384,0.206298828125,0.018311538,0.9308478236198425,0.0004092704424510632,0.2,-2.3152150499999995,1257.0
45,145,224768,1623,-41.35010015964508,7008,0.01773359248181805,-0.01853998750448227,-0.022498674486996606,0.7942784428596497,0.20263671875,0.0156106185,0.9290976524353027,0.0004092704424510632,0.2,-2.3152150499999995,1257.0
46,146,225280,1623,-41.29499077796936,7024,0.01826721744146198,-0.026686999946832657,-0.025808292120927945,-0.03493046760559082,0.243408203125,0.019037269,0.9277153015136719,0.0004092704424510632,0.2,-2.3145965699999995,1257.0
46,147,225792,1623,-41.26891529560089,7040,0.034340615617111325,-0.021835975348949432,-0.0195623823965434,0.843366801738739,0.16162109375,0.016051818,0.9279348850250244,0.0004092704424510632,0.2,-2.3145965699999995,1257.0
0,1,226304,4100,-41.27747654914856,7056,0.02158450981369242,-0.031102865934371948,-0.026695667154854164,-0.7938575744628906,0.21533203125,0.014378654,0.9283090829849243,0.0004092704424510632,0.2,-2.31300866,1257.0
0,2,226816,2329,-41.28194785118103,7072,0.03588393563404679,-0.023700788617134094,-0.02559757183189504,0.8367831707000732,0.2265625,0.020503126,0.9280148148536682,0.0004092704424510632,0.2,-2.31300866,1257.0
0,3,227328,2025,-41.26162099838257,7088,0.019313269702252,-0.03735850378870964,-0.02916237761382945,0.49232202768325806,0.2724609375,0.025872434,0.9270862340927124,0.0004092704424510632,0.2,-2.31300866,1257.0
1,4,227840,1896,-41.24621760845184,7104,0.010943619505269453,-0.010866101831197739,-0.025915218226145953,-0.14647996425628662,0.25048828125,0.017290853,0.927594006061554,0.0004092704424510632,0.2,-2.3107081800000002,1257.0
1,5,228352,1825,-41.26804268360138,7120,0.029703419539146125,-0.030573749914765358,-0.019323472180985846,0.8428221940994263,0.162841796875,0.019567758,0.9279411435127258,0.0004092704424510632,0.2,-2.3107081800000002,1257.0
1,6,228864,1783,-41.25879693031311,7136,0.01815612634527497,-0.027394447475671768,-0.029974624165333807,-0.4614626169204712,0.2535400390625,0.02030585,0.9271175265312195,0.0004092704424510632,0.2,-2.30914041,1257.0
2,7,229376,1760,-41.230440974235535,7152,0.02687143351067789,-0.024539435282349586,-0.023858722153818235,0.8349003195762634,0.189697265625,0.019540673,0.9263119697570801,0.0004092704424510632,0.2,-2.30914041,1257.0
2,8,229888,1743,-41.23765158653259,7168,0.015709486819105223,-0.03949875012040138,-0.029165127736632712,0.6354365348815918,0.286376953125,0.01932516,0.927565336227417,0.0004092704424510632,0.2,-2.30914041,1257.0
2,9,230400,1734,-41.29402434825897,7184,0.00949558470165357,-0.03192272409796715,-0.027080457672127523,-0.47161436080932617,0.23779296875,0.018951654,0.9294801354408264,0.0004092704424510632,0.2,-2.31156316,1257.0
2,10,230912,1722,-41.32405865192413,7200,0.022630735678831115,-0.025741729885339737,-0.02252684361883439,0.732667863368988,0.2020263671875,0.015852539,0.9288607239723206,0.0004092704424510632,0.2,-2.31156316,1257.0
3,11,231424,1715,-41.295799136161804,7216,0.012889553443528712,-0.0448300875723362,-0.024472980468999594,-0.3275099992752075,0.2291259765625,0.018999375,0.9293608665466309,0.0004092704424510632,0.2,-2.3114949499999997,1257.0
3,12,231936,1710,-41.31313693523407,7232,0.031718354439362884,-0.026285972446203232,-0.02157250590971671,0.8262608647346497,0.175537109375,0.019876866,0.9297727346420288,0.0004092704424510632,0.2,-2.3114949499999997,1257.0
3,13,232448,1705,-41.3028529882431,7248,0.014855300425551832,-0.02148168347775936,-0.022380503462045453,0.3129791021347046,0.220458984375,0.016240764,0.9292720556259155,0.0004092704424510632,0.2,-2.3114949499999997,1257.0
4,14,232960,1702,-41.315967440605164,7264,0.027437760145403445,-0.008621578104794025,-0.02236093473038636,0.5645354986190796,0.2203369140625,0.014447955,0.9311636090278625,0.0004092704424510632,0.2,-2.3114289500000003,1257.0
4,15,233472,1699,-41.37495803833008,7280,0.014262113050790504,-0.02884451113641262,-0.024644397693919018,0.9419196844100952,0.2098388671875,0.015865896,0.9324158430099487,0.0004092704424510632,0.2,-2.3114289500000003,1257.0
4,16,233984,1697,-41.407071352005005,7296,0.033763452549465,-0.031009988859295845,-0.025842609960818663,0.369151771068573,0.227294921875,0.021352619,0.9334233403205872,0.0004092704424510632,0.2,-2.30978103,1257.0
5,17,234496,1694,-41.42743909358978,7312,0.03203531133476645,-0.014717871323227882,-0.02080961827596184,0.9088627099990845,0.1744384765625,0.0156587,0.9331690073013306,0.0004092704424510632,0.2,-2.30978103,1257.0
5,18,235008,1693,-41.41071081161499,7328,0.03350705612683669,-0.01488436758518219,-0.02340006991289556,-0.089119553565979,0.199951171875,0.017610395,0.9325644969940186,0.0004092704424510632,0.2,-2.30978103,1257.0
5,19,235520,1691,-41.414576172828674,7344,0.03069173969561234,-0.017177794128656387,-0.02127456641755998,0.791926383972168,0.2091064453125,0.016488183,0.9334089159965515,0.0004092704424510632,0.2,-2.3087438899999997,1257.0
6,20,236032,1689,-41.40046799182892,7360,0.01672450074693188,-0.03020871803164482,-0.02675775423995219,0.9533916115760803,0.254150390625,0.024623925,0.9305499792098999,0.0004092704424510632,0.2,-2.3087438899999997,1257.0
6,21,236544,1686,-41.324718952178955,7376,0.01888678621617146,-0.01695726439356804,-0.024258430930785835,0.1268988847732544,0.22900390625,0.017320294,0.9299958348274231,0.0004092704424510632,0.2,-2.3060689,1257.0
6,22,237056,1684,-41.34479069709778,7392,0.027634867059532553,-0.015210048295557499,-0.021849118755199015,0.8882372975349426,0.19189453125,0.015526204,0.9305550456047058,0.0004092704424510632,0.2,-2.3060689,1257.0
6,23,237568,1683,-41.33271920681,7408,0.02536542370216921,-0.037245653569698334,-0.033309603517409414,-0.28693175315856934,0.25048828125,0.019483477,0.9287346601486206,0.0004092704424510632,0.2,-2.3060689,1257.0
7,24,238080,1681,-41.274288296699524,7424,0.023378775804303586,-0.023648995906114578,-0.016437620608485304,0.8850089311599731,0.1512451171875,0.010685932,0.9271836280822754,0.0004092704424510632,0.2,-2.30730749,1257.0
