time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/learning_rate,train/loss,train/clip_fraction,train/approx_kl,train/entropy_loss,train/clip_range,train/std,train/n_updates,train/policy_gradient_loss,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
151552,0,2654,2,0.3282915949821472,0.0004092704424510632,0.10853918641805649,0.0416259765625,0.009723205,-43.15759980678558,0.2,0.982466459274292,4720,-0.00933517275552731,0.8531258516013622,1258.0,-2.2242476700000005
152064,0,2334,3,-1.7257194519042969,0.0004092704424510632,-0.03967137262225151,0.2845458984375,0.02223669,-43.16948759555817,0.2,0.9837554097175598,4736,-0.025414288400497753,0.003961642232752638,1258.0,-2.2242476700000005
152576,0,2236,4,0.022831082344055176,0.0004092704424510632,-0.030003396794199944,0.229736328125,0.015602021,-43.217609882354736,0.2,0.9851375818252563,4752,-0.024199600433348678,0.007313338239328004,1258.0,-2.2234784800000007
153088,1,2185,5,0.5048062801361084,0.0004092704424510632,0.1298343986272812,0.0194091796875,0.006273886,-43.247015595436096,0.2,0.9853523373603821,4768,-0.00511206072405912,0.6186441238969564,1258.0,-2.2234784800000007
153600,1,2128,6,-1.1529855728149414,0.0004092704424510632,-0.024200553074479103,0.2080078125,0.01697795,-43.25436508655548,0.2,0.9857296943664551,4784,-0.02331622022029478,0.018191771290730685,1258.0,-2.2256258100000004
154112,1,2097,7,0.4924406409263611,0.0004092704424510632,0.0807558000087738,0.038818359375,0.011902526,-43.255449414253235,0.2,0.9854397177696228,4800,-0.009207968148984946,0.6698537198826671,1258.0,-2.2256258100000004
154624,1,2074,8,-0.41641294956207275,0.0004092704424510632,-0.025708217173814774,0.2877197265625,0.021880457,-43.25019896030426,0.2,0.9854915738105774,4816,-0.02572789345867932,0.03161203220952302,1258.0,-2.2256258100000004
155136,2,2047,9,-0.19477832317352295,0.0004092704424510632,-0.04061536863446236,0.2498779296875,0.01823034,-43.252573013305664,0.2,0.9844498038291931,4832,-0.02828049064555671,0.007655260167666711,1258.0,-2.2254255900000004
155648,2,2038,10,0.5382746458053589,0.0004092704424510632,0.06180644780397415,0.0147705078125,0.006139333,-43.23488104343414,0.2,0.9843589067459106,4848,-0.006055914549506269,0.5512464162893593,1258.0,-2.2254255900000004
156160,2,2021,11,-7.376137733459473,0.0004092704424510632,-0.026084136217832565,0.2308349609375,0.021471556,-43.24279427528381,0.2,0.9845400452613831,4864,-0.020654392254073173,0.02580558240879327,1258.0,-2.22419814
156672,3,2018,12,0.26247483491897583,0.0004092704424510632,0.10079348087310791,0.05419921875,0.011728865,-43.25289595127106,0.2,0.9846014976501465,4880,-0.007653588239918463,0.7511583501473069,1258.0,-2.22419814
157184,3,2007,13,-0.9212504625320435,0.0004092704424510632,-0.03716007247567177,0.2301025390625,0.017931327,-43.221819162368774,0.2,0.9821992516517639,4896,-0.024079747876385227,0.0042965928732883185,1258.0,-2.22419814
157696,3,2003,14,0.2657044529914856,0.0004092704424510632,-0.029189173132181168,0.24951171875,0.020317327,-43.137229204177856,0.2,0.9797263145446777,4912,-0.025928383052814752,0.008292864280520007,1258.0,-2.22393884
158208,3,2002,15,0.6218316555023193,0.0004092704424510632,0.005629725754261017,0.0499267578125,0.012834136,-43.094908475875854,0.2,0.9792996048927307,4928,-0.01253967972297687,0.37845702236518264,1258.0,-2.22393884
158720,4,2001,16,-7.827025413513184,0.0004092704424510632,-0.0289252121001482,0.1978759765625,0.019766565,-43.089666962623596,0.2,0.9792200326919556,4944,-0.01997097861021757,0.02844692242797464,1258.0,-2.2240350700000002
159232,4,2001,17,0.2689499855041504,0.0004092704424510632,0.046988025307655334,0.0531005859375,0.01102595,-43.0846791267395,0.2,0.9793381690979004,4960,-0.010801254495163448,0.706145687494427,1258.0,-2.2240350700000002
159744,4,2000,18,-3.601174831390381,0.0004092704424510632,-0.03858216851949692,0.2578125,0.025629044,-43.09864687919617,0.2,0.980633020401001,4976,-0.02478081051958725,0.006115591218986083,1258.0,-2.2240350700000002
160256,4,1997,19,0.3613360524177551,0.0004092704424510632,0.055798549205064774,0.093505859375,0.017135706,-43.13232731819153,0.2,0.9807624220848083,4992,-0.01553952279209625,0.25519276643171906,1258.0,-2.22345469
160768,5,1997,20,0.9392138123512268,0.0004092704424510632,-0.021744269877672195,0.3079833984375,0.03852389,-43.124677538871765,0.2,0.9810014963150024,5008,-0.022260917598032393,0.06273814185988158,1258.0,-2.22345469
161280,5,1996,21,-2.7366487979888916,0.0004092704424510632,-0.03627942502498627,0.263427734375,0.018127333,-43.1427948474884,0.2,0.9818328022956848,5024,-0.026006225758465007,0.00881386834953446,1258.0,-2.2242330100000003
