time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/clip_fraction,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates,train/std,train/loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean
88,37,1204,45056,0.287841796875,0.0004092704424510632,0.007972820400027558,-0.5111351013183594,1392,0.9757969975471497,-0.03128761798143387,-43.14624035358429,-0.027081984510004986,0.020465016,0.2,1257.0,-2.503002657142857
89,37,1204,45568,0.268798828125,0.0004092704424510632,0.0037817677221028134,-0.13443171977996826,1408,0.9739549160003662,-0.031591348350048065,-43.16705644130707,-0.023136193718528375,0.017739572,0.2,1257.0,-2.504401361111111
90,38,1204,46080,0.14501953125,0.0004092704424510632,0.13420649338513613,0.14943110942840576,1424,0.9725744128227234,0.0035803616046905518,-43.097503423690796,-0.018814521085005254,0.015105475,0.2,1257.0,-2.504401361111111
91,38,1204,46592,0.29736328125,0.0004092704424510632,0.006983949831919745,-0.21330726146697998,1440,0.9732591509819031,-0.033091023564338684,-43.08057117462158,-0.029571631137514487,0.022933062,0.2,1257.0,-2.507633216216216
92,39,1204,47104,0.09521484375,0.0004092704424510632,0.17967760865576565,0.6495811343193054,1456,0.9734833240509033,0.04341188818216324,-43.1055543422699,-0.013479041284881532,0.013199842,0.2,1257.0,-2.507633216216216
93,39,1204,47616,0.2066650390625,0.0004092704424510632,0.014079460961511359,-0.2728762626647949,1472,0.9714509844779968,-0.017322663217782974,-43.076441168785095,-0.023248190293088555,0.014513688,0.2,1257.0,-2.507633216216216
94,39,1204,48128,0.2674560546875,0.0004092704424510632,0.0062245406152214855,-0.7809406518936157,1488,0.969675600528717,-0.04231306537985802,-43.007805705070496,-0.028765675007889513,0.01917605,0.2,1257.0,-2.5078183947368418
95,40,1203,48640,0.095458984375,0.0004092704424510632,0.18335052963811904,0.17914611101150513,1504,0.9694820642471313,0.02393454499542713,-42.97302317619324,-0.016715364588890225,0.01329015,0.2,1257.0,-2.5078183947368418
96,40,1203,49152,0.230224609375,0.0004092704424510632,0.00770384501083754,-2.870126247406006,1520,0.9701284170150757,-0.02848050743341446,-42.97934401035309,-0.024460867542074993,0.01324062,0.2,1257.0,-2.507567641025641
97,41,1203,49664,0.208984375,0.0004092704424510632,0.2325810194015503,0.03260183334350586,1536,0.9698647260665894,0.016426127403974533,-42.99078702926636,-0.02127750910585746,0.01937606,0.2,1257.0,-2.507567641025641
98,41,1203,50176,0.205078125,0.0004092704424510632,0.010701586958020926,-0.17359578609466553,1552,0.9710485935211182,-0.026787787675857544,-42.9961074590683,-0.021114096220117062,0.013221133,0.2,1257.0,-2.507567641025641
99,42,1203,50688,0.2437744140625,0.0004092704424510632,0.004696368851000443,0.009497761726379395,1568,0.9704957604408264,-0.038488488644361496,-43.016785979270935,-0.02676440676441416,0.017469436,0.2,1257.0,-2.505428625
100,42,1203,51200,0.1351318359375,0.0004092704424510632,0.21297816198784858,0.1174498200416565,1584,0.9697839021682739,0.0009293481707572937,-42.98534321784973,-0.017935387877514586,0.014961854,0.2,1257.0,-2.505428625
101,42,1203,51712,0.263427734375,0.0004092704424510632,0.010739586941781454,-3.345834732055664,1600,0.9690964818000793,-0.022718798369169235,-42.966882824897766,-0.025233841937733814,0.02437864,0.2,1257.0,-2.505964975609756
102,43,1203,52224,0.1441650390625,0.0004092704424510632,0.24029248964507133,0.1025041937828064,1616,0.9689846634864807,0.010052748024463654,-42.951735615730286,-0.02006355405319482,0.016985727,0.2,1257.0,-2.505964975609756
103,43,1203,52736,0.242431640625,0.0004092704424510632,0.012195217190310359,0.06375104188919067,1632,0.9691562056541443,-0.0334908664226532,-42.956676959991455,-0.02684902735927608,0.01757092,0.2,1257.0,-2.505964975609756
104,44,1203,53248,0.2657470703125,0.0004092704424510632,0.02795641025295481,0.2835150957107544,1648,0.9701122641563416,-0.02590807154774666,-42.970248341560364,-0.030240184962167405,0.022670973,0.2,1257.0,-2.5038159999999996
105,44,1203,53760,0.185791015625,0.0004092704424510632,0.11571921058930457,0.696382999420166,1664,0.9704009294509888,-0.012172788381576538,-42.99889349937439,-0.02468814498570282,0.025046345,0.2,1257.0,-2.5038159999999996
106,45,1203,54272,0.1932373046875,0.0004092704424510632,0.02811561041744426,-3.4247140884399414,1680,0.9701650142669678,-0.02719281241297722,-42.99780631065369,-0.025762388366274536,0.014423545,0.2,1257.0,-2.4991371860465112
107,45,1202,54784,0.1209716796875,0.0004092704424510632,0.2503168366383761,0.07650333642959595,1696,0.9697527885437012,0.008133810013532639,-42.983651757240295,-0.017533722944790497,0.012557583,0.2,1257.0,-2.4991371860465112
108,45,1202,55296,0.2891845703125,0.0004092704424510632,0.014343120070407167,0.34142518043518066,1712,0.9701809287071228,-0.04427541792392731,-42.97503638267517,-0.028639740368817,0.025113985,0.2,1257.0,-2.4991371860465112
109,46,1202,55808,0.2122802734375,0.0004092704424510632,0.18615330196917057,0.6858177185058594,1728,0.9702830910682678,0.07176579535007477,-42.99169218540192,-0.018101580804795958,0.019597746,0.2,1257.0,-2.501556886363636
110,46,1202,56320,0.2548828125,0.0004092704424510632,0.030661613098345697,0.9028643369674683,1744,0.9691524505615234,-0.013483726419508457,-42.976924419403076,-0.020318848040915327,0.02529151,0.2,1257.0,-2.501556886363636
111,47,1202,56832,0.26123046875,0.0004092704424510632,0.042212149826809764,-0.6636061668395996,1760,0.9678155183792114,-0.024316508322954178,-42.931867599487305,-0.026582968479488045,0.0218209,0.2,1257.0,-2.5034072888888885
112,47,1202,57344,0.1043701171875,0.0004092704424510632,0.15931529644876719,0.49227654933929443,1776,0.9674995541572571,0.0009517744183540344,-42.90514028072357,-0.016070985831902362,0.018994492,0.2,1257.0,-2.5034072888888885
113,48,1202,57856,0.2398681640625,0.0004092704424510632,0.014836727932561189,0.10351836681365967,1792,0.9681562781333923,-0.02882342040538788,-42.90842533111572,-0.022774595796363428,0.022024773,0.2,1257.0,-2.4970950869565214
