time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/explained_variance,train/learning_rate,train/value_loss,train/approx_kl,train/loss,train/n_updates,train/std,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean
17,42,172032,1245,0.5456691384315491,0.0004092704424510632,0.809707279317081,0.010555778,0.1291738897562027,5360,0.9822152853012085,0.042236328125,-0.010962309781461954,-43.21724486351013,0.2,1258.0,-2.66015787
17,43,172544,1244,-3.6413121223449707,0.0004092704424510632,0.0363651582156308,0.022203859,-0.02331523783504963,5376,0.9820675849914551,0.239990234375,-0.024052907785517164,-43.22569918632507,0.2,1258.0,-2.6631763
18,44,173056,1244,0.30671197175979614,0.0004092704424510632,1.1705396873876452,0.0050115553,0.16753339767456055,5392,0.982022762298584,0.0113525390625,-0.004394019524625037,-43.22407042980194,0.2,1258.0,-2.6631763
18,45,173568,1243,-3.149251937866211,0.0004092704424510632,0.02211952058132738,0.021815104,-0.03591741621494293,5408,0.9798514246940613,0.2607421875,-0.02748504254850559,-43.199100375175476,0.2,1258.0,-2.6631763
18,46,174080,1242,0.5035617351531982,0.0004092704424510632,0.2742805117741227,0.028061181,0.09529051929712296,5424,0.9789668917655945,0.165771484375,-0.02082477083604317,-43.13144779205322,0.2,1258.0,-2.66177978
19,47,174592,1241,0.9323620200157166,0.0004092704424510632,0.1820561330532655,0.022767479,-0.01450870931148529,5440,0.978983998298645,0.16748046875,-0.020799399993848056,-43.12437689304352,0.2,1258.0,-2.66177978
19,48,175104,1241,-5.178945541381836,0.0004092704424510632,0.03910201718099415,0.018574184,-0.0252247154712677,5456,0.9799662232398987,0.2325439453125,-0.02200654889747966,-43.134889960289,0.2,1258.0,-2.66424307
20,49,175616,1240,0.2261667251586914,0.0004092704424510632,1.2072421107441187,0.007117345,0.21722982823848724,5472,0.9803710579872131,0.0230712890625,-0.006372535994159989,-43.16162061691284,0.2,1258.0,-2.66424307
20,50,176128,1240,-1.322073221206665,0.0004092704424510632,0.004026188369607553,0.02078761,-0.0484728068113327,5488,0.9806002974510193,0.2672119140625,-0.0324262012145482,-43.16341948509216,0.2,1258.0,-2.6641405
21,51,176640,1239,0.5421550273895264,0.0004092704424510632,1.2867211820557714,0.004706774,0.2096611112356186,5504,0.9810556769371033,0.0130615234375,-0.006331759788736235,-43.168607234954834,0.2,1258.0,-2.6641405
21,52,177152,1239,-5.90936803817749,0.0004092704424510632,0.009487628507486079,0.02134803,-0.035602957010269165,5520,0.9812191724777222,0.2620849609375,-0.027973323711194098,-43.17338180541992,0.2,1258.0,-2.6641405
21,53,177664,1239,0.024463236331939697,0.0004092704424510632,0.01667397198616527,0.016376108,-0.02229233644902706,5536,0.9801499247550964,0.26318359375,-0.02224937862774823,-43.16337776184082,0.2,1258.0,-2.6654715299999996
22,54,178176,1239,0.5188018083572388,0.0004092704424510632,1.0748489452525973,0.005380636,0.13297216594219208,5552,0.9797027111053467,0.0147705078125,-0.007688787372899242,-43.1420795917511,0.2,1258.0,-2.6654715299999996
22,55,178688,1238,-6.981304168701172,0.0004092704424510632,0.02315005390846636,0.017598461,-0.03378797322511673,5568,0.9807853698730469,0.19140625,-0.02056364058080362,-43.14766800403595,0.2,1258.0,-2.6659839299999994
23,56,179200,1238,0.3944042921066284,0.0004092704424510632,1.4850104609504342,0.0060421713,0.1525074690580368,5584,0.9816137552261353,0.0185546875,-0.003216963479644619,-43.19542217254639,0.2,1258.0,-2.6659839299999994
23,57,179712,1238,-1.2561078071594238,0.0004092704424510632,0.010560852126218379,0.024327911,-0.02905341610312462,5600,0.9801445603370667,0.292724609375,-0.026157365733524784,-43.18724298477173,0.2,1258.0,-2.6659839299999994
23,58,180224,1237,-0.0002999305725097656,0.0004092704424510632,0.010556023495155387,0.016009761,-0.030289217829704285,5616,0.9784138202667236,0.2320556640625,-0.023736918010399677,-43.12534546852112,0.2,1258.0,-2.6641670499999996
24,59,180736,1237,0.5580500960350037,0.0004092704424510632,1.0937435794621706,0.0044908416,0.10894683748483658,5632,0.9780287146568298,0.00830078125,-0.004111103698960505,-43.089165449142456,0.2,1258.0,-2.6641670499999996
24,60,181248,1237,-3.530022621154785,0.0004092704424510632,0.040863505739253014,0.016233075,-0.01848423108458519,5648,0.9785599112510681,0.16455078125,-0.01713591764564626,-43.09137213230133,0.2,1258.0,-2.6618218899999992
25,61,181760,1237,0.4122583270072937,0.0004092704424510632,1.5446798177435994,0.003861752,0.18611039221286774,5664,0.9788615703582764,0.003662109375,-0.0005882438999833539,-43.09990453720093,0.2,1258.0,-2.6618218899999992
25,62,182272,1237,-2.277226686477661,0.0004092704424510632,0.007761090724670794,0.021584205,-0.034215062856674194,5680,0.9784581661224365,0.287109375,-0.028853993018856272,-43.099963307380676,0.2,1258.0,-2.6618218899999992
26,63,182784,1237,0.04298579692840576,0.0004092704424510632,0.023053835495375097,0.022955846,-0.03905503451824188,5696,0.9810563325881958,0.3118896484375,-0.029100703104631975,-43.12221097946167,0.2,1258.0,-2.6636827
26,64,183296,1236,0.6092586517333984,0.0004092704424510632,1.0733551057055593,0.0058837365,0.2856888175010681,5712,0.9817750453948975,0.0115966796875,-0.004788960970472544,-43.18974530696869,0.2,1258.0,-2.6636827
26,65,183808,1236,-2.856689214706421,0.0004092704424510632,0.11537232901901007,0.02671162,0.0066112130880355835,5728,0.9816766977310181,0.2703857421875,-0.025944876193534583,-43.19455802440643,0.2,1258.0,-2.66286492
27,66,184320,1236,0.4195340871810913,0.0004092704424510632,1.19065813254565,0.00945309,0.14857688546180725,5744,0.9814574718475342,0.037109375,-0.010322461188479792,-43.18153464794159,0.2,1258.0,-2.66286492
27,67,184832,1236,0.11414176225662231,0.0004092704424510632,0.08005664905067533,0.019330578,0.0023854076862335205,5760,0.9824316501617432,0.25830078125,-0.02340526771149598,-43.187705278396606,0.2,1258.0,-2.66286492
28,68,185344,1236,0.3356403708457947,0.0004092704424510632,0.20572453690692782,0.019075394,0.05941509082913399,5776,0.9826598763465881,0.242431640625,-0.02161774321575649,-43.20782542228699,0.2,1258.0,-2.66634657
28,69,185856,1235,0.8768194317817688,0.0004092704424510632,0.43021549517288804,0.009962842,0.08487012982368469,5792,0.9831127524375916,0.09326171875,-0.017253401849302463,-43.21547996997833,0.2,1258.0,-2.66634657
28,70,186368,1235,-6.754266262054443,0.0004092704424510632,0.12900691176764667,0.023200203,0.0014739558100700378,5808,0.9842329621315002,0.194580078125,-0.024277274984342512,-43.235732436180115,0.2,1258.0,-2.6665073300000004
29,71,186880,1235,0.23871856927871704,0.0004092704424510632,1.0449597537517548,0.008489896,0.16848431527614594,5824,0.9848616123199463,0.0267333984375,-0.00501897833601106,-43.258883476257324,0.2,1258.0,-2.6665073300000004
29,72,187392,1235,-0.11946415901184082,0.0004092704424510632,0.008504399796947837,0.021108728,-0.04475448653101921,5840,0.9854229688644409,0.28125,-0.028676455636741593,-43.26974046230316,0.2,1258.0,-2.6665073300000004
30,73,187904,1235,0.5633038282394409,0.0004092704424510632,0.1498999090399593,0.021097139,0.05970258638262749,5856,0.9845269322395325,0.2615966796875,-0.024589415377704427,-43.25727045536041,0.2,1258.0,-2.6691442300000006
30,74,188416,1235,0.803510308265686,0.0004092704424510632,0.23728667432442307,0.01933867,0.0011827163398265839,5872,0.9837704300880432,0.098388671875,-0.01615410985687049,-43.22629487514496,0.2,1258.0,-2.6691442300000006
31,75,188928,1235,-1.958949089050293,0.0004092704424510632,0.053142952150665224,0.01471404,-0.006117250770330429,5888,0.9849749207496643,0.2119140625,-0.024383189243962988,-43.22292482852936,0.2,1258.0,-2.6728400200000006
31,76,189440,1235,0.533315896987915,0.0004092704424510632,0.9172444920986891,0.010827074,0.11765115708112717,5904,0.9855065941810608,0.0513916015625,-0.00944497436285019,-43.25649929046631,0.2,1258.0,-2.6728400200000006
31,77,189952,1235,-2.0326006412506104,0.0004092704424510632,0.007314795278944075,0.022560876,-0.039417412132024765,5920,0.9852575659751892,0.275390625,-0.03084331564605236,-43.25171625614166,0.2,1258.0,-2.6728400200000006
32,78,190464,1234,0.5756404399871826,0.0004092704424510632,0.6261832867749035,0.016693372,0.06997370719909668,5936,0.9844911098480225,0.09423828125,-0.014564738070475869,-43.22666585445404,0.2,1258.0,-2.6731148500000006
32,79,190976,1235,0.8812819719314575,0.0004092704424510632,0.09422481554793194,0.034992933,-0.012517555616796017,5952,0.9843276143074036,0.3284912109375,-0.02059698084485717,-43.19702708721161,0.2,1258.0,-2.6731148500000006
33,80,191488,1234,-1.4779412746429443,0.0004092704424510632,0.023432656074874103,0.018113367,-0.029041221365332603,5968,0.9835909008979797,0.2454833984375,-0.023380382066534366,-43.200430512428284,0.2,1258.0,-2.66967938
33,81,192000,1234,0.27830761671066284,0.0004092704424510632,1.0884992135688663,0.008379355,0.10894741863012314,5984,0.9831237196922302,0.0313720703125,-0.009614209207938984,-43.16628384590149,0.2,1258.0,-2.66967938
34,82,192512,1234,-4.5654497146606445,0.0004092704424510632,0.008356386177183595,0.01872452,-0.02886435016989708,6000,0.9860647916793823,0.2408447265625,-0.021761078489362262,-43.19627547264099,0.2,1258.0,-2.66705258
34,83,193024,1234,0.4729507565498352,0.0004092704424510632,0.7997499532066286,0.015761351,0.15574243664741516,6016,0.9870659112930298,0.07763671875,-0.01705956550722476,-43.26664638519287,0.2,1258.0,-2.66705258
34,84,193536,1234,-0.25798940658569336,0.0004092704424510632,0.004858297936152667,0.031132378,-0.04854613542556763,6032,0.9879576563835144,0.3623046875,-0.03487284714356065,-43.283488392829895,0.2,1258.0,-2.66705258
35,85,194048,1234,-0.043886780738830566,0.0004092704424510632,0.013254318095277995,0.02084162,-0.04150430113077164,6048,0.9903631806373596,0.3023681640625,-0.029060609871521592,-43.33340895175934,0.2,1258.0,-2.66467256
35,86,194560,1234,0.5455368757247925,0.0004092704424510632,0.9673107415437698,0.00535243,0.09216517955064774,6064,0.9909078478813171,0.01171875,-0.005410272351582535,-43.385173320770264,0.2,1258.0,-2.66467256
36,87,195072,1233,-2.3683762550354004,0.0004092704424510632,0.027594273153226823,0.01883674,-0.022202255204319954,6080,0.9933781027793884,0.1893310546875,-0.018420992593746632,-43.41598129272461,0.2,1258.0,-2.6646072000000003
36,88,195584,1233,0.41179800033569336,0.0004092704424510632,1.417692817747593,0.005588693,0.3485017418861389,6096,0.9944674968719482,0.030517578125,-0.004508739672019146,-43.49547207355499,0.2,1258.0,-2.6646072000000003
36,89,196096,1233,-0.17393875122070312,0.0004092704424510632,0.003947290664655156,0.016349588,-0.03522887080907822,6112,0.9944453835487366,0.2740478515625,-0.02818305543041788,-43.508124113082886,0.2,1258.0,-2.6646072000000003
37,90,196608,1233,0.029074013233184814,0.0004092704424510632,0.01501191855641082,0.014348671,-0.020185261964797974,6128,0.9964509606361389,0.2430419921875,-0.02679508186702151,-43.537370681762695,0.2,1258.0,-2.66716162
37,91,197120,1232,0.5841020941734314,0.0004092704424510632,0.9706812044605613,0.0052454513,0.23449569940567017,6144,0.9967530369758606,0.0111083984375,-0.0070394310023402795,-43.58059883117676,0.2,1258.0,-2.66716162
38,92,197632,1233,-3.351016044616699,0.0004092704424510632,0.04089258942985907,0.017386153,-0.021389462053775787,6160,0.9963877201080322,0.2138671875,-0.021896070829825476,-43.578033328056335,0.2,1258.0,-2.6686929000000004
38,93,198144,1233,0.4919154644012451,0.0004092704424510632,0.973763951100409,0.0074282642,0.16702547669410706,6176,0.9960914850234985,0.0218505859375,-0.004791745814145543,-43.577654242515564,0.2,1258.0,-2.6686929000000004
39,94,198656,1233,-0.3355429172515869,0.0004092704424510632,0.013949145883088931,0.019645188,-0.0390804149210453,6192,0.995033860206604,0.271240234375,-0.027710978421964683,-43.56146419048309,0.2,1258.0,-2.6686929000000004
39,95,199168,1233,0.23996269702911377,0.0004092704424510632,0.01724509274936281,0.01518477,-0.02853020839393139,6208,0.9956810474395752,0.2220458984375,-0.022407737356843427,-43.548649311065674,0.2,1258.0,-2.6698499800000004
39,96,199680,1233,0.7092610001564026,0.0004092704424510632,0.5342592638917267,0.015749164,0.1296609789133072,6224,0.9959127902984619,0.096923828125,-0.013092471956042573,-43.57563936710358,0.2,1258.0,-2.6698499800000004
40,97,200192,1232,-2.798741102218628,0.0004092704424510632,0.026901753968559206,0.014527783,-0.023845579475164413,6240,0.9943898320198059,0.2008056640625,-0.02208643130143173,-43.56164050102234,0.2,1258.0,-2.6706276200000008
40,98,200704,1232,0.36203211545944214,0.0004092704424510632,1.27340092882514,0.007051303,0.10272470116615295,6256,0.9938536882400513,0.04296875,-0.007626985701790545,-43.52359640598297,0.2,1258.0,-2.6706276200000008
41,99,201216,1232,-0.919274091720581,0.0004092704424510632,0.01050485874293372,0.021575727,-0.03722543641924858,6272,0.9909746050834656,0.268798828125,-0.027182670281035826,-43.48527812957764,0.2,1258.0,-2.6706276200000008
41,100,201728,1231,0.4435150623321533,0.0004092704424510632,0.03043915203306824,0.019308534,-0.013740550726652145,6288,0.9896611571311951,0.2586669921875,-0.02666469811811112,-43.397220611572266,0.2,1258.0,-2.6739135700000003
41,101,202240,1231,0.7400687336921692,0.0004092704424510632,0.31504920637235045,0.023233261,0.013060953468084335,6304,0.9897821545600891,0.103759765625,-0.015041760343592614,-43.379417181015015,0.2,1258.0,-2.6739135700000003
42,102,202752,1231,-0.6886672973632812,0.0004092704424510632,0.07239736779592931,0.02005507,0.015241779386997223,6320,0.9888941049575806,0.2471923828125,-0.024559692341426853,-43.37100601196289,0.2,1258.0,-2.66870732
42,103,203264,1231,0.5188788175582886,0.0004092704424510632,1.037961330730468,0.009547381,0.1738063395023346,6336,0.9886942505836487,0.0341796875,-0.007905150334408972,-43.34781455993652,0.2,1258.0,-2.66870732
43,104,203776,1231,-2.515831232070923,0.0004092704424510632,0.010633872312610038,0.016955588,-0.026170548051595688,6352,0.9883053302764893,0.23291015625,-0.021350884868297726,-43.34283208847046,0.2,1258.0,-2.66870732
43,105,204288,1230,0.5016598701477051,0.0004092704424510632,0.27053252700716257,0.014627175,0.0853986144065857,6368,0.9878113865852356,0.153076171875,-0.0173903722607065,-43.328168630599976,0.2,1258.0,-2.66852239
44,106,204800,1230,0.8843006491661072,0.0004092704424510632,0.06050907773897052,0.032048255,-0.02135816588997841,6384,0.9871267676353455,0.2362060546875,-0.020019974632305093,-43.30135464668274,0.2,1258.0,-2.66852239
44,107,205312,1230,-1.552241325378418,0.0004092704424510632,0.018527304811868817,0.015536599,-0.02014712430536747,6400,0.988410234451294,0.2347412109375,-0.02273403509752825,-43.30452501773834,0.2,1258.0,-2.6705710899999997
44,108,205824,1230,0.4309045672416687,0.0004092704424510632,0.914862213190645,0.0126562,0.29128342866897583,6416,0.9889291524887085,0.0772705078125,-0.01182433101348579,-43.34158372879028,0.2,1258.0,-2.6705710899999997
45,109,206336,1230,-2.3462815284729004,0.0004092704424510632,0.010734218056313694,0.025437765,-0.040805935859680176,6432,0.9888573884963989,0.285400390625,-0.026877441385295242,-43.34057867527008,0.2,1258.0,-2.6672947799999998
45,110,206848,1230,0.46357589960098267,0.0004092704424510632,1.029099889099598,0.008057009,0.12552113831043243,6448,0.9891821146011353,0.04296875,-0.003154126345179975,-43.342164039611816,0.2,1258.0,-2.6672947799999998
46,111,207360,1229,-0.8277612924575806,0.0004092704424510632,0.004922031228488777,0.02641836,-0.025076303631067276,6464,0.9884246587753296,0.2943115234375,-0.029585389958810993,-43.33926045894623,0.2,1258.0,-2.6672947799999998
