time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/loss,train/learning_rate,train/std,train/clip_range,train/explained_variance,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
74,1719,22,37888,-0.020483199506998062,0.0004092704424510632,0.985724687576294,0.2,-2.4793381690979004,0.02704747364623472,0.018667324,-0.020280353404814377,1168,-43.50762927532196,0.1971435546875,-3.1920305666666673,1258.0
75,1723,22,38400,0.0906558483839035,0.0004092704424510632,0.9856535792350769,0.2,0.07028120756149292,0.33990019839257,0.021071099,-0.026203605986665934,1184,-43.4836163520813,0.16796875,-3.1920305666666673,1258.0
76,1728,22,38912,-0.03879345953464508,0.0004092704424510632,0.9848625659942627,0.2,-6.709101676940918,0.008934806450270116,0.023012098,-0.026975537635735236,1200,-43.475818276405334,0.259765625,-3.1920305666666673,1258.0
77,1732,22,39424,-0.035126928240060806,0.0004092704424510632,0.9844589233398438,0.2,0.00419771671295166,0.005068146732810419,0.020734135,-0.028518242223071866,1216,-43.452173471450806,0.2669677734375,-3.197496322580646,1258.0
78,1735,23,39936,0.08473829180002213,0.0004092704424510632,0.9836738705635071,0.2,0.005351424217224121,0.5044486620463431,0.023711555,-0.016357617103494704,1232,-43.433637499809265,0.18994140625,-3.197496322580646,1258.0
79,1738,23,40448,-0.02189580537378788,0.0004092704424510632,0.9844191670417786,0.2,-1.9565093517303467,0.05149660783354193,0.025458453,-0.023928177382913418,1248,-43.42918407917023,0.2098388671875,-3.1989697500000003,1258.0
80,1741,23,40960,0.06565839797258377,0.0004092704424510632,0.9846500754356384,0.2,0.07146543264389038,0.42654248885810375,0.01535084,-0.021204231306910515,1264,-43.44699490070343,0.109130859375,-3.1989697500000003,1258.0
81,1744,23,41472,-0.005399730056524277,0.0004092704424510632,0.9839495420455933,0.2,-0.06542932987213135,0.08612205507233739,0.019496161,-0.022501303494209424,1280,-43.440975069999695,0.1973876953125,-3.1989697500000003,1258.0
82,1747,24,41984,-0.0009398162364959717,0.0004092704424510632,0.9836172461509705,0.2,0.4691232442855835,0.07279914303217083,0.01732535,-0.02403142279945314,1296,-43.4161731004715,0.21044921875,-3.2046350000000006,1258.0
83,1751,24,42496,0.010779943317174911,0.0004092704424510632,0.9838072657585144,0.2,0.7425668239593506,0.1482307875994593,0.019058604,-0.015864854824030772,1312,-43.41692245006561,0.1151123046875,-3.2046350000000006,1258.0
84,1755,24,43008,-0.012719394639134407,0.0004092704424510632,0.9826346039772034,0.2,-2.617018699645996,0.053359904093667865,0.018151075,-0.0251007115439279,1328,-43.40578842163086,0.2110595703125,-3.2067295882352944,1258.0
85,1759,24,43520,0.010151267051696777,0.0004092704424510632,0.9815410375595093,0.2,0.04963499307632446,0.28028627182357013,0.02030084,-0.021564053458860144,1344,-43.363003849983215,0.16015625,-3.2067295882352944,1258.0
86,1762,24,44032,-0.03203888610005379,0.0004092704424510632,0.9791954755783081,0.2,-1.0659422874450684,0.012651485856622458,0.025422065,-0.024472039309330285,1360,-43.31702017784119,0.2745361328125,-3.2069274,1258.0
87,1763,25,44544,0.052921928465366364,0.0004092704424510632,0.9800228476524353,0.2,0.007352709770202637,0.48983029881492257,0.021547602,-0.015083609992871061,1376,-43.27756488323212,0.1915283203125,-3.2069274,1258.0
88,1764,25,45056,-0.03592311590909958,0.0004092704424510632,0.9822738170623779,0.2,-8.469319343566895,0.007252082898048684,0.01618233,-0.025441356730880216,1392,-43.322537541389465,0.2396240234375,-3.2069274,1258.0
89,1767,25,45568,-0.05282372608780861,0.0004092704424510632,0.984527587890625,0.2,-0.014997243881225586,0.006132511378382333,0.029325737,-0.03484778371785069,1408,-43.40010583400726,0.3375244140625,-3.2017311111111115,1258.0
90,1766,26,46080,0.040063198655843735,0.0004092704424510632,0.9853018522262573,0.2,0.13591384887695312,0.3658275040797889,0.012710521,-0.012037370557663962,1424,-43.453508734703064,0.0615234375,-3.2017311111111115,1258.0
91,1765,26,46592,-0.023328207433223724,0.0004092704424510632,0.9855912923812866,0.2,-3.1678452491760254,0.016750184498960152,0.021257892,-0.023161602410255,1440,-43.46667838096619,0.2481689453125,-3.2001572162162164,1258.0
92,1765,26,47104,0.036155182868242264,0.0004092704424510632,0.9849925637245178,0.2,0.022046685218811035,0.48611574387177825,0.020008279,-0.024288158834679052,1456,-43.45859718322754,0.205810546875,-3.2001572162162164,1258.0
93,1764,26,47616,-0.02924165688455105,0.0004092704424510632,0.9851629137992859,0.2,-1.9814460277557373,0.02122480099205859,0.019245816,-0.02391144745342899,1472,-43.449411273002625,0.234619140625,-3.2001572162162164,1258.0
94,1764,27,48128,-0.043076008558273315,0.0004092704424510632,0.9845077991485596,0.2,-0.003981590270996094,0.0026215115540253464,0.018964004,-0.025999862526077777,1488,-43.44654846191406,0.234375,-3.205248210526316,1258.0
95,1766,27,48640,0.09943164885044098,0.0004092704424510632,0.9840991497039795,0.2,0.0313454270362854,0.6155059230513871,0.013361514,-0.01982450525974855,1504,-43.42295956611633,0.109619140625,-3.205248210526316,1258.0
96,1768,27,49152,-0.034589871764183044,0.0004092704424510632,0.984834611415863,0.2,-2.019562005996704,0.020631097548175603,0.02615659,-0.025635987374698743,1520,-43.42698132991791,0.27685546875,-3.2072317179487184,1258.0
97,1769,28,49664,0.11868372559547424,0.0004092704424510632,0.985122561454773,0.2,0.2976449131965637,0.4794546877965331,0.014146162,-0.011119778915599454,1536,-43.450860261917114,0.065185546875,-3.2072317179487184,1258.0
98,1770,28,50176,-0.031782135367393494,0.0004092704424510632,0.9854633212089539,0.2,-1.7020859718322754,0.010837138863280416,0.03068223,-0.028812651289626956,1552,-43.457348108291626,0.2989501953125,-3.2072317179487184,1258.0
99,1772,28,50688,-0.036841362714767456,0.0004092704424510632,0.9862922430038452,0.2,0.016425788402557373,0.0026815622150024865,0.016918618,-0.024148304539266974,1568,-43.481101274490356,0.2313232421875,-3.2082432749999996,1258.0
100,1774,28,51200,0.07259321212768555,0.0004092704424510632,0.9863148331642151,0.2,0.06024867296218872,0.6245742365717888,0.013842808,-0.019515889027388766,1584,-43.49544596672058,0.0953369140625,-3.2082432749999996,1258.0
