time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/clip_range,train/explained_variance,train/loss,train/value_loss,train/entropy_loss,train/n_updates,train/std,rollout/ep_len_mean,rollout/ep_rew_mean
207872,1846,31,112,-0.02525988794513978,0.01800541,0.2449951171875,0.0004092704424510632,0.2,0.22378438711166382,-0.03136270493268967,0.006391217211785261,-43.29108393192291,6480,0.9856185913085938,1258.0,-3.00785065
208384,1847,31,113,-0.0050738991412799805,0.012327311,0.0582275390625,0.0004092704424510632,0.2,0.7231380939483643,0.06582117080688477,0.9687556507997215,-43.294028878211975,6496,0.9855590462684631,1258.0,-3.00785065
208896,1847,31,114,-0.02672866653301753,0.018266805,0.2598876953125,0.0004092704424510632,0.2,0.015267610549926758,-0.04034299775958061,0.011092432425357401,-43.30762505531311,6512,0.9871405959129333,1258.0,-3.0075644800000005
209408,1847,31,115,-0.004448515705007594,0.005469909,0.0155029296875,0.0004092704424510632,0.2,0.8403217792510986,0.33025267720222473,0.9898171457462013,-43.35042762756348,6528,0.9877822399139404,1258.0,-3.0075644800000005
209920,1848,32,116,-0.020262664940673858,0.018717524,0.1942138671875,0.0004092704424510632,0.2,0.08345484733581543,-0.01955466903746128,0.013969936524517834,-43.335132479667664,6544,0.9862332344055176,1258.0,-3.0075644800000005
210432,1848,32,117,-0.026465957605978474,0.025316417,0.2928466796875,0.0004092704424510632,0.2,0.7963747382164001,-0.03683801367878914,0.008369855655473657,-43.28597378730774,6560,0.9848747253417969,1258.0,-3.0089467900000004
210944,1848,32,118,-0.00809207210841123,0.0069049373,0.024169921875,0.0004092704424510632,0.2,0.7267278432846069,0.08996245265007019,1.1594553194008768,-43.27519869804382,6576,0.9849036931991577,1258.0,-3.0089467900000004
211456,1849,32,119,-0.02229065535357222,0.0155234495,0.2196044921875,0.0004092704424510632,0.2,-0.2901493310928345,-0.02035617083311081,0.015223822556436062,-43.279576659202576,6592,0.9850170016288757,1258.0,-3.0046782200000006
211968,1849,33,120,-0.0007527304042014293,0.0052022194,0.006591796875,0.0004092704424510632,0.2,0.7885087728500366,0.16350862383842468,0.950557823292911,-43.28954827785492,6608,0.9852351546287537,1258.0,-3.0046782200000006
212480,1849,33,121,-0.032957577175693586,0.02087051,0.3057861328125,0.0004092704424510632,0.2,-0.06223618984222412,-0.03905269876122475,0.010982985855662264,-43.28376626968384,6624,0.9846275448799133,1258.0,-3.0046782200000006
212992,1849,33,122,-0.014384860813152045,0.015290406,0.1219482421875,0.0004092704424510632,0.2,0.8637163043022156,-0.006912745535373688,0.07000499335117638,-43.266369223594666,6640,0.9839994311332703,1258.0,-3.002631810000001
213504,1850,34,123,-0.007699272420722991,0.009710168,0.0201416015625,0.0004092704424510632,0.2,0.7295979261398315,0.027977004647254944,1.2545601876918226,-43.24946463108063,6656,0.9837000370025635,1258.0,-3.002631810000001
214016,1850,34,124,-0.02201159854303114,0.017501602,0.207275390625,0.0004092704424510632,0.2,0.1416412591934204,-0.023488234728574753,0.032939222699496895,-43.23720622062683,6672,0.9830899238586426,1258.0,-2.9993124800000004
214528,1850,34,125,-0.008373410062631592,0.004298008,0.010986328125,0.0004092704424510632,0.2,0.8118598461151123,0.12232615053653717,1.5835552443750203,-43.227888107299805,6688,0.9830127358436584,1258.0,-2.9993124800000004
215040,1850,34,126,-0.02081604572595097,0.013470284,0.1859130859375,0.0004092704424510632,0.2,0.058346688747406006,-0.01638592965900898,0.013258255581604317,-43.246405839920044,6704,0.9842239022254944,1258.0,-2.9993124800000004
215552,1850,35,127,-0.014746818400453776,0.0172785,0.075927734375,0.0004092704424510632,0.2,0.8943831920623779,-0.000246930867433548,0.16115780593827367,-43.275360226631165,6720,0.984722912311554,1258.0,-2.9969185200000004
216064,1850,35,128,-0.012590858332259813,0.014356664,0.067626953125,0.0004092704424510632,0.2,0.8823022246360779,-0.0019479282200336456,0.39594963006675243,-43.2785941362381,6736,0.9843490123748779,1258.0,-2.9969185200000004
216576,1851,35,129,-0.025239151465939358,0.028465752,0.2265625,0.0004092704424510632,0.2,0.47908610105514526,0.08095298707485199,0.23143571987748146,-43.25851488113403,6752,0.9839012622833252,1258.0,-2.99457912
217088,1851,35,130,-0.0001863823017629329,0.0028158496,0.0035400390625,0.0004092704424510632,0.2,0.742615818977356,0.18199698626995087,1.89386913087219,-43.25658202171326,6768,0.9839532971382141,1258.0,-2.99457912
217600,1851,36,131,-0.02458248010952957,0.015820416,0.228759765625,0.0004092704424510632,0.2,-0.23292064666748047,-0.0220668762922287,0.04234950593672693,-43.259432911872864,6784,0.9839919209480286,1258.0,-2.99457912
218112,1851,36,132,-0.009383410069858655,0.008725803,0.044921875,0.0004092704424510632,0.2,0.9387630820274353,0.20609834790229797,0.8681251425296068,-43.2614985704422,6800,0.983859658241272,1258.0,-2.99136402
218624,1851,36,133,-0.02655761422647629,0.038094006,0.2742919921875,0.0004092704424510632,0.2,0.9765986204147339,-0.029496602714061737,0.052496931923087686,-43.2410751581192,6816,0.9825296998023987,1258.0,-2.99136402
219136,1851,37,134,-0.024976404805784114,0.0194987,0.2467041015625,0.0004092704424510632,0.2,0.5100398063659668,0.007958371192216873,0.07871001516468823,-43.20315873622894,6832,0.9828011393547058,1258.0,-2.98598195
219648,1852,37,135,-0.0010942882800009102,0.0045000534,0.0062255859375,0.0004092704424510632,0.2,0.8752593398094177,0.15685950219631195,1.1811794890090823,-43.21846294403076,6848,0.9831469655036926,1258.0,-2.98598195
220160,1852,37,136,-0.028232924756594002,0.018834878,0.255126953125,0.0004092704424510632,0.2,-0.25108349323272705,-0.030437082052230835,0.022316765447612852,-43.223753929138184,6864,0.9834733605384827,1258.0,-2.9843690699999996
220672,1851,37,137,-0.005529842906980775,0.0056459303,0.0155029296875,0.0004092704424510632,0.2,0.6863948106765747,0.11035654693841934,1.2841258002445102,-43.23288059234619,6880,0.983908474445343,1258.0,-2.9843690699999996
221184,1851,38,138,-0.026542649226030335,0.017724771,0.24462890625,0.0004092704424510632,0.2,-0.4344754219055176,-0.04336298257112503,0.0031044624229252804,-43.218910574913025,6896,0.9821406602859497,1258.0,-2.9843690699999996
221696,1851,38,139,-0.02609544704318978,0.025203474,0.3055419921875,0.0004092704424510632,0.2,0.46592116355895996,-0.02838457003235817,0.012390169576974586,-43.179887533187866,6912,0.9826298356056213,1258.0,-2.98120406
222208,1851,38,140,-0.003073500505706761,0.005053275,0.015380859375,0.0004092704424510632,0.2,0.574885368347168,0.1295504868030548,2.110221790149808,-43.20398151874542,6928,0.9832397103309631,1258.0,-2.98120406
