time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/entropy_loss,train/approx_kl,train/clip_range,train/std,train/n_updates,train/value_loss,train/loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
40,212992,122,1551,-40.24636697769165,0.016944855,0.2,0.8944677710533142,6640,0.03720625635469332,-0.021326720714569092,0.0004092704424510632,0.220703125,-0.024400210269959643,0.5156035423278809,-1.9177509500000005,1258.0
40,213504,123,1551,-40.245951771736145,0.01798834,0.2,0.8941584229469299,6656,0.13770736509468406,-0.001561203971505165,0.0004092704424510632,0.120849609375,-0.018559454954811372,0.9073745012283325,-1.9177509500000005,1258.0
40,214016,124,1552,-40.22039175033569,0.019166496,0.2,0.8932002782821655,6672,0.009726737582241185,-0.03765886276960373,0.0004092704424510632,0.2783203125,-0.027573722240049392,-0.8645434379577637,-1.91771411,1258.0
41,214528,125,1552,-40.19564664363861,0.016873918,0.2,0.8927953243255615,6688,0.367239426355809,0.07044932246208191,0.0004092704424510632,0.08984375,-0.012648563555558212,0.8811545372009277,-1.91771411,1258.0
41,215040,126,1553,-40.19779133796692,0.018705156,0.2,0.8934821486473083,6704,0.009383479307871312,-0.02594755031168461,0.0004092704424510632,0.2342529296875,-0.023058701801346615,-7.342738151550293,-1.91771411,1258.0
41,215552,127,1553,-40.23704493045807,0.020535178,0.2,0.8943787217140198,6720,0.03260799212148413,-0.024937016889452934,0.0004092704424510632,0.272705078125,-0.02628180358442478,0.5800740718841553,-1.9187404399999999,1258.0
42,216064,128,1553,-40.2486686706543,0.022154361,0.2,0.8937732577323914,6736,0.11122907989192754,-0.01294197142124176,0.0004092704424510632,0.15966796875,-0.015935507974063512,0.8418096303939819,-1.9187404399999999,1258.0
42,216576,129,1554,-40.21483254432678,0.017476574,0.2,0.8927739262580872,6752,0.0044507833663374186,-0.02816888689994812,0.0004092704424510632,0.2154541015625,-0.02213831979315728,-0.2585937976837158,-1.91508003,1258.0
42,217088,130,1554,-40.18966746330261,0.011669811,0.2,0.8924726843833923,6768,0.30510316602885723,0.021550960838794708,0.0004092704424510632,0.07666015625,-0.011781304550822824,0.8690429925918579,-1.91508003,1258.0
43,217600,131,1554,-40.164308190345764,0.018319983,0.2,0.8913502097129822,6784,0.005019588323193602,-0.031134147197008133,0.0004092704424510632,0.24169921875,-0.023696767806541175,-5.991029739379883,-1.91508003,1258.0
43,218112,132,1554,-40.12482941150665,0.015819997,0.2,0.8904979825019836,6800,0.22561828908510506,0.016992826014757156,0.0004092704424510632,0.0943603515625,-0.013921102494350635,0.7815513014793396,-1.9127836799999998,1258.0
43,218624,133,1554,-40.08560538291931,0.030455656,0.2,0.888760507106781,6816,0.007035380716843065,-0.037024520337581635,0.0004092704424510632,0.33837890625,-0.030664794860058464,0.9935706853866577,-1.9127836799999998,1258.0
44,219136,134,1554,-40.0120187997818,0.022371164,0.2,0.8864030241966248,6832,0.004707202206191141,-0.03916181996464729,0.0004092704424510632,0.276123046875,-0.03118704241933301,-0.058588504791259766,-1.9129533799999998,1258.0
44,219648,135,1554,-39.955599904060364,0.014393557,0.2,0.8855525851249695,6848,0.3072064951993525,0.038995400071144104,0.0004092704424510632,0.0870361328125,-0.012285916571272537,0.8733288049697876,-1.9129533799999998,1258.0
44,220160,136,1554,-39.963088035583496,0.01950895,0.2,0.8868438005447388,6864,0.0038753961962356698,-0.036920346319675446,0.0004092704424510632,0.258056640625,-0.026827090448932722,-6.343505382537842,-1.9108292900000001,1258.0
45,220672,137,1554,-40.00546193122864,0.01715498,0.2,0.8873277902603149,6880,0.4091823757626116,0.0819406807422638,0.0004092704424510632,0.1231689453125,-0.02148582496738527,0.8630506992340088,-1.9108292900000001,1258.0
45,221184,138,1554,-40.02538335323334,0.017879475,0.2,0.888494610786438,6896,0.017985443613724783,-0.012255063280463219,0.0004092704424510632,0.2393798828125,-0.02625341693055816,-3.6465988159179688,-1.9108292900000001,1258.0
45,221696,139,1554,-40.06362271308899,0.025489599,0.2,0.8895733952522278,6912,0.004957882170856465,-0.016603250056505203,0.0004092704424510632,0.3218994140625,-0.027095977085991763,-0.05093562602996826,-1.9131978199999997,1258.0
46,222208,140,1555,-40.0949250459671,0.012132624,0.2,0.890100359916687,6928,0.2615717891603708,0.039683520793914795,0.0004092704424510632,0.0419921875,-0.011697198249748908,0.8513679504394531,-1.9131978199999997,1258.0
