time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/entropy_loss,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/n_updates,train/value_loss,train/learning_rate,train/approx_kl,train/std,train/clip_fraction,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
44,144384,1540,135,-43.3415504693985,-0.07014358043670654,0.2,-0.023600994929438457,4496,0.07232740730978549,0.0004092704424510632,0.017028682,0.9859000444412231,0.246337890625,-0.005021229386329651,1257.0,-2.9141826699999998
45,144896,1540,136,-43.31509792804718,-2.6002111434936523,0.2,-0.020154170400928706,4512,0.008982232277048752,0.0004092704424510632,0.0117817875,0.9836392402648926,0.1619873046875,-0.01697007566690445,1257.0,-2.91098373
45,145408,1540,137,-43.26225185394287,0.17548847198486328,0.2,-0.006093099582358263,4528,1.7003005649894476,0.0004092704424510632,0.0058803093,0.9830442667007446,0.0087890625,0.13479679822921753,1257.0,-2.91098373
45,145920,1541,138,-43.2674001455307,-3.4487361907958984,0.2,-0.025631103053456172,4544,0.019682661950355396,0.0004092704424510632,0.017142072,0.9831145405769348,0.2283935546875,-0.029827076941728592,1257.0,-2.91011254
46,146432,1540,139,-43.27296984195709,0.4971235394477844,0.2,-0.01222472480731085,4560,1.244810240343213,0.0004092704424510632,0.009533338,0.9829896688461304,0.0498046875,0.11832066625356674,1257.0,-2.91011254
46,146944,1540,140,-43.275160908699036,-0.4861278533935547,0.2,-0.028424476098734885,4576,0.03453200840158388,0.0004092704424510632,0.01854957,0.9833013415336609,0.245849609375,-0.02546798251569271,1257.0,-2.91011254
46,147456,1540,141,-43.28012228012085,0.29006898403167725,0.2,-0.026406653902085964,4592,0.030927370418794453,0.0004092704424510632,0.01618427,0.9836260080337524,0.23095703125,-0.010175462812185287,1257.0,-2.9114457799999998
47,147968,1540,142,-43.27602159976959,0.6224913001060486,0.2,-0.009510352429060731,4608,0.932752039283514,0.0004092704424510632,0.011463722,0.9837096333503723,0.032470703125,0.11723527312278748,1257.0,-2.9114457799999998
47,148480,1540,143,-43.26796782016754,-3.1452231407165527,0.2,-0.02297389105660841,4624,0.045292331487871706,0.0004092704424510632,0.025267243,0.9828625917434692,0.2257080078125,-0.02604776807129383,1257.0,-2.91203006
47,148992,1540,144,-43.24272954463959,0.32381337881088257,0.2,-0.006133383605629206,4640,1.0331965466029942,0.0004092704424510632,0.007862916,0.9825255274772644,0.0228271484375,0.12421391904354095,1257.0,-2.91203006
48,149504,1540,145,-43.23509192466736,0.045008838176727295,0.2,-0.023898537474451587,4656,0.056051245890557766,0.0004092704424510632,0.01470929,0.9822856783866882,0.22607421875,-0.0005566049367189407,1257.0,-2.91203006
48,150016,1539,146,-43.24130725860596,0.6388006210327148,0.2,-0.02746064953680616,4672,0.08169901417568326,0.0004092704424510632,0.026869219,0.9827005863189697,0.2777099609375,-0.0009006708860397339,1257.0,-2.9120337400000005
48,150528,1539,147,-43.25227248668671,0.7192484736442566,0.2,-0.004959170531947166,4688,0.9476724206469953,0.0004092704424510632,0.0038979193,0.9828621745109558,0.0081787109375,0.14760658144950867,1257.0,-2.9120337400000005
0,151040,4009,1,-43.268622398376465,-3.482691764831543,0.2,-0.022488837566925213,4704,0.14480955502949655,0.0004092704424510632,0.029950002,0.9844546914100647,0.1884765625,-0.0017079412937164307,1257.0,-2.9137621500000006
0,151552,2226,2,-43.31174647808075,0.7064722180366516,0.2,-0.011163424045662396,4720,0.968671559356153,0.0004092704424510632,0.009951209,0.9851049184799194,0.075927734375,0.16839823126792908,1257.0,-2.9137621500000006
0,152064,1944,3,-43.32199692726135,-0.2743105888366699,0.2,-0.025951856980100274,4736,0.14665252156555653,0.0004092704424510632,0.024085704,0.9858925342559814,0.2222900390625,0.011123813688755035,1257.0,-2.9137621500000006
1,152576,1816,4,-43.34495508670807,0.7538323998451233,0.2,-0.018095394436386414,4752,0.3446595938876271,0.0004092704424510632,0.017680325,0.9864507913589478,0.1943359375,0.09713637083768845,1257.0,-2.9134741900000005
1,153088,1756,5,-43.34748840332031,0.7491121292114258,0.2,-0.023873502927017398,4768,0.571986424503848,0.0004092704424510632,0.026732536,0.9863676428794861,0.1845703125,0.05958261713385582,1257.0,-2.9134741900000005
1,153600,1716,6,-43.373793601989746,-4.043424606323242,0.2,-0.02335838474391494,4784,0.03299996256828308,0.0004092704424510632,0.021363262,0.988679051399231,0.2498779296875,-0.017774146050214767,1257.0,-2.9146906500000007
2,154112,1686,7,-43.43941569328308,0.09845203161239624,0.2,-0.005491101328516379,4800,1.8821726916357875,0.0004092704424510632,0.00523596,0.9894365072250366,0.0091552734375,0.19076132774353027,1257.0,-2.9146906500000007
2,154624,1667,8,-43.439603209495544,-0.29658305644989014,0.2,-0.025019918975885957,4816,0.01761253410950303,0.0004092704424510632,0.015578976,0.9891825318336487,0.2301025390625,-0.02635306864976883,1257.0,-2.91337563
2,155136,1648,9,-43.43588662147522,0.507017970085144,0.2,-0.006641046958975494,4832,1.5504048587754369,0.0004092704424510632,0.005827075,0.9890669584274292,0.018798828125,0.1870327591896057,1257.0,-2.91337563
3,155648,1634,10,-43.4535231590271,-0.5166375637054443,0.2,-0.022284737075096928,4848,0.026652950968127698,0.0004092704424510632,0.016797531,0.9910266995429993,0.2073974609375,-0.017027858644723892,1257.0,-2.91337563
3,156160,1624,11,-43.531208515167236,-0.06191384792327881,0.2,-0.025448814849369228,4864,0.006118685472756624,0.0004092704424510632,0.015399855,0.9929633736610413,0.22509765625,-0.04201192408800125,1257.0,-2.91465731
3,156672,1617,12,-43.571881890296936,0.3341209292411804,0.2,-0.006631201023992617,4880,1.505451787263155,0.0004092704424510632,0.0048931623,0.9931603670120239,0.010498046875,0.19194233417510986,1257.0,-2.91465731
4,157184,1612,13,-43.59202539920807,-1.7845091819763184,0.2,-0.022706325202307198,4896,0.021596940758172423,0.0004092704424510632,0.022569768,0.9948847889900208,0.2481689453125,-0.03246964514255524,1257.0,-2.9144846699999993
4,157696,1607,14,-43.64171755313873,0.5006239414215088,0.2,-0.005908274775720201,4912,1.170377116650343,0.0004092704424510632,0.0048163277,0.9955853223800659,0.00830078125,0.5102486610412598,1257.0,-2.9144846699999993
4,158208,1603,15,-43.62125492095947,0.19332456588745117,0.2,-0.02668024717422668,4928,0.3556416854262352,0.0004092704424510632,0.023291012,0.9933560490608215,0.233642578125,0.1262110322713852,1257.0,-2.9144846699999993
5,158720,1596,16,-43.57110905647278,-5.990253448486328,0.2,-0.025679792510345578,4944,0.03766593575710431,0.0004092704424510632,0.016438814,0.9931976795196533,0.21826171875,-0.027463022619485855,1257.0,-2.916084879999999
5,159232,1592,17,-43.584208726882935,0.26329493522644043,0.2,-0.012659916450502351,4960,1.1946753039956093,0.0004092704424510632,0.009083575,0.9932685494422913,0.0247802734375,0.10010552406311035,1257.0,-2.916084879999999
5,159744,1589,18,-43.604302525520325,-2.7710587978363037,0.2,-0.02882623545883689,4976,0.010971216717734933,0.0004092704424510632,0.017337732,0.9949119687080383,0.2401123046875,-0.030466755852103233,1257.0,-2.9165176799999997
6,160256,1588,19,-43.653536915779114,0.2972841262817383,0.2,-0.010239456183626316,4992,1.2013730611652136,0.0004092704424510632,0.0075471587,0.9956281185150146,0.0335693359375,0.1131255254149437,1257.0,-2.9165176799999997
