time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/explained_variance,train/std,train/entropy_loss,train/value_loss,train/clip_range,train/policy_gradient_loss,train/loss,train/n_updates,train/learning_rate,train/clip_fraction,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
21,2213,48640,95,0.03905123472213745,0.9583995938301086,-42.618369460105896,0.3823282648809254,0.2,-0.029606081094243564,0.04696672409772873,1504,0.0004092704424510632,0.178466796875,0.024015773,-2.9531142631578944,1257.0
22,2213,49152,96,-9.624523162841797,0.9583492875099182,-42.61914539337158,0.008179199918231461,0.2,-0.022690965852234513,-0.045839838683605194,1520,0.0004092704424510632,0.229736328125,0.017193174,-2.9478811538461533,1257.0
22,2213,49664,97,0.09404444694519043,0.9580731391906738,-42.608986377716064,0.43567236652597785,0.2,-0.016592937710811384,0.1194542944431305,1536,0.0004092704424510632,0.0833740234375,0.012974063,-2.9478811538461533,1257.0
22,2212,50176,98,-1.956770658493042,0.9593798518180847,-42.61877775192261,0.008028844014916103,0.2,-0.02509738264780026,-0.038671329617500305,1552,0.0004092704424510632,0.2410888671875,0.024244662,-2.9478811538461533,1257.0
22,2213,50688,99,-0.04973733425140381,0.9592703580856323,-42.64451253414154,0.003026636451977538,0.2,-0.032866620807908475,-0.05480445921421051,1568,0.0004092704424510632,0.262939453125,0.021940524,-2.9439189999999997,1257.0
23,2212,51200,100,0.12554419040679932,0.9594480395317078,-42.639275431632996,0.4128795964643359,0.2,-0.021227808712865226,0.03469967097043991,1584,0.0004092704424510632,0.0914306640625,0.019560741,-2.9439189999999997,1257.0
23,2212,51712,101,-8.680505752563477,0.9582306146621704,-42.63163197040558,0.032028739631641656,0.2,-0.021396452022599988,-0.0311883594840765,1600,0.0004092704424510632,0.199462890625,0.019149099,-2.943772365853658,1257.0
23,2212,52224,102,0.13480240106582642,0.9570802450180054,-42.579522371292114,0.44816687423735857,0.2,-0.018682883222936653,0.061054110527038574,1616,0.0004092704424510632,0.109130859375,0.016402341,-2.943772365853658,1257.0
23,2212,52736,103,-6.419378280639648,0.9570819735527039,-42.560625314712524,0.011647967759927269,0.2,-0.022706893825670704,-0.02738167718052864,1632,0.0004092704424510632,0.2476806640625,0.022527635,-2.943772365853658,1257.0
24,2212,53248,104,0.07839328050613403,0.9548485279083252,-42.5329452753067,0.0019665722575155087,0.2,-0.026822053245268762,-0.03632752597332001,1648,0.0004092704424510632,0.2471923828125,0.015293007,-2.9390728571428566,1257.0
24,2212,53760,105,0.11362671852111816,0.9538190364837646,-42.47010791301727,0.3308551616501063,0.2,-0.021528135999687947,0.03902090713381767,1664,0.0004092704424510632,0.1453857421875,0.021283139,-2.9390728571428566,1257.0
24,2212,54272,106,-4.0081353187561035,0.95414137840271,-42.458215832710266,0.01417829020647332,0.2,-0.023664297550567426,-0.027353404089808464,1680,0.0004092704424510632,0.2431640625,0.0160449,-2.9414670465116273,1257.0
24,2212,54784,107,0.0633963942527771,0.9544133543968201,-42.4717800617218,0.49937814148142934,0.2,-0.022015514594386332,0.048059843480587006,1696,0.0004092704424510632,0.1190185546875,0.015952542,-2.9414670465116273,1257.0
24,2212,55296,108,-3.408066749572754,0.9534240961074829,-42.462010860443115,0.02139818761497736,0.2,-0.026163566450122744,-0.02873656526207924,1712,0.0004092704424510632,0.2471923828125,0.020655286,-2.9414670465116273,1257.0
25,2212,55808,109,0.3084121346473694,0.9515952467918396,-42.40910518169403,0.02027008938603103,0.2,-0.026647540245903656,-0.035475682467222214,1728,0.0004092704424510632,0.27294921875,0.019882347,-2.9399114999999996,1257.0
25,2211,56320,110,0.4481433629989624,0.951123058795929,-42.36575222015381,0.1083349366672337,0.2,-0.020597791444743052,0.006610807031393051,1744,0.0004092704424510632,0.1990966796875,0.02959892,-2.9399114999999996,1257.0
