time/iterations,time/total_timesteps,time/fps,time/time_elapsed,train/clip_range,train/learning_rate,train/clip_fraction,train/approx_kl,train/explained_variance,train/value_loss,train/std,train/n_updates,train/policy_gradient_loss,train/loss,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
112,57344,1511,37,0.2,0.0004092704424510632,0.023681640625,0.008244308,0.58302903175354,0.36821734393015504,0.9924367666244507,1776,-0.005931303239776753,0.031994402408599854,-43.66416335105896,-2.1508499777777774,1258.0
113,57856,1511,38,0.2,0.0004092704424510632,0.2557373046875,0.01619684,-1.6380116939544678,0.002547977928770706,0.9915127158164978,1792,-0.02714234121958725,-0.03807349503040314,-43.659026741981506,-2.1508499777777774,1258.0
114,58368,1512,38,0.2,0.0004092704424510632,0.0787353515625,0.013992937,0.7051750421524048,0.22891099215485156,0.9913430213928223,1808,-0.014272848871769384,0.05359958857297897,-43.63626551628113,-2.1497472391304346,1258.0
115,58880,1512,38,0.2,0.0004092704424510632,0.26123046875,0.029089969,0.9522566795349121,0.01732492675364483,0.9899269938468933,1824,-0.021633471857057884,-0.027979586273431778,-43.61232829093933,-2.1497472391304346,1258.0
116,59392,1512,39,0.2,0.0004092704424510632,0.2733154296875,0.021874193,-0.22364377975463867,0.010164508450543508,0.9911001324653625,1840,-0.031140858642174862,-0.03935016319155693,-43.59952449798584,-2.1491888297872337,1258.0
117,59904,1513,39,0.2,0.0004092704424510632,0.0811767578125,0.015319625,0.7286656498908997,0.4427525717765093,0.9913802742958069,1856,-0.016325889373547398,0.11900931596755981,-43.63098704814911,-2.1491888297872337,1258.0
118,60416,1513,39,0.2,0.0004092704424510632,0.2559814453125,0.020427935,0.5916352868080139,0.006103460691520013,0.9886488914489746,1872,-0.02972512028645724,-0.037179622799158096,-43.595908641815186,-2.1502196666666666,1258.0
119,60928,1513,40,0.2,0.0004092704424510632,0.0335693359375,0.011220068,0.4232616424560547,0.4497416338417679,0.9877185821533203,1888,-0.010244257224258035,0.035886116325855255,-43.51630699634552,-2.1502196666666666,1258.0
120,61440,1514,40,0.2,0.0004092704424510632,0.2666015625,0.017127048,-1.2981255054473877,0.002328967359062517,0.986693799495697,1904,-0.029481398865755182,-0.03523411601781845,-43.49934482574463,-2.1502196666666666,1258.0
121,61952,1514,40,0.2,0.0004092704424510632,0.264892578125,0.021105397,0.4584500193595886,0.010463847560458817,0.9833863973617554,1920,-0.0286568297597114,-0.041339486837387085,-43.43546903133392,-2.150013306122449,1258.0
