time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/clip_range,train/entropy_loss,train/loss,train/std,train/learning_rate,train/approx_kl,train/n_updates,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
32,55296,1712,108,-0.02676882241939893,0.035685652983374894,-0.009319901466369629,0.2,-43.419931173324585,-0.026770591735839844,0.9843410849571228,0.0004092704424510632,0.018520575,1712,0.2369384765625,1257.0,-2.318066023255814
32,55808,1712,109,-0.01328978368837852,0.257829025387764,0.6470413208007812,0.2,-43.42051184177399,0.10557042807340622,0.9841573238372803,0.0004092704424510632,0.011937305,1728,0.0860595703125,1257.0,-2.3152265227272726
32,56320,1712,110,-0.023758308423566632,0.06980451848357916,0.7929560542106628,0.2,-43.41955387592316,-0.003812592476606369,0.9846640229225159,0.0004092704424510632,0.01879201,1744,0.2286376953125,1257.0,-2.3152265227272726
33,56832,1712,111,-0.022909365899977274,0.032792937417980283,-1.1313974857330322,0.2,-43.40719938278198,-0.011395306326448917,0.9820575714111328,0.0004092704424510632,0.01483714,1760,0.1884765625,1257.0,-2.315041177777778
33,57344,1711,112,-0.014687049348140135,0.31610975158400834,0.1954365372657776,0.2,-43.32532501220703,0.04701352119445801,0.9807363152503967,0.0004092704424510632,0.01353872,1776,0.1177978515625,1257.0,-2.315041177777778
33,57856,1710,113,-0.02762888403958641,0.012275905988644809,-0.8079004287719727,0.2,-43.323965549468994,-0.03174249455332756,0.9817994236946106,0.0004092704424510632,0.022771508,1792,0.2852783203125,1257.0,-2.314403391304348
34,58368,1710,114,-0.015272771313902922,0.37888718768954277,0.424322247505188,0.2,-43.353503823280334,0.11285750567913055,0.981665313243866,0.0004092704424510632,0.010007739,1808,0.0809326171875,1257.0,-2.314403391304348
34,58880,1709,115,-0.017809585144277662,0.009221508196787909,-2.7690072059631348,0.2,-43.33251905441284,-0.01945212483406067,0.9805086255073547,0.0004092704424510632,0.01214843,1824,0.1903076171875,1257.0,-2.314403391304348
34,59392,1708,116,-0.030439222464337945,0.004419814074935857,-0.013133883476257324,0.2,-43.27899873256683,-0.04454692825675011,0.9781467914581299,0.0004092704424510632,0.024485776,1840,0.279052734375,1257.0,-2.3100094893617023
35,59904,1707,117,-0.010326620627893135,0.49467954644933343,0.12795120477676392,0.2,-43.22185778617859,0.03877502679824829,0.9773455262184143,0.0004092704424510632,0.0076007308,1856,0.03466796875,1257.0,-2.3100094893617023
