time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/entropy_loss,train/explained_variance,train/clip_fraction,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/approx_kl,train/loss,train/std,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
233472,5,1336,15,-39.13696503639221,5.960464477539062e-07,0.2503662109375,0.0023919655759527814,7280,0.0004092704424510632,0.2,0.017477749,-0.025062469765543938,0.8660506010055542,-0.026229885770590045,-2.00543712,1223.0
233984,6,1334,16,-39.15592670440674,-5.245208740234375e-06,0.18017578125,0.0019169086262991186,7296,0.0004092704424510632,0.2,0.014726356,-0.0311239343136549,0.866398274898529,-0.016771804657764733,-2.0015237999999997,1223.0
234496,6,1330,17,-39.125396847724915,1.7881393432617188e-07,0.231689453125,0.1574594029225409,7312,0.0004092704424510632,0.2,0.01687097,0.05638868361711502,0.8648087978363037,-0.02326156257186085,-2.0015237999999997,1223.0
235008,6,1326,18,-39.066760420799255,-1.7762184143066406e-05,0.27978515625,0.0008685108932695584,7328,0.0004092704424510632,0.2,0.026092011,-0.04042946174740791,0.8638575077056885,-0.027305143099511042,-1.99627008,1223.0
235520,7,1324,19,-39.02245306968689,9.5367431640625e-07,0.2506103515625,0.1443773303180933,7344,0.0004092704424510632,0.2,0.018684588,0.0528571642935276,0.8624983429908752,-0.020618421825929545,-1.99627008,1223.0
236032,7,1322,20,-38.97592341899872,8.940696716308594e-07,0.198974609375,0.0014402634060388664,7360,0.0004092704424510632,0.2,0.012884062,-0.03313230350613594,0.8622384667396545,-0.02041714411461726,-1.99627008,1223.0
236544,8,1320,21,-38.99054145812988,-4.291534423828125e-06,0.2127685546875,0.0025866604773909785,7376,0.0004092704424510632,0.2,0.015958793,-0.033855095505714417,0.8628825545310974,-0.02411612938158214,-1.9925920400000001,1223.0
237056,8,1311,22,-39.008456110954285,4.172325134277344e-07,0.279541015625,0.04329043586039916,7392,0.0004092704424510632,0.2,0.026303537,-0.0041786860674619675,0.8625121712684631,-0.021146164071979,-1.9925920400000001,1223.0
237568,9,1291,23,-38.96853959560394,-2.1457672119140625e-06,0.2977294921875,0.0024944732031144667,7408,0.0004092704424510632,0.2,0.019980446,-0.049373529851436615,0.8597464561462402,-0.03300406731432304,-1.99042957,1223.0
238080,9,1290,24,-38.86789870262146,3.5762786865234375e-07,0.2213134765625,0.16187401814386249,7424,0.0004092704424510632,0.2,0.014849076,0.05452203378081322,0.8580250144004822,-0.019864401227096096,-1.99042957,1223.0
238592,9,1290,25,-38.809685707092285,-1.2755393981933594e-05,0.2374267578125,0.0014255367132136598,7440,0.0004092704424510632,0.2,0.01794755,-0.041932377964258194,0.855780839920044,-0.02706193394260481,-1.9865621499999997,1223.0
239104,10,1289,26,-38.74466073513031,1.7881393432617188e-07,0.19287109375,0.1520751144271344,7456,0.0004092704424510632,0.2,0.0133869955,0.04800131916999817,0.8541545867919922,-0.021912940515903756,-1.9865621499999997,1223.0
239616,10,1288,27,-38.704537868499756,3.2186508178710938e-06,0.2608642578125,0.002219303249148652,7472,0.0004092704424510632,0.2,0.021579899,-0.026695670560002327,0.8532776832580566,-0.02790944851585664,-1.9865621499999997,1223.0
240128,11,1288,28,-38.683027267456055,1.0132789611816406e-06,0.2286376953125,0.0022814053736510687,7488,0.0004092704424510632,0.2,0.017784834,-0.027151137590408325,0.8524924516677856,-0.023604821821209043,-1.98361762,1223.0
240640,11,1287,29,-38.65327072143555,7.152557373046875e-07,0.275390625,0.16288372850976884,7504,0.0004092704424510632,0.2,0.023186348,0.03926297277212143,0.8516605496406555,-0.026924756646621972,-1.98361762,1223.0
241152,11,1286,30,-38.641592502593994,-3.0994415283203125e-06,0.206787109375,0.0013696859714400489,7520,0.0004092704424510632,0.2,0.015398067,-0.027426786720752716,0.8519672751426697,-0.024784293986158445,-1.9807258499999998,1223.0
