time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/clip_fraction,train/loss,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/std,train/n_updates,train/clip_range,train/entropy_loss,train/explained_variance,train/approx_kl,rollout/ep_len_mean,rollout/ep_rew_mean
1832,212480,121,33,0.011962890625,0.16164922714233398,0.0004092704424510632,-0.005373132909880951,1.0309368185698986,0.9645898938179016,6624,0.2,-42.65676510334015,0.6215943694114685,0.0052509946,1223.0,-2.25254064
1831,212992,122,34,0.2852783203125,-0.03314228355884552,0.0004092704424510632,-0.027350725315045565,0.007346464321017265,0.9670383334159851,6640,0.2,-42.6768798828125,-6.282655715942383,0.021126993,1223.0,-2.2504296100000003
1829,213504,123,34,0.0087890625,0.0964188426733017,0.0004092704424510632,-0.000606062269071117,1.2400394370779395,0.9679714441299438,6656,0.2,-42.745739579200745,0.3301039934158325,0.0054801484,1223.0,-2.2504296100000003
1828,214016,124,34,0.2275390625,-0.03842576593160629,0.0004092704424510632,-0.023707282394752838,0.0058148847601842135,0.9657991528511047,6672,0.2,-42.72251343727112,0.06953245401382446,0.015253703,1223.0,-2.2504296100000003
1827,214528,125,35,0.0101318359375,0.17762359976768494,0.0004092704424510632,-0.005736272592912428,0.7584503972902894,0.96519935131073,6688,0.2,-42.6654177904129,0.6744318008422852,0.0049920757,1223.0,-2.25037347
1827,215040,126,35,0.295654296875,-0.026070093736052513,0.0004092704424510632,-0.024925737496232614,0.03132218902464956,0.964849591255188,6704,0.2,-42.65548014640808,0.9720794558525085,0.035763342,1223.0,-2.25037347
1826,215552,127,35,0.266357421875,-0.04029199108481407,0.0004092704424510632,-0.02377868295297958,0.010931780285318382,0.9649935364723206,6720,0.2,-42.64890122413635,-1.3883063793182373,0.019824682,1223.0,-2.25170369
1825,216064,128,35,0.0072021484375,0.2303052395582199,0.0004092704424510632,-0.0033317900815745816,1.312614449299872,0.9652137160301208,6736,0.2,-42.65102660655975,0.5595369338989258,0.0034313956,1223.0,-2.25170369
1824,216576,129,36,0.2962646484375,-0.034464817494153976,0.0004092704424510632,-0.03416138407192193,0.006851141573861241,0.9642732739448547,6752,0.2,-42.641560316085815,0.05041021108627319,0.019564604,1223.0,-2.24956655
1823,217088,130,36,0.0206298828125,0.2684808373451233,0.0004092704424510632,-0.006847416705568321,1.5866930959746242,0.9638544917106628,6768,0.2,-42.60439395904541,0.6845040321350098,0.0047817403,1223.0,-2.24956655
1823,217600,131,36,0.2725830078125,-0.050620947033166885,0.0004092704424510632,-0.029351759469136596,0.005352862710424233,0.9647294282913208,6784,0.2,-42.61049139499664,-0.9552546739578247,0.022058249,1223.0,-2.24956655
1822,218112,132,37,0.25927734375,-0.027372440323233604,0.0004092704424510632,-0.023757200440741144,0.008187667539459653,0.9645819664001465,6800,0.2,-42.63154852390289,0.45348602533340454,0.01624289,1223.0,-2.24799272
1821,218624,133,37,0.0079345703125,0.05631020665168762,0.0004092704424510632,-0.005730599456001073,0.9709835310932249,0.9642079472541809,6816,0.2,-42.61386585235596,0.6437093615531921,0.006394213,1223.0,-2.24799272
1820,219136,134,37,0.2574462890625,-0.039110343903303146,0.0004092704424510632,-0.02683752658776939,0.004656251607229933,0.9617615938186646,6832,0.2,-42.577868580818176,-7.513758659362793,0.02135446,1223.0,-2.24827807
