time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/value_loss,train/policy_gradient_loss,train/loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/approx_kl,train/explained_variance,train/clip_range,train/n_updates,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
104,53248,29,1799,0.006428798973502126,-0.025109510257607326,-0.042903706431388855,0.0004092704424510632,-42.944584608078,0.2257080078125,0.014550695,-2.4935970306396484,0.2,1648,0.9682314991950989,-2.708086047619047,1258.0
105,53760,29,1798,0.09460073290392756,-0.02202013030910166,-0.0012712031602859497,0.0004092704424510632,-42.89010751247406,0.188232421875,0.018742679,0.17883968353271484,0.2,1664,0.9680771231651306,-2.708086047619047,1258.0
106,54272,30,1796,0.03618626593379304,-0.027377280814107507,-0.021837003529071808,0.0004092704424510632,-42.880566000938416,0.220947265625,0.01931811,-0.47456932067871094,0.2,1680,0.9667103290557861,-2.706759279069767,1258.0
107,54784,30,1795,0.10161215718835592,-0.022723614267306402,-0.00016741082072257996,0.0004092704424510632,-42.83683121204376,0.1832275390625,0.024747904,0.590791642665863,0.2,1696,0.9665334224700928,-2.706759279069767,1258.0
108,55296,30,1795,0.054355953237973154,-0.02730732724739937,-0.02705789916217327,0.0004092704424510632,-42.85488522052765,0.263671875,0.02433908,0.37740135192871094,0.2,1712,0.9677459001541138,-2.706759279069767,1258.0
109,55808,31,1795,0.027493529429193586,-0.020067842007847503,-0.024786628782749176,0.0004092704424510632,-42.882412791252136,0.1761474609375,0.013651323,0.008069753646850586,0.2,1728,0.9680531620979309,-2.7136018181818176,1258.0
110,56320,31,1795,0.05290164367761463,-0.021103894105181098,-0.008350048214197159,0.0004092704424510632,-42.88519108295441,0.220458984375,0.02260011,0.7032392024993896,0.2,1744,0.9681550860404968,-2.7136018181818176,1258.0
111,56832,31,1796,0.034589171467814595,-0.02374796345975483,-0.009636558592319489,0.0004092704424510632,-42.90630269050598,0.2120361328125,0.015646841,-0.6158353090286255,0.2,1760,0.9699205756187439,-2.7112639999999995,1258.0
112,57344,31,1796,0.06753480469342321,-0.015600678831106052,0.0005380585789680481,0.0004092704424510632,-42.95365262031555,0.147216796875,0.017923716,0.6014759540557861,0.2,1776,0.9704017043113708,-2.7112639999999995,1258.0
113,57856,32,1796,0.03063659544568509,-0.027458508215204347,-0.032274335622787476,0.0004092704424510632,-42.9478462934494,0.2320556640625,0.018158076,-0.16053271293640137,0.2,1792,0.9697810411453247,-2.7112639999999995,1258.0
114,58368,32,1796,0.024285172286909074,-0.028464915056247264,-0.021548330783843994,0.0004092704424510632,-42.926395773887634,0.2789306640625,0.01786181,0.6340724229812622,0.2,1808,0.9695486426353455,-2.7129109565217386,1258.0
115,58880,32,1797,0.022269973560469225,-0.028554976743180305,-0.025852486491203308,0.0004092704424510632,-42.92820930480957,0.3212890625,0.04211424,0.7179244756698608,0.2,1824,0.9694055318832397,-2.7129109565217386,1258.0
116,59392,33,1797,0.025095675664488226,-0.028562099469127133,-0.03389311581850052,0.0004092704424510632,-42.92127847671509,0.23291015625,0.017584039,-0.833964467048645,0.2,1840,0.9694901704788208,-2.7107994042553187,1258.0
117,59904,33,1797,0.07209794933442026,-0.018489388341549784,0.013606574386358261,0.0004092704424510632,-42.929510951042175,0.1524658203125,0.014635729,0.5314334034919739,0.2,1856,0.9688915014266968,-2.7107994042553187,1258.0
118,60416,33,1798,0.029591054131742567,-0.028546912348247133,-0.04093032702803612,0.0004092704424510632,-42.89829194545746,0.2440185546875,0.020816414,-0.16785120964050293,0.2,1872,0.9676795601844788,-2.710769395833333,1258.0
119,60928,33,1798,0.07588125939946622,-0.023733041365630925,0.0030418038368225098,0.0004092704424510632,-42.87518811225891,0.18701171875,0.02100018,0.5474206209182739,0.2,1888,0.9675157070159912,-2.710769395833333,1258.0
120,61440,34,1798,0.016673632169840857,-0.024677695662830956,-0.020560603588819504,0.0004092704424510632,-42.87488651275635,0.2652587890625,0.01961686,-0.1034688949584961,0.2,1904,0.9677767157554626,-2.710769395833333,1258.0
121,61952,34,1799,0.008652267162688076,-0.02274089762067888,-0.030504347756505013,0.0004092704424510632,-42.897605776786804,0.2142333984375,0.015606499,-0.301255464553833,0.2,1920,0.9689107537269592,-2.709295979591837,1258.0
