time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/n_updates,train/value_loss,train/explained_variance,train/std,train/clip_range,train/loss,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1242,39,95,48640,1504,0.2814480416709557,0.19499945640563965,0.9904024004936218,0.2,0.005159122869372368,0.014993012,-43.602590918540955,0.0004092704424510632,0.1099853515625,-0.01784511254663812,1258.0,-2.733460684210526
1242,39,96,49152,1520,0.011182684975210577,-2.477710247039795,0.9889463186264038,0.2,-0.031421542167663574,0.020456228,-43.585559129714966,0.0004092704424510632,0.287109375,-0.026914220841717906,1258.0,-2.7340858717948717
1242,39,97,49664,1536,0.254792362684384,0.2645431160926819,0.988758385181427,0.2,0.013522196561098099,0.0125538595,-43.55217683315277,0.0004092704424510632,0.067138671875,-0.015044726402265951,1258.0,-2.7340858717948717
1242,40,98,50176,1552,0.0054565592035942245,-1.9669394493103027,0.98844313621521,0.2,-0.027912290766835213,0.026512802,-43.557446360588074,0.0004092704424510632,0.2926025390625,-0.026128428304218687,1258.0,-2.7340858717948717
1242,40,99,50688,1568,0.0024399695575993974,0.4708315134048462,0.9881699681282043,0.2,-0.0271648820489645,0.013734588,-43.54184949398041,0.0004092704424510632,0.1826171875,-0.02019766419834923,1258.0,-2.7339891
1242,41,100,51200,1584,0.24011887097731233,0.3439067602157593,0.9882562160491943,0.2,0.004674054682254791,0.016892917,-43.54060459136963,0.0004092704424510632,0.104248046875,-0.018394736136542633,1258.0,-2.7339891
1242,41,101,51712,1600,0.013463180890539661,-1.7773139476776123,0.9877501726150513,0.2,-0.019727665930986404,0.014734495,-43.5317862033844,0.0004092704424510632,0.21484375,-0.021488469967152923,1258.0,-2.7354060975609755
1242,42,102,52224,1616,0.4504631692543626,0.2268986701965332,0.9875900149345398,0.2,0.014724057167768478,0.011664814,-43.51854193210602,0.0004092704424510632,0.118408203125,-0.01777236942143645,1258.0,-2.7354060975609755
1242,42,103,52736,1632,0.022444393136538565,-0.7035396099090576,0.9868247509002686,0.2,-0.03549549728631973,0.025567694,-43.509557366371155,0.0004092704424510632,0.2442626953125,-0.026323294194298796,1258.0,-2.7354060975609755
1242,42,104,53248,1648,0.002884829606045969,0.13706016540527344,0.9864625334739685,0.2,-0.04137609526515007,0.016557334,-43.48727011680603,0.0004092704424510632,0.2467041015625,-0.02378942826180719,1258.0,-2.7404118571428575
