time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/entropy_loss,train/loss,train/std,train/explained_variance,train/learning_rate,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
160256,5,1751,19,-42.39818263053894,-0.03112535923719406,0.9592124223709106,0.5078873634338379,0.0004092704424510632,0.017966505,0.031997401849366724,-0.025546565768308938,0.218505859375,0.2,4992,-2.17437997,1258.0
160768,5,1749,20,-42.41851043701172,-0.025145627558231354,0.9590803980827332,0.5532702207565308,0.0004092704424510632,0.024152696,0.26065503899008036,-0.01665662029699888,0.14599609375,0.2,5008,-2.17437997,1258.0
161280,6,1746,21,-42.378742694854736,-0.026207607239484787,0.9570702314376831,-0.28535664081573486,0.0004092704424510632,0.01716289,0.01479962537996471,-0.02364955921075307,0.2314453125,0.2,5024,-2.17214266,1258.0
161792,6,1744,22,-42.334224581718445,0.186562180519104,0.9565258622169495,0.8177963495254517,0.0004092704424510632,0.0038484093,1.2111442778259516,-0.005117586981214117,0.006103515625,0.2,5040,-2.17214266,1258.0
162304,6,1742,23,-42.33558797836304,-0.030287204310297966,0.9568353295326233,0.24415475130081177,0.0004092704424510632,0.021692852,0.0064328109147027135,-0.03053743341297377,0.3096923828125,0.2,5056,-2.1717452899999996,1258.0
162816,7,1741,24,-42.34539341926575,0.5984150767326355,0.9570180177688599,0.7894119620323181,0.0004092704424510632,0.013017517,1.1187550891190767,-0.008990672533400357,0.0560302734375,0.2,5072,-2.1717452899999996,1258.0
163328,7,1739,25,-42.329367876052856,-0.043957069516181946,0.9556145071983337,-2.3538877964019775,0.0004092704424510632,0.016831543,0.0028525990128400736,-0.027854238083818927,0.23486328125,0.2,5088,-2.1717452899999996,1258.0
163840,7,1738,26,-42.321651339530945,-0.0480915904045105,0.9576600790023804,0.4301680326461792,0.0004092704424510632,0.015888859,0.003404791081266012,-0.023108097520889714,0.185546875,0.2,5104,-2.17115147,1258.0
164352,7,1736,27,-42.382707953453064,0.10291062295436859,0.9581663608551025,0.6963083744049072,0.0004092704424510632,0.008178332,1.5345730255357921,-0.005806484361528419,0.0389404296875,0.2,5120,-2.17115147,1258.0
164864,8,1735,28,-42.38113176822662,-0.03345401957631111,0.9578980207443237,0.4006280303001404,0.0004092704424510632,0.020917132,0.010558202484389767,-0.028661524644121528,0.2701416015625,0.2,5136,-2.1707019699999996,1258.0
165376,8,1734,29,-42.372843861579895,0.13393017649650574,0.9579627513885498,0.7102892398834229,0.0004092704424510632,0.013515111,0.8480613268911839,-0.01064759647124447,0.0526123046875,0.2,5152,-2.1707019699999996,1258.0
165888,8,1732,30,-42.378472089767456,-0.031332965940237045,0.9581961631774902,-1.130317211151123,0.0004092704424510632,0.02028551,0.0021283428504830226,-0.027416142882429995,0.269775390625,0.2,5168,-2.1707019699999996,1258.0
166400,9,1732,31,-42.373576045036316,-0.018631605431437492,0.9579463005065918,0.7267037630081177,0.0004092704424510632,0.01644149,0.024228898953879252,-0.026996886444976553,0.2703857421875,0.2,5184,-2.1704087999999997,1258.0
166912,9,1731,32,-42.364870429039,0.12397807836532593,0.9579114317893982,0.5487809181213379,0.0004092704424510632,0.0036917566,1.4884226834401488,-0.004006856484920718,0.0078125,0.2,5200,-2.1704087999999997,1258.0
167424,9,1730,33,-42.369290709495544,-0.02808218076825142,0.9585685729980469,-0.5284031629562378,0.0004092704424510632,0.017393753,0.01115837728139013,-0.0230104486545315,0.2044677734375,0.2,5216,-2.17098969,1258.0
167936,10,1728,34,-42.395158648490906,0.47042348980903625,0.9588239192962646,0.7024747133255005,0.0004092704424510632,0.0032996405,1.770137912593782,-0.0012806855520466343,0.00439453125,0.2,5232,-2.17098969,1258.0
168448,10,1728,35,-42.372729539871216,-0.03699089214205742,0.9568926692008972,-2.9648029804229736,0.0004092704424510632,0.016797759,0.0017637649161770241,-0.026172018027864397,0.244384765625,0.2,5248,-2.17098969,1258.0
168960,10,1727,36,-42.327608823776245,-0.03115215338766575,0.956351637840271,0.8023452162742615,0.0004092704424510632,0.01982603,0.007425657095154747,-0.024030287837376818,0.2586669921875,0.2,5264,-2.1700500099999998,1258.0
169472,10,1726,37,-42.322009921073914,0.0871448814868927,0.9561518430709839,0.4317256212234497,0.0004092704424510632,0.004761106,1.5084558404050767,-0.002261095301946625,0.0103759765625,0.2,5280,-2.1700500099999998,1258.0
169984,11,1725,38,-42.30172872543335,-0.05321894586086273,0.9550910592079163,-0.09690999984741211,0.0004092704424510632,0.029728062,0.005078887566924095,-0.036489563062787056,0.31396484375,0.2,5296,-2.1706098,1258.0
170496,11,1724,39,-42.25570869445801,0.15675580501556396,0.95451420545578,0.6526411771774292,0.0004092704424510632,0.004917811,1.3254785309545696,-0.0036675754672614858,0.0128173828125,0.2,5312,-2.1706098,1258.0
171008,11,1724,40,-42.2392680644989,-0.03016500547528267,0.9540795087814331,-0.030717015266418457,0.0004092704424510632,0.020116009,0.003279709635535255,-0.02545485325390473,0.270751953125,0.2,5328,-2.1706098,1258.0
171520,12,1723,41,-42.22541403770447,0.005404742434620857,0.9543846249580383,0.8612740635871887,0.0004092704424510632,0.017717067,0.11204654746688902,-0.018705941503867507,0.1826171875,0.2,5344,-2.1697022899999996,1258.0
172032,12,1722,42,-42.23041868209839,0.024346942082047462,0.9545184373855591,0.8828175663948059,0.0004092704424510632,0.0148243345,0.35510484082624316,-0.011716209221049212,0.064208984375,0.2,5360,-2.1697022899999996,1258.0
