time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/n_updates,train/value_loss,train/entropy_loss,train/std,train/approx_kl,train/explained_variance,train/clip_fraction,train/loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
31744,25,1233,62,976,0.004341532869148068,-43.37958741188049,0.9832948446273804,0.017838214,-0.002162456512451172,0.2388916015625,-0.035229723900556564,0.2,-0.02599133356125094,0.0004092704424510632,1257.0,-2.36388628
32256,26,1232,63,992,0.18526672571897507,-43.38490355014801,0.9823047518730164,0.025370872,0.002962172031402588,0.226318359375,0.050736308097839355,0.2,-0.01757611514040036,0.0004092704424510632,1257.0,-2.36388628
32768,26,1232,64,1008,0.009430256293853745,-43.352543115615845,0.981626570224762,0.021205105,-1.5591046810150146,0.25390625,-0.0326213464140892,0.2,-0.02709809652878903,0.0004092704424510632,1257.0,-2.371997653846154
33280,27,1232,65,1024,0.12749231047928333,-43.33622944355011,0.9810185432434082,0.019765638,0.18373215198516846,0.204833984375,0.02391997165977955,0.2,-0.02149559294048231,0.0004092704424510632,1257.0,-2.371997653846154
33792,27,1232,66,1040,0.002449212723149685,-43.325770139694214,0.9811831116676331,0.010395282,-2.56503963470459,0.185546875,-0.02219156175851822,0.2,-0.021563947200775146,0.0004092704424510632,1257.0,-2.371997653846154
34304,27,1231,67,1056,0.0023255087762663607,-43.32144844532013,0.9802690148353577,0.018169574,-0.0234682559967041,0.2181396484375,-0.028488852083683014,0.2,-0.022870626242365688,0.0004092704424510632,1257.0,-2.3659763333333332
34816,28,1231,68,1072,0.12274401215836406,-43.303969979286194,0.9805867075920105,0.023940759,0.036438167095184326,0.215087890625,0.006294567137956619,0.2,-0.02342136888182722,0.0004092704424510632,1257.0,-2.3659763333333332
35328,28,1231,69,1088,0.007193015153461602,-43.303279399871826,0.9801118969917297,0.017816305,-3.717296600341797,0.2301025390625,-0.03970858082175255,0.2,-0.0251295751077123,0.0004092704424510632,1257.0,-2.3722239285714286
35840,29,1230,70,1104,0.10981905786320567,-43.27737534046173,0.978941023349762,0.02453478,0.02003777027130127,0.23486328125,0.007800053805112839,0.2,-0.022926459219888784,0.0004092704424510632,1257.0,-2.3722239285714286
36352,29,1230,71,1120,0.007377576344879344,-43.25025761127472,0.9788397550582886,0.01753883,-0.42821836471557617,0.2369384765625,-0.024617265909910202,0.2,-0.027189672735403292,0.0004092704424510632,1257.0,-2.3722239285714286
36864,29,1230,72,1136,0.0036128368956269696,-43.238582134246826,0.9786707758903503,0.024288483,-1.1644296646118164,0.227783203125,-0.027691751718521118,0.2,-0.025647944799857214,0.0004092704424510632,1257.0,-2.3733875517241376
37376,30,1230,73,1152,0.07267307175789028,-43.24522411823273,0.9789068102836609,0.017794393,0.09506964683532715,0.1915283203125,-0.0059470534324646,0.2,-0.024055916030192748,0.0004092704424510632,1257.0,-2.3733875517241376
37888,30,1230,74,1168,0.01025414137984626,-43.2513952255249,0.9792605638504028,0.019493515,-1.946286916732788,0.2178955078125,-0.0335116945207119,0.2,-0.024422599177341908,0.0004092704424510632,1257.0,-2.373997266666666
38400,31,1230,75,1184,0.06924928212538362,-43.26888918876648,0.9798351526260376,0.02496763,0.10692530870437622,0.2486572265625,-0.01489998772740364,0.2,-0.028253600059542805,0.0004092704424510632,1257.0,-2.373997266666666
38912,31,1229,76,1200,0.008905992173822597,-43.281893372535706,0.980149507522583,0.019133968,-0.3349876403808594,0.2501220703125,-0.027599168941378593,0.2,-0.02569598038098775,0.0004092704424510632,1257.0,-2.373997266666666
39424,32,1229,77,1216,0.015410521096782759,-43.31508708000183,0.9816895127296448,0.019579696,0.4111231565475464,0.2391357421875,-0.029892710968852043,0.2,-0.02531491350964643,0.0004092704424510632,1257.0,-2.3721614193548386
39936,32,1229,78,1232,0.04067504726117477,-43.336485743522644,0.9811988472938538,0.030190546,0.6811091899871826,0.2611083984375,-0.03530328720808029,0.2,-0.029187105334131047,0.0004092704424510632,1257.0,-2.3721614193548386
