time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/loss,train/explained_variance,train/clip_fraction,train/clip_range,train/approx_kl,train/entropy_loss,train/value_loss,train/learning_rate,train/n_updates,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
1178,46,108,55296,-0.025755932147148997,-0.038579341024160385,-3.8366994857788086,0.228759765625,0.2,0.017023865,-43.22979819774628,0.005830859889101703,0.0004092704424510632,1712,0.9775710701942444,-2.2291568666666666,1223.0
1178,47,109,55808,-0.020281037548556924,0.00808049738407135,0.16924935579299927,0.1346435546875,0.2,0.0126861185,-43.237624526023865,0.29510588198900223,0.0004092704424510632,1728,0.977468729019165,-2.2291568666666666,1223.0
1178,47,110,56320,-0.02459693918353878,-0.03910566866397858,-1.9889860153198242,0.22802734375,0.2,0.01458977,-43.217079520225525,0.00487646741385106,0.0004092704424510632,1744,0.9765839576721191,-2.2317116739130434,1223.0
1178,48,111,56832,-0.013609009634819813,0.042906228452920914,0.22164398431777954,0.103515625,0.2,0.01849256,-43.185524225234985,0.271620410727337,0.0004092704424510632,1760,0.9762308597564697,-2.2317116739130434,1223.0
1178,48,112,57344,-0.017916469361807685,-0.01838516630232334,-1.1136329174041748,0.1693115234375,0.2,0.011345077,-43.186667680740356,0.003920891562302131,0.0004092704424510632,1776,0.9764672517776489,-2.2317116739130434,1223.0
1178,49,113,57856,-0.016274407593300566,-0.02336575835943222,0.012786924839019775,0.1611328125,0.2,0.01196342,-43.185489654541016,0.0031270384715753607,0.0004092704424510632,1792,0.9763695597648621,-2.2294157659574463,1223.0
1178,49,114,58368,-0.01664636709028855,-0.004837019369006157,0.2805368900299072,0.1114501953125,0.2,0.015020402,-43.18020796775818,0.2600695291766897,0.0004092704424510632,1808,0.9760008454322815,-2.2294157659574463,1223.0
1177,49,115,58880,-0.020958696375600994,-0.025431137531995773,-2.7234034538269043,0.229248046875,0.2,0.019232307,-43.18429732322693,0.011059676049626432,0.0004092704424510632,1824,0.9770142436027527,-2.230265479166667,1223.0
1177,50,116,59392,-0.0113217912366963,0.009445201605558395,0.24557024240493774,0.066650390625,0.2,0.009348681,-43.21106171607971,0.2860845783725381,0.0004092704424510632,1840,0.9774128198623657,-2.230265479166667,1223.0
1177,50,117,59904,-0.027489268672070466,-0.045298609882593155,-0.7151973247528076,0.2579345703125,0.2,0.019094832,-43.2042932510376,0.003508308822347317,0.0004092704424510632,1856,0.9766379594802856,-2.230265479166667,1223.0
1177,51,118,60416,-0.0268239805882331,-0.028841935098171234,0.42246073484420776,0.256103515625,0.2,0.023777187,-43.19587779045105,0.005055200694187079,0.0004092704424510632,1872,0.9774148464202881,-2.228923530612245,1223.0
1177,51,119,60928,-0.016504695508047007,-0.00994654931128025,0.2842046618461609,0.1329345703125,0.2,0.025647953,-43.223493695259094,0.12149520253296942,0.0004092704424510632,1888,0.9775784611701965,-2.228923530612245,1223.0
1177,52,120,61440,-0.023219148744829,-0.03749452158808708,-6.536578178405762,0.22265625,0.2,0.021194763,-43.197763204574585,0.012218718853546306,0.0004092704424510632,1904,0.9759207367897034,-2.22870262,1223.0
1177,52,121,61952,-0.018424362846417353,0.008327919989824295,0.19433212280273438,0.1087646484375,0.2,0.015137648,-43.155723571777344,0.37575749692041427,0.0004092704424510632,1920,0.9754469990730286,-2.22870262,1223.0
