time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/approx_kl,train/clip_fraction,train/explained_variance,train/entropy_loss,train/loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/std,train/learning_rate,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
236032,5,20,1822,0.016910547,0.1722412109375,0.3947795629501343,-43.273253440856934,0.009684421122074127,7360,0.2,-0.010766044739284553,0.9906572699546814,0.0004092704424510632,0.5771647884976119,1258.0,-2.4990293599999998
236544,5,21,1820,0.038800083,0.3323974609375,-7.391629219055176,-43.29811882972717,-0.04222977161407471,7376,0.2,-0.03203504128032364,0.9911448359489441,0.0004092704424510632,0.007984595125890337,1258.0,-2.4996968500000003
237056,6,22,1817,0.018836044,0.186767578125,0.4786285161972046,-43.311923027038574,0.07148365676403046,7392,0.2,-0.006755184076610021,0.9913535714149475,0.0004092704424510632,0.6597475833259523,1258.0,-2.4996968500000003
237568,6,23,1812,0.03432916,0.2974853515625,-1.4943480491638184,-43.30983793735504,-0.020463217049837112,7408,0.2,-0.026830157992662862,0.9908233880996704,0.0004092704424510632,0.015362640377134085,1258.0,-2.4996968500000003
238080,6,24,1802,0.021817302,0.2840576171875,-1.5382418632507324,-43.35984456539154,-0.042243167757987976,7424,0.2,-0.03151347822858952,0.9950634837150574,0.0004092704424510632,0.003394440827833023,1258.0,-2.49808772
238592,7,25,1802,0.018941708,0.0928955078125,0.622092604637146,-43.464040994644165,0.03567582741379738,7440,0.2,-0.011750402903999202,0.9963619112968445,0.0004092704424510632,0.5556909455917776,1258.0,-2.49808772
239104,7,26,1802,0.03411651,0.3331298828125,-7.845724105834961,-43.47682058811188,-0.03774403780698776,7456,0.2,-0.029746571817668155,0.9962877035140991,0.0004092704424510632,0.013076121438643895,1258.0,-2.49762051
239616,7,27,1800,0.010238957,0.1419677734375,0.4590163230895996,-43.482452392578125,0.04199840873479843,7472,0.2,-0.007177631996455602,0.9961702823638916,0.0004092704424510632,0.8491540136747062,1258.0,-2.49762051
240128,7,28,1798,0.021477915,0.2823486328125,-2.8871817588806152,-43.46281814575195,-0.04726296663284302,7488,0.2,-0.030683380813570693,0.9949445128440857,0.0004092704424510632,0.004478139708226081,1258.0,-2.49762051
240640,8,29,1799,0.024631688,0.27197265625,-0.1645188331604004,-43.426775336265564,-0.03253147378563881,7504,0.2,-0.024890679967938922,0.9948238134384155,0.0004092704424510632,0.0025937490208889358,1258.0,-2.49643915
