time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/loss,train/approx_kl,train/n_updates,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/clip_fraction,train/std,train/value_loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
152064,3,0,1650,-0.042653702199459076,0.01928851,4736,0.2,-0.033060493995435536,-42.2408150434494,0.0004092704424510632,0.30517578125,0.9506326913833618,0.0030051306093810126,-4.94649600982666,-2.2636785,1258.0
152576,4,1,1538,-0.03976743295788765,0.018053498,4752,0.2,-0.022583085927180946,-42.25172746181488,0.0004092704424510632,0.2344970703125,0.9501661658287048,0.005555381780141033,0.028938233852386475,-2.26311159,1258.0
153088,5,1,1475,0.07049299776554108,0.009393502,4768,0.2,-0.007307638559723273,-42.2327721118927,0.0004092704424510632,0.0399169921875,0.9500526189804077,0.8726027288939804,0.4942225217819214,-2.26311159,1258.0
153600,6,2,1432,-0.036594077944755554,0.018331425,4784,0.2,-0.027748390595661476,-42.22525596618652,0.0004092704424510632,0.26611328125,0.9497531056404114,0.007668751044548117,-0.08100354671478271,-2.2651827399999998,1258.0
154112,7,2,1403,0.07852814346551895,0.014690691,4800,0.2,-0.009064529484021477,-42.21206974983215,0.0004092704424510632,0.0687255859375,0.9498329758644104,0.7321024420671165,0.7749274373054504,-2.2651827399999998,1258.0
154624,8,2,1378,-0.04174255579710007,0.018077742,4816,0.2,-0.02830475292284973,-42.22140300273895,0.0004092704424510632,0.2564697265625,0.950438916683197,0.002825708746968303,-1.8522534370422363,-2.2651827399999998,1258.0
155136,9,3,1360,-0.04402691125869751,0.017178599,4832,0.2,-0.03022177286038641,-42.1941192150116,0.0004092704424510632,0.2662353515625,0.9471192359924316,0.006515302986372262,0.02542346715927124,-2.2603279599999997,1258.0
155648,10,3,1347,0.045878954231739044,0.0071193743,4848,0.2,-0.006308394436928211,-42.10201048851013,0.0004092704424510632,0.0147705078125,0.9459181427955627,1.2064603809267282,0.21062105894088745,-2.2603279599999997,1258.0
156160,11,4,1338,-0.03197315335273743,0.015417806,4864,0.2,-0.025091866933507845,-42.06363797187805,0.0004092704424510632,0.212890625,0.9439408779144287,0.007516330151702277,-0.11480593681335449,-2.2604783900000003,1258.0
156672,12,4,1331,0.05440771207213402,0.008730818,4880,0.2,-0.012353329380857758,-42.00066006183624,0.0004092704424510632,0.0328369140625,0.9433232545852661,0.6683357758447528,0.7012133598327637,-2.2604783900000003,1258.0
157184,13,5,1327,-0.03949335590004921,0.020937605,4896,0.2,-0.029701297782594338,-42.001014828681946,0.0004092704424510632,0.2958984375,0.9439487457275391,0.004339558181527536,-1.9200894832611084,-2.2604783900000003,1258.0
157696,14,5,1320,-0.030475419014692307,0.023512978,4912,0.2,-0.029762653139187023,-42.00812470912933,0.0004092704424510632,0.29296875,0.9441794157028198,0.019286467460915446,0.6778531074523926,-2.25983478,1258.0
158208,15,5,1317,-0.0003947243094444275,0.021094032,4928,0.2,-0.01695238659158349,-42.01722061634064,0.0004092704424510632,0.114990234375,0.9444773197174072,0.3003033590503037,0.7932655215263367,-2.25983478,1258.0
158720,16,6,1313,-0.014611363410949707,0.014109974,4944,0.2,-0.0198711107368581,-42.053619503974915,0.0004092704424510632,0.196533203125,0.9467799067497253,0.012544720259029418,-0.39492130279541016,-2.2528638600000006,1258.0
159232,17,6,1310,0.05655083805322647,0.008710178,4960,0.2,-0.009385084093082696,-42.12302505970001,0.0004092704424510632,0.025390625,0.9475540518760681,0.7356246747076511,0.7216265797615051,-2.2528638600000006,1258.0
159744,18,7,1307,-0.034063927829265594,0.018671317,4976,0.2,-0.02401206729700789,-42.14663922786713,0.0004092704424510632,0.234619140625,0.9493611454963684,0.0036557537787302863,-1.6917064189910889,-2.2528638600000006,1258.0
160256,19,7,1304,0.06285975873470306,0.00916677,4992,0.2,-0.005950292892521247,-42.19736957550049,0.0004092704424510632,0.0548095703125,0.9500187635421753,0.6156487632542849,0.6401394009590149,-2.2508140800000005,1258.0
160768,20,7,1302,-0.020773816853761673,0.036226057,5008,0.2,-0.025017498192028143,-42.19897401332855,0.0004092704424510632,0.32080078125,0.9497557282447815,0.02936520970251877,0.9792046546936035,-2.2508140800000005,1258.0
161280,21,8,1299,-0.03054187446832657,0.018233126,5024,0.2,-0.025465151164098643,-42.205909967422485,0.0004092704424510632,0.26513671875,0.9505760669708252,0.006625648791668937,-0.37605512142181396,-2.24851079,1258.0
161792,22,8,1297,0.0844324380159378,0.003887138,5040,0.2,-0.002690588433324592,-42.218180418014526,0.0004092704424510632,0.0037841796875,0.9506710171699524,0.805695106741041,0.7115424275398254,-2.24851079,1258.0
