time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/value_loss,train/n_updates,train/std,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/loss,train/approx_kl,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
27,1739,94,123392,0.061592570156790316,3840,0.9701405167579651,0.2,0.302490234375,-0.029800353717291728,-2.0140748023986816,-42.89178204536438,-0.021949300542473793,0.022177637,0.0004092704424510632,1257.0,-2.4356726020408166
27,1738,95,123904,0.39328259555622935,3856,0.9699211716651917,0.2,0.064208984375,-0.009650736610637978,0.7690272331237793,-42.89317762851715,0.07343781739473343,0.014827851,0.0004092704424510632,1257.0,-2.4356726020408166
28,1737,96,124416,0.02138281025690958,3872,0.9702164530754089,0.2,0.2781982421875,-0.02502177310816478,0.11258459091186523,-42.88577926158905,-0.023177236318588257,0.015267998,0.0004092704424510632,1257.0,-2.4356726020408166
28,1736,97,124928,0.2353435275144875,3888,0.9700915217399597,0.2,0.1400146484375,-0.014274457775172777,0.7906368970870972,-42.8958306312561,0.07280638813972473,0.016032256,0.0004092704424510632,1257.0,-2.435255858585859
28,1735,98,125440,0.03248833856196143,3904,0.9690490365028381,0.2,0.3135986328125,-0.027648389572277665,0.9620991349220276,-42.874298453330994,-0.028468923643231392,0.033507638,0.0004092704424510632,1257.0,-2.435255858585859
29,1734,99,125952,0.03438112564617768,3920,0.9671146869659424,0.2,0.259765625,-0.025169242988340557,-1.9402611255645752,-42.82559311389923,-0.032160788774490356,0.019450981,0.0004092704424510632,1257.0,-2.43461844
29,1733,100,126464,0.6585357473231852,3936,0.966482937335968,0.2,0.0714111328125,-0.011488035146612674,0.4674263596534729,-42.781453132629395,0.17351950705051422,0.012646327,0.0004092704424510632,1257.0,-2.43461844
29,1731,101,126976,0.01694165330263786,3952,0.9648071527481079,0.2,0.236083984375,-0.02491797585389577,0.27376168966293335,-42.751614451408386,-0.022077996283769608,0.014985306,0.0004092704424510632,1257.0,-2.43330066
30,1730,102,127488,0.5100648701190948,3968,0.9640623927116394,0.2,0.0540771484375,-0.009106130717555061,0.825413167476654,-42.7085884809494,0.22883634269237518,0.011686406,0.0004092704424510632,1257.0,-2.43330066
30,1729,103,128000,0.00656063316273503,3984,0.9623958468437195,0.2,0.2542724609375,-0.029074524180032313,-0.9515148401260376,-42.678773641586304,-0.036176975816488266,0.015981704,0.0004092704424510632,1257.0,-2.43330066
30,1728,104,128512,0.004451278829947114,4000,0.9610353112220764,0.2,0.2513427734375,-0.030291423114249483,-0.46119391918182373,-42.62377154827118,-0.04624886438250542,0.01555182,0.0004092704424510632,1257.0,-2.4336863199999996
31,1727,105,129024,1.1067648446187377,4016,0.9605938792228699,0.2,0.044677734375,-0.008487428043736145,0.3310322165489197,-42.591490387916565,0.10627301782369614,0.008941634,0.0004092704424510632,1257.0,-2.4336863199999996
31,1726,106,129536,0.0060964568547206,4032,0.9632831811904907,0.2,0.3074951171875,-0.03012254074565135,-1.3694732189178467,-42.61942231655121,-0.040914762765169144,0.027765553,0.0004092704424510632,1257.0,-2.43141083
31,1725,107,130048,0.9109042957425117,4048,0.9642193913459778,0.2,0.0614013671875,-0.01051619333884446,0.5451657772064209,-42.690552711486816,0.17949020862579346,0.009736579,0.0004092704424510632,1257.0,-2.43141083
32,1725,108,130560,0.016676485451171175,4064,0.9660816788673401,0.2,0.279541015625,-0.029826492303982377,-0.035758376121520996,-42.72621786594391,-0.02786354348063469,0.020362414,0.0004092704424510632,1257.0,-2.43141083
32,1724,109,131072,0.004918204758723732,4080,0.9645847678184509,0.2,0.23681640625,-0.023038371953589376,-0.04158973693847656,-42.7448970079422,-0.025328004732728004,0.017361196,0.0004092704424510632,1257.0,-2.43114609
32,1723,110,131584,0.8746804129332304,4096,0.9642335772514343,0.2,0.0235595703125,-0.0050986756541533396,0.33600467443466187,-42.69925272464752,0.0577659085392952,0.0065574776,0.0004092704424510632,1257.0,-2.43114609
32,1722,111,132096,0.005039377305365633,4112,0.96304851770401,0.2,0.262939453125,-0.02795068934210576,-2.588412284851074,-42.681232213974,-0.03668825328350067,0.016587704,0.0004092704424510632,1257.0,-2.4293788600000004
